ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
,1,2564,เมืองร้อยเอ็ด,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
744,2,2564,เกษตรวิสัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,3,2564,ปทุมรัตต์,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
72,4,2564,จตุรพักตรพิมาน,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,5,2564,ธวัชบุรี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
74,6,2564,พนมไพร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"8,865.50",7,2564,โพนทอง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"11,416.00",8,2564,โพธิ์ชัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"33,094.00",9,2564,หนองพอก,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"3,174.44",10,2564,เสลภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,11,2564,สุวรรณภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,12,2564,เมืองสรวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,13,2564,โพนทราย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,14,2564,อาจสามารถ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"14,685.00",15,2564,เมยวดี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,16,2564,ศรีสมเด็จ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,17,2564,จังหาร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,18,2564,เชียงขวัญ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,19,2564,หนองฮี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,20,2564,ทุ่งเขาหลวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,21,2565,เมืองร้อยเอ็ด,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
744,22,2565,เกษตรวิสัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,23,2565,ปทุมรัตต์,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
33,24,2565,จตุรพักตรพิมาน,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
