พื้นที่เก็บเกี่ยว,_id,ปี,ชนิด,หน่วย
"2,547.00",1,2565,ข้าวนาปรัง 63/64,ไร่
"3,856.00",2,2565,ข้าวนาปี 64/65,ไร่
"44,106.00",3,2565,มะพร้าวน้ำหอม,ไร่
992,4,2565,มะพร้าวแก่,ไร่
"6,871.00",5,2565,มะม่วง,ไร่
"6,625.00",6,2565,มะนาว,ไร่
"7,440.00",7,2565,ฝรั่ง,ไร่
"4,457.00",8,2565,ลำไย,ไร่
761,9,2565,ชมพู่,ไร่
"1,546.00",10,2565,กล้วยน้ำว้า,ไร่
694,11,2565,มะขามเทศ,ไร่
519,12,2565,แก้วมังกร,ไร่
204,13,2565,พุทรา,ไร่
582,14,2565,องุ่น,ไร่
"3,430.00",15,2565,กล้วยไม้ ,ไร่
"5,526.00",16,2565,พืชผัก ,ไร่
549,17,2565,สมุนไพร,ไร่
941,18,2565,ไม้ดอกอื่นๆ,ไร่
731,19,2565,ไม้ประดับ,ไร่
"16,788.00",20,2565,นาเกลือ,ไร่
"2,534.00",21,2565,พืชอื่นๆ,ไร่
"2,366.25",22,2566,ข้าวนาปรัง 64/65,ไร่
"3,568.00",23,2566,ข้าวนาปี 65/66,ไร่
"45,117.00",24,2566,มะพร้าวน้ำหอม,ไร่
"1,374.67",25,2566,มะพร้าวแก่,ไร่
"7,135.47",26,2566,มะม่วง,ไร่
"6,830.51",27,2566,มะนาว,ไร่
"7,680.47",28,2566,ฝรั่ง,ไร่
"3,812.00",29,2566,ลำไย,ไร่
708,30,2566,ชมพู่,ไร่
"1,581.49",31,2566,กล้วยน้ำว้า,ไร่
605,32,2566,มะขามเทศ,ไร่
395.5,33,2566,แก้วมังกร,ไร่
168.29,34,2566,พุทรา,ไร่
585,35,2566,องุ่น,ไร่
"3,015.25",36,2566,กล้วยไม้ ,ไร่
"4,525.00",37,2566,พืชผัก ,ไร่
537.48,38,2566,สมุนไพร,ไร่
843.9,39,2566,ไม้ดอกอื่นๆ,ไร่
665,40,2566,ไม้ประดับ,ไร่
"18,835.00",41,2566,นาเกลือ,ไร่
"3,950.00",42,2566,พืชอื่นๆ,ไร่
"2,408.00",43,2567,ข้าวนาปรัง 65/66,ไร่
"3,391.37",44,2567,ข้าวนาปี 66/67,ไร่
"54,414.00",45,2567,มะพร้าวน้ำหอม,ไร่
"1,170.48",46,2567,มะพร้าวแก่,ไร่
"7,108.97",47,2567,มะม่วง,ไร่
"6,452.51",48,2567,มะนาว,ไร่
"7,696.62",49,2567,ฝรั่ง,ไร่
"4,116.75",50,2567,ลำไย,ไร่
702.5,51,2567,ชมพู่,ไร่
"1,543.49",52,2567,กล้วยน้ำว้า,ไร่
604,53,2567,มะขามเทศ,ไร่
387,54,2567,แก้วมังกร,ไร่
165.54,55,2567,พุทรา,ไร่
562.25,56,2567,องุ่น,ไร่
"3,152.00",57,2567,กล้วยไม้ ,ไร่
"3,430.50",58,2567,พืชผัก ,ไร่
510.23,59,2567,สมุนไพร,ไร่
804.7,60,2567,ไม้ดอกอื่นๆ,ไร่
980.5,61,2567,ไม้ประดับ,ไร่
"18,810.00",62,2567,นาเกลือ,ไร่
"1,736.00",63,2567,พืชอื่นๆ,ไร่
