จำนวน,หมวด,_id,ปี พ.ศ.,เพศ,ไตรมาส,หน่วย
"46,788",ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และประมง,51,2566,ชาย,3,คน
"28,501",ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และประมง,52,2566,หญิง,3,คน
"19,263",ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง,53,2566,ชาย,3,คน
"12,840",ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง,54,2566,หญิง,3,คน
"36,636",ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,55,2566,ชาย,3,คน
"14,282",ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,56,2566,หญิง,3,คน
"30,503",ผู้ประกอบอาชีพงานพื้นฐาน,57,2566,ชาย,3,คน
"19,611",ผู้ประกอบอาชีพงานพื้นฐาน,58,2566,หญิง,3,คน
 - ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,59,2566,ชาย,3,คน
 - ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,60,2566,หญิง,3,คน
"2,374",ผู้จัดการ ข้าราชการระดับอาวุโสและผู้บัญญัติกฎหมาย,61,2566,ชาย,4,คน
"2,019",ผู้จัดการ ข้าราชการระดับอาวุโสและผู้บัญญัติกฎหมาย,62,2566,หญิง,4,คน
"2,696",ผู้ประกอบวิชาชีพด้านต่าง ๆ,63,2566,ชาย,4,คน
"6,700",ผู้ประกอบวิชาชีพด้านต่าง ๆ,64,2566,หญิง,4,คน
"4,284",เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่าง,65,2566,ชาย,4,คน
"4,961",เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่าง,66,2566,หญิง,4,คน
"3,143",เสมียน,67,2566,ชาย,4,คน
"4,323",เสมียน,68,2566,หญิง,4,คน
"13,338",พนักงานบริการและผู้จำหน่ายสินค้า,69,2566,ชาย,4,คน
"23,916",พนักงานบริการและผู้จำหน่ายสินค้า,70,2566,หญิง,4,คน
"44,920",ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และประมง,71,2566,ชาย,4,คน
"29,518",ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และประมง,72,2566,หญิง,4,คน
"20,488",ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง,73,2566,ชาย,4,คน
"12,771",ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง,74,2566,หญิง,4,คน
"10,766",ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,75,2566,ชาย,4,คน
"17,439",ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,76,2566,หญิง,4,คน
"16,339",ผู้ประกอบอาชีพงานพื้นฐาน,77,2566,ชาย,4,คน
"11,948",ผู้ประกอบอาชีพงานพื้นฐาน,78,2566,หญิง,4,คน
 - ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,79,2566,ชาย,4,คน
 - ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,80,2566,หญิง,4,คน
"3,232",ผู้จัดการ ข้าราชการระดับอาวุโสและผู้บัญญัติกฎหมาย,81,2567,ชาย,1,คน
"2,612",ผู้จัดการ ข้าราชการระดับอาวุโสและผู้บัญญัติกฎหมาย,82,2567,หญิง,1,คน
"2,617",ผู้ประกอบวิชาชีพด้านต่าง ๆ,83,2567,ชาย,1,คน
"9,526",ผู้ประกอบวิชาชีพด้านต่าง ๆ,84,2567,หญิง,1,คน
"4,191",เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่าง,85,2567,ชาย,1,คน
"3,741",เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่าง,86,2567,หญิง,1,คน
"1,533",เสมียน,87,2567,ชาย,1,คน
"5,165",เสมียน,88,2567,หญิง,1,คน
"16,568",พนักงานบริการและผู้จำหน่ายสินค้า,89,2567,ชาย,1,คน
"25,185",พนักงานบริการและผู้จำหน่ายสินค้า,90,2567,หญิง,1,คน
"35,281",ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และประมง,91,2567,ชาย,1,คน
"19,992",ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้และประมง,92,2567,หญิง,1,คน
"22,092",ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง,93,2567,ชาย,1,คน
"12,798",ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง,94,2567,หญิง,1,คน
"14,320",ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,95,2567,ชาย,1,คน
"17,981",ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,96,2567,หญิง,1,คน
"20,613",ผู้ประกอบอาชีพงานพื้นฐาน,97,2567,ชาย,1,คน
"18,253",ผู้ประกอบอาชีพงานพื้นฐาน,98,2567,หญิง,1,คน
 - ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,99,2567,ชาย,1,คน
 - ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,100,2567,หญิง,1,คน
