จำนวนคนงาน,_id,ปี,หินปูน (ซีเมนต์),ดิน (ดินซีเมนต์),หินปูน (หินก่อสร้าง),แร่ผลิตได้ (เมตริกตัน),จำนวนเหมืองแร่
100,1,2562,"4,375,000","90,000","1,803,602","6,268,602",7
100,2,2563,"740,338","42,560","1,154,962","1,937,860",8
120,3,2564,"852,103","67,926","1,865,725","2,785,754",5
121,4,2565,"401,366","27,310","576,085","1,004,761",8
164,5,2566,"20,375",0,"2,648,618","2,668,993",10
