_id,ปี,หน่วยนับ,เนื้อที่เก็บเกี่ยว,จังหวัด
1,2564,ไร่,"381,463",นครสวรรค์
2,2565,ไร่,"203,067",นครสวรรค์
3,2566,ไร่,"204,959",นครสวรรค์
4,2567,ไร่,"2,639.00",นครสวรรค์
