﻿year,quarter,_id,labor_force_sta,region,value,unit,age_group,source
2556,ไตรมาส 1,1,หางานทำ,กรุงเทพมหานคร,0.45,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,2,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,4.28,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,3,หางานทำ,กรุงเทพมหานคร,2.91,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,4,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,6.96,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,5,หางานทำ,กรุงเทพมหานคร,2.9,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,6,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,3.67,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,7,หางานทำ,กรุงเทพมหานคร,1.79,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,8,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,1.02,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,9,หางานทำ,กรุงเทพมหานคร,0.36,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,10,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,1.45,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,11,หางานทำ,กรุงเทพมหานคร,1.36,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,12,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,1.81,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,13,หางานทำ,ภาคกลาง,1.58,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,14,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,5.06,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,15,หางานทำ,ภาคกลาง,5.32,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,16,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,17.94,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,17,หางานทำ,ภาคกลาง,2.22,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,18,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,9.03,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,19,หางานทำ,ภาคกลาง,1.04,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,20,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,3.35,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,21,หางานทำ,ภาคกลาง,1.2,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,22,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,2.39,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,23,หางานทำ,ภาคกลาง,0.4,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,24,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,6.61,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,25,หางานทำ,ภาคกลาง,0.36,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,26,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,2.09,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,27,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,0.27,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,28,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,3.25,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,29,หางานทำ,ภาคเหนือ,2.76,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,30,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,7.62,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,31,หางานทำ,ภาคเหนือ,4.03,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
