AGE_GROUP,VALUE,ST_GRADUATE,SOURCE,_id,UNIT,YEAR,LABOUR_STATUS
15 ถึง 19,20080,รวม,สำนักงานสถิติแห่งชาติ,1,คน,2557,รวม
20 ถึง 29,1217578,รวม,สำนักงานสถิติแห่งชาติ,2,คน,2557,รวม
30 ถึง 39,1385646,รวม,สำนักงานสถิติแห่งชาติ,3,คน,2557,รวม
40 ถึง 49,714396,รวม,สำนักงานสถิติแห่งชาติ,4,คน,2557,รวม
50 ถึง 59,373130,รวม,สำนักงานสถิติแห่งชาติ,5,คน,2557,รวม
60 ขึ้นไป,58278,รวม,สำนักงานสถิติแห่งชาติ,6,คน,2557,รวม
รวม,3769108,รวม,สำนักงานสถิติแห่งชาติ,7,คน,2557,รวม
15 ถึง 19,8847,รวม,สำนักงานสถิติแห่งชาติ,8,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,721641,รวม,สำนักงานสถิติแห่งชาติ,9,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,851257,รวม,สำนักงานสถิติแห่งชาติ,10,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,450100,รวม,สำนักงานสถิติแห่งชาติ,11,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,215717,รวม,สำนักงานสถิติแห่งชาติ,12,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,34160,รวม,สำนักงานสถิติแห่งชาติ,13,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,2281722,รวม,สำนักงานสถิติแห่งชาติ,14,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,7910,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,15,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,581375,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,16,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,628996,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,17,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,333395,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,18,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,142510,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,19,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,16529,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,20,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,1710715,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,21,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,937,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,22,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,140266,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,23,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,222261,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,24,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,116705,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,25,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,73207,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,26,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
