_id,ค่า,ปี,แอตทริบิวต์,จังหวัด,ชนิดพืช
1,382210,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,ข้าวนาปี
2,3002790,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,ข้าวนาปี
3,98396,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,ข้าวนาปี
4,2904394,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,ข้าวนาปี
5,347,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,ข้าวนาปี
6,1006455,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,ข้าวนาปี
7,13,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,ข้าวนาปี
8,13104,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,ข้าวนาปี
9,13408,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,ข้าวนาปรัง
10,77795,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,ข้าวนาปรัง
11,321,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,ข้าวนาปรัง
12,77474,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,ข้าวนาปรัง
13,512,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,ข้าวนาปรัง
14,39633,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,ข้าวนาปรัง
15,13,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,ข้าวนาปรัง
16,520,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,ข้าวนาปรัง
17,16890,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,มันสำปะหลัง
18,148021,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,มันสำปะหลัง
19,2852,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,มันสำปะหลัง
20,145169,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,มันสำปะหลัง
21,3614,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,มันสำปะหลัง
22,524574,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,มันสำปะหลัง
23,2,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,มันสำปะหลัง
24,1107,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,มันสำปะหลัง
25,1601,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,อ้อยโรงงาน
26,11107,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,อ้อยโรงงาน
27,508,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,อ้อยโรงงาน
28,10599,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,อ้อยโรงงาน
29,9412,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,อ้อยโรงงาน
30,99763,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,อ้อยโรงงาน
31,2,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,อ้อยโรงงาน
32,153,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,อ้อยโรงงาน
33,36240,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,ยางพารา
34,350054,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,ยางพารา
35,0,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,ยางพารา
36,335984,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,ยางพารา
37,240,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,ยางพารา
38,80636,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,ยางพารา
39,18,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,ยางพารา
40,1451,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,ยางพารา
41,6939,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,หอมแดง
42,19797,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,หอมแดง
43,88,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,หอมแดง
44,19709,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,หอมแดง
45,3472,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,หอมแดง
46,68429,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,หอมแดง
47,35,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,หอมแดง
48,2395,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,หอมแดง
49,7253,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,พริก
50,24796,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,พริก
51,25,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,พริก
52,24700,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,พริก
53,2304,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,พริก
54,56920,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,พริก
55,17,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,พริก
56,977,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,พริก
57,615,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,กระเทียม
58,607,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,กระเทียม
59,10,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,กระเทียม
60,597,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,กระเทียม
61,819,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,กระเทียม
62,489,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,กระเทียม
63,36,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,กระเทียม
64,18,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,กระเทียม
65,1252,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,ทุเรียน
66,8324,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,ทุเรียน
67,0,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,ทุเรียน
68,2951,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,ทุเรียน
69,1094,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,ทุเรียน
70,3227,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,ทุเรียน
71,140,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,ทุเรียน
72,452,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,ทุเรียน
73,460,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,ปาล์มน้ำมัน
74,8429,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,ปาล์มน้ำมัน
75,1037,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,ปาล์มน้ำมัน
76,7392,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,ปาล์มน้ำมัน
77,1346,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,ปาล์มน้ำมัน
78,9946,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,ปาล์มน้ำมัน
79,2,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,ปาล์มน้ำมัน
80,23,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,ปาล์มน้ำมัน
81,2962,2566,เกษตรกรที่ปลูก(คร.),ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์
82,34051,2566,พื้นที่เพาะปลูก(ไร่),ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์
83,20,2566,พื้นที่เสียหาย(ไร่),ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์
84,34031,2566,พื้นที่เก็บเกี่ยว(ไร่),ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์
85,942,2566,ผลผลิตเฉลี่ย(กก./ไร่),ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์
86,32059,2566,ผลผลิตรวม(ตัน),ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์
87,8,2566,ราคาเฉลี่ย(บาท/กก.),ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์
88,266,2566,มูลค่าผลผลิตรวม(ลบ.),ศรีสะเกษ,ข้าวโพดเลี้ยงสัตว์
