เดือน,ค่าข้อมูล,ที่มา,_id,ปี,รายการ,หน่วย
ตุลาคม, 96 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,1,2566,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
พฤศจิกายน, 162 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,2,2566,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
ธันวาคม, 224 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,3,2566,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
มกราคม, 208 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,4,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
กุมภาพันธ์, 266 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,5,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
มีนาคม, 319 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,6,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
เมษายน, 269 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,7,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
พฤษภาคม, 530 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,8,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
มิถุนายน, 578 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,9,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
กรกฎาคม, 628 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,10,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
สิงหาคม, 704 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,11,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
กันยายน, 556 ,โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,12,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
ตุลาคม," 2,040 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,13,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
พฤศจิกายน," 2,031 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,14,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
ธันวาคม," 1,313 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,15,2567,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
มกราคม," 1,426 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,16,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
กุมภาพันธ์," 1,456 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,17,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
มีนาคม," 1,619 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,18,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
เมษายน," 1,544 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,19,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
พฤษภาคม," 1,471 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,20,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
มิถุนายน," 1,952 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,21,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
กรกฎาคม," 1,770 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,22,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
สิงหาคม," 1,586 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,23,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
กันยายน," 1,999 ",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,24,2568,ปริมาณขยะติดเชื้อโรงพยาบาลส่งเสริมสุขภาพประจำตำบล,กิโลกรัม
