_id,ประเภทรถ,ปี,จำนวน,ชนิดเชื้อเพลิง
283,รย. 13 รถแทร็กเตอร์,2567,518,ดีเซล
284,รย. 14 รถบดถนน,2567,0,ดีเซล
285,รย. 15 รถใช้ในงานเกษตรกรรม,2567,0,ดีเซล
286,รย. 16 รถพ่วง,2567,0,ดีเซล
287,รย. 17 รถจักรยานยนต์สาธารณะ,2567,0,ดีเซล
288,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2567,0,ดีเซล
289,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2567,3,แก๊ส LPG +เบนซิน
290,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2567,2,แก๊ส LPG +เบนซิน
291,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2567,0,แก๊ส LPG +เบนซิน
292,รย. 4 รถยนต์สามล้อส่วนบุคคล,2567,0,แก๊ส LPG +เบนซิน
293,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2567,0,แก๊ส LPG +เบนซิน
294,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2567,0,แก๊ส LPG +เบนซิน
295,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2567,0,แก๊ส LPG +เบนซิน
296,รย. 8 รถยนต์รับจ้างสามล้อ,2567,0,แก๊ส LPG +เบนซิน
297,รย. 9 รถยนต์บริการธุรกิจ,2567,0,แก๊ส LPG +เบนซิน
298,รย. 10 รถยนต์บริการทัศนาจร,2567,0,แก๊ส LPG +เบนซิน
299,รย. 11 รถยนต์บริการให้เช่า,2567,0,แก๊ส LPG +เบนซิน
300,รย. 12 รถจักรยานยนต์,2567,0,แก๊ส LPG +เบนซิน
301,รย. 13 รถแทร็กเตอร์,2567,0,แก๊ส LPG +เบนซิน
302,รย. 14 รถบดถนน,2567,0,แก๊ส LPG +เบนซิน
303,รย. 15 รถใช้ในงานเกษตรกรรม,2567,0,แก๊ส LPG +เบนซิน
304,รย. 16 รถพ่วง,2567,0,แก๊ส LPG +เบนซิน
305,รย. 17 รถจักรยานยนต์สาธารณะ,2567,0,แก๊ส LPG +เบนซิน
306,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2567,0,แก๊ส LPG +เบนซิน
307,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2567,47,ไฟฟ้า
308,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2567,0,ไฟฟ้า
309,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2567,0,ไฟฟ้า
310,รย. 4 รถยนต์สามล้อส่วนบุคคล,2567,0,ไฟฟ้า
311,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2567,0,ไฟฟ้า
312,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2567,0,ไฟฟ้า
313,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2567,0,ไฟฟ้า
314,รย. 8 รถยนต์รับจ้างสามล้อ,2567,0,ไฟฟ้า
315,รย. 9 รถยนต์บริการธุรกิจ,2567,0,ไฟฟ้า
316,รย. 10 รถยนต์บริการทัศนาจร,2567,0,ไฟฟ้า
317,รย. 11 รถยนต์บริการให้เช่า,2567,0,ไฟฟ้า
318,รย. 12 รถจักรยานยนต์,2567,61,ไฟฟ้า
319,รย. 13 รถแทร็กเตอร์,2567,0,ไฟฟ้า
320,รย. 14 รถบดถนน,2567,0,ไฟฟ้า
321,รย. 15 รถใช้ในงานเกษตรกรรม,2567,0,ไฟฟ้า
322,รย. 16 รถพ่วง,2567,0,ไฟฟ้า
323,รย. 17 รถจักรยานยนต์สาธารณะ,2567,0,ไฟฟ้า
324,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2567,0,ไฟฟ้า
325,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2567,0,CNG สลับเบนซิน
326,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2567,2,CNG สลับเบนซิน
327,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2567,0,CNG สลับเบนซิน
328,รย. 4 รถยนต์สามล้อส่วนบุคคล,2567,0,CNG สลับเบนซิน
329,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2567,0,CNG สลับเบนซิน
330,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2567,0,CNG สลับเบนซิน
331,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2567,0,CNG สลับเบนซิน
332,รย. 8 รถยนต์รับจ้างสามล้อ,2567,0,CNG สลับเบนซิน
333,รย. 9 รถยนต์บริการธุรกิจ,2567,0,CNG สลับเบนซิน
334,รย. 10 รถยนต์บริการทัศนาจร,2567,0,CNG สลับเบนซิน
335,รย. 11 รถยนต์บริการให้เช่า,2567,0,CNG สลับเบนซิน
336,รย. 12 รถจักรยานยนต์,2567,0,CNG สลับเบนซิน
337,รย. 13 รถแทร็กเตอร์,2567,0,CNG สลับเบนซิน
338,รย. 14 รถบดถนน,2567,0,CNG สลับเบนซิน
339,รย. 15 รถใช้ในงานเกษตรกรรม,2567,0,CNG สลับเบนซิน
340,รย. 16 รถพ่วง,2567,0,CNG สลับเบนซิน
341,รย. 17 รถจักรยานยนต์สาธารณะ,2567,0,CNG สลับเบนซิน
342,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2567,0,CNG สลับเบนซิน
343,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2567,187,เบนซิน-ไฟฟ้า
344,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2567,0,เบนซิน-ไฟฟ้า
345,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2567,0,เบนซิน-ไฟฟ้า
346,รย. 4 รถยนต์สามล้อส่วนบุคคล,2567,0,เบนซิน-ไฟฟ้า
347,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2567,0,เบนซิน-ไฟฟ้า
348,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2567,0,เบนซิน-ไฟฟ้า
349,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2567,0,เบนซิน-ไฟฟ้า
350,รย. 8 รถยนต์รับจ้างสามล้อ,2567,0,เบนซิน-ไฟฟ้า
351,รย. 9 รถยนต์บริการธุรกิจ,2567,0,เบนซิน-ไฟฟ้า
352,รย. 10 รถยนต์บริการทัศนาจร,2567,0,เบนซิน-ไฟฟ้า
353,รย. 11 รถยนต์บริการให้เช่า,2567,0,เบนซิน-ไฟฟ้า
354,รย. 12 รถจักรยานยนต์,2567,0,เบนซิน-ไฟฟ้า
355,รย. 13 รถแทร็กเตอร์,2567,0,เบนซิน-ไฟฟ้า
356,รย. 14 รถบดถนน,2567,0,เบนซิน-ไฟฟ้า
357,รย. 15 รถใช้ในงานเกษตรกรรม,2567,0,เบนซิน-ไฟฟ้า
358,รย. 16 รถพ่วง,2567,0,เบนซิน-ไฟฟ้า
359,รย. 17 รถจักรยานยนต์สาธารณะ,2567,0,เบนซิน-ไฟฟ้า
360,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2567,0,เบนซิน-ไฟฟ้า
361,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2567,1,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
362,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
363,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
364,รย. 4 รถยนต์สามล้อส่วนบุคคล,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
365,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
366,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
367,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
368,รย. 8 รถยนต์รับจ้างสามล้อ,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
369,รย. 9 รถยนต์บริการธุรกิจ,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
370,รย. 10 รถยนต์บริการทัศนาจร,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
371,รย. 11 รถยนต์บริการให้เช่า,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
372,รย. 12 รถจักรยานยนต์,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
373,รย. 13 รถแทร็กเตอร์,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
374,รย. 14 รถบดถนน,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
375,รย. 15 รถใช้ในงานเกษตรกรรม,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
376,รย. 16 รถพ่วง,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
377,รย. 17 รถจักรยานยนต์สาธารณะ,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
378,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2567,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
379,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2568,292,เบนซิน
380,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2568,3,เบนซิน
381,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2568,3,เบนซิน
382,รย. 4 รถยนต์สามล้อส่วนบุคคล,2568,0,เบนซิน
383,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2568,0,เบนซิน
384,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2568,0,เบนซิน
385,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2568,0,เบนซิน
386,รย. 8 รถยนต์รับจ้างสามล้อ,2568,0,เบนซิน
387,รย. 9 รถยนต์บริการธุรกิจ,2568,0,เบนซิน
388,รย. 10 รถยนต์บริการทัศนาจร,2568,0,เบนซิน
389,รย. 11 รถยนต์บริการให้เช่า,2568,0,เบนซิน
390,รย. 12 รถจักรยานยนต์,2568,"4,813",เบนซิน
391,รย. 13 รถแทร็กเตอร์,2568,0,เบนซิน
392,รย. 14 รถบดถนน,2568,0,เบนซิน
393,รย. 15 รถใช้ในงานเกษตรกรรม,2568,0,เบนซิน
394,รย. 16 รถพ่วง,2568,0,เบนซิน
395,รย. 17 รถจักรยานยนต์สาธารณะ,2568,0,เบนซิน
396,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2568,0,เบนซิน
397,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2568,387,ดีเซล
398,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2568,14,ดีเซล
399,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2568,328,ดีเซล
400,รย. 4 รถยนต์สามล้อส่วนบุคคล,2568,0,ดีเซล
401,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2568,0,ดีเซล
402,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2568,0,ดีเซล
403,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2568,0,ดีเซล
404,รย. 8 รถยนต์รับจ้างสามล้อ,2568,0,ดีเซล
405,รย. 9 รถยนต์บริการธุรกิจ,2568,0,ดีเซล
406,รย. 10 รถยนต์บริการทัศนาจร,2568,0,ดีเซล
407,รย. 11 รถยนต์บริการให้เช่า,2568,0,ดีเซล
408,รย. 12 รถจักรยานยนต์,2568,0,ดีเซล
409,รย. 13 รถแทร็กเตอร์,2568,320,ดีเซล
410,รย. 14 รถบดถนน,2568,0,ดีเซล
411,รย. 15 รถใช้ในงานเกษตรกรรม,2568,0,ดีเซล
412,รย. 16 รถพ่วง,2568,0,ดีเซล
413,รย. 17 รถจักรยานยนต์สาธารณะ,2568,0,ดีเซล
414,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2568,0,ดีเซล
415,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2568,1,แก๊ส LPG +เบนซิน
416,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2568,3,แก๊ส LPG +เบนซิน
417,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2568,4,แก๊ส LPG +เบนซิน
418,รย. 4 รถยนต์สามล้อส่วนบุคคล,2568,0,แก๊ส LPG +เบนซิน
419,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2568,0,แก๊ส LPG +เบนซิน
420,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2568,0,แก๊ส LPG +เบนซิน
421,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2568,0,แก๊ส LPG +เบนซิน
422,รย. 8 รถยนต์รับจ้างสามล้อ,2568,0,แก๊ส LPG +เบนซิน
423,รย. 9 รถยนต์บริการธุรกิจ,2568,0,แก๊ส LPG +เบนซิน
424,รย. 10 รถยนต์บริการทัศนาจร,2568,0,แก๊ส LPG +เบนซิน
425,รย. 11 รถยนต์บริการให้เช่า,2568,0,แก๊ส LPG +เบนซิน
426,รย. 12 รถจักรยานยนต์,2568,0,แก๊ส LPG +เบนซิน
427,รย. 13 รถแทร็กเตอร์,2568,0,แก๊ส LPG +เบนซิน
428,รย. 14 รถบดถนน,2568,0,แก๊ส LPG +เบนซิน
429,รย. 15 รถใช้ในงานเกษตรกรรม,2568,0,แก๊ส LPG +เบนซิน
430,รย. 16 รถพ่วง,2568,0,แก๊ส LPG +เบนซิน
431,รย. 17 รถจักรยานยนต์สาธารณะ,2568,0,แก๊ส LPG +เบนซิน
432,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2568,0,แก๊ส LPG +เบนซิน
433,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2568,51,ไฟฟ้า
434,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2568,0,ไฟฟ้า
435,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2568,0,ไฟฟ้า
436,รย. 4 รถยนต์สามล้อส่วนบุคคล,2568,0,ไฟฟ้า
437,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2568,0,ไฟฟ้า
438,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2568,0,ไฟฟ้า
439,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2568,0,ไฟฟ้า
440,รย. 8 รถยนต์รับจ้างสามล้อ,2568,0,ไฟฟ้า
441,รย. 9 รถยนต์บริการธุรกิจ,2568,0,ไฟฟ้า
442,รย. 10 รถยนต์บริการทัศนาจร,2568,0,ไฟฟ้า
443,รย. 11 รถยนต์บริการให้เช่า,2568,0,ไฟฟ้า
444,รย. 12 รถจักรยานยนต์,2568,11,ไฟฟ้า
445,รย. 13 รถแทร็กเตอร์,2568,0,ไฟฟ้า
446,รย. 14 รถบดถนน,2568,0,ไฟฟ้า
447,รย. 15 รถใช้ในงานเกษตรกรรม,2568,0,ไฟฟ้า
448,รย. 16 รถพ่วง,2568,0,ไฟฟ้า
449,รย. 17 รถจักรยานยนต์สาธารณะ,2568,0,ไฟฟ้า
450,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2568,0,ไฟฟ้า
451,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2568,0,CNG สลับเบนซิน
452,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2568,0,CNG สลับเบนซิน
453,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2568,0,CNG สลับเบนซิน
454,รย. 4 รถยนต์สามล้อส่วนบุคคล,2568,0,CNG สลับเบนซิน
455,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2568,0,CNG สลับเบนซิน
456,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2568,0,CNG สลับเบนซิน
457,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2568,0,CNG สลับเบนซิน
458,รย. 8 รถยนต์รับจ้างสามล้อ,2568,0,CNG สลับเบนซิน
459,รย. 9 รถยนต์บริการธุรกิจ,2568,0,CNG สลับเบนซิน
460,รย. 10 รถยนต์บริการทัศนาจร,2568,0,CNG สลับเบนซิน
461,รย. 11 รถยนต์บริการให้เช่า,2568,0,CNG สลับเบนซิน
462,รย. 12 รถจักรยานยนต์,2568,0,CNG สลับเบนซิน
463,รย. 13 รถแทร็กเตอร์,2568,0,CNG สลับเบนซิน
464,รย. 14 รถบดถนน,2568,0,CNG สลับเบนซิน
465,รย. 15 รถใช้ในงานเกษตรกรรม,2568,0,CNG สลับเบนซิน
466,รย. 16 รถพ่วง,2568,0,CNG สลับเบนซิน
467,รย. 17 รถจักรยานยนต์สาธารณะ,2568,0,CNG สลับเบนซิน
468,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2568,0,CNG สลับเบนซิน
469,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2568,156,เบนซิน-ไฟฟ้า
470,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2568,0,เบนซิน-ไฟฟ้า
471,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2568,0,เบนซิน-ไฟฟ้า
472,รย. 4 รถยนต์สามล้อส่วนบุคคล,2568,0,เบนซิน-ไฟฟ้า
473,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2568,0,เบนซิน-ไฟฟ้า
474,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2568,0,เบนซิน-ไฟฟ้า
475,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2568,0,เบนซิน-ไฟฟ้า
476,รย. 8 รถยนต์รับจ้างสามล้อ,2568,0,เบนซิน-ไฟฟ้า
477,รย. 9 รถยนต์บริการธุรกิจ,2568,0,เบนซิน-ไฟฟ้า
478,รย. 10 รถยนต์บริการทัศนาจร,2568,0,เบนซิน-ไฟฟ้า
479,รย. 11 รถยนต์บริการให้เช่า,2568,0,เบนซิน-ไฟฟ้า
480,รย. 12 รถจักรยานยนต์,2568,1,เบนซิน-ไฟฟ้า
481,รย. 13 รถแทร็กเตอร์,2568,0,เบนซิน-ไฟฟ้า
482,รย. 14 รถบดถนน,2568,0,เบนซิน-ไฟฟ้า
483,รย. 15 รถใช้ในงานเกษตรกรรม,2568,0,เบนซิน-ไฟฟ้า
484,รย. 16 รถพ่วง,2568,0,เบนซิน-ไฟฟ้า
485,รย. 17 รถจักรยานยนต์สาธารณะ,2568,0,เบนซิน-ไฟฟ้า
486,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2568,0,เบนซิน-ไฟฟ้า
487,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2568,6,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
488,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
489,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
490,รย. 4 รถยนต์สามล้อส่วนบุคคล,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
491,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
492,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
493,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
494,รย. 8 รถยนต์รับจ้างสามล้อ,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
495,รย. 9 รถยนต์บริการธุรกิจ,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
496,รย. 10 รถยนต์บริการทัศนาจร,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
497,รย. 11 รถยนต์บริการให้เช่า,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
498,รย. 12 รถจักรยานยนต์,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
499,รย. 13 รถแทร็กเตอร์,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
500,รย. 14 รถบดถนน,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
501,รย. 15 รถใช้ในงานเกษตรกรรม,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
502,รย. 16 รถพ่วง,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
503,รย. 17 รถจักรยานยนต์สาธารณะ,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
504,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2568,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
