_id,ประเภทรถ,ปี,จำนวน,ชนิดเชื้อเพลิง
61,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2565,0,ไฟฟ้า
62,รย. 8 รถยนต์รับจ้างสามล้อ,2565,0,ไฟฟ้า
63,รย. 9 รถยนต์บริการธุรกิจ,2565,0,ไฟฟ้า
64,รย. 10 รถยนต์บริการทัศนาจร,2565,0,ไฟฟ้า
65,รย. 11 รถยนต์บริการให้เช่า,2565,0,ไฟฟ้า
66,รย. 12 รถจักรยานยนต์,2565,8,ไฟฟ้า
67,รย. 13 รถแทร็กเตอร์,2565,0,ไฟฟ้า
68,รย. 14 รถบดถนน,2565,0,ไฟฟ้า
69,รย. 15 รถใช้ในงานเกษตรกรรม,2565,0,ไฟฟ้า
70,รย. 16 รถพ่วง,2565,0,ไฟฟ้า
71,รย. 17 รถจักรยานยนต์สาธารณะ,2565,0,ไฟฟ้า
72,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2565,0,ไฟฟ้า
73,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2565,0,CNG สลับเบนซิน
74,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2565,3,CNG สลับเบนซิน
75,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2565,0,CNG สลับเบนซิน
76,รย. 4 รถยนต์สามล้อส่วนบุคคล,2565,0,CNG สลับเบนซิน
77,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2565,0,CNG สลับเบนซิน
78,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2565,0,CNG สลับเบนซิน
79,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2565,0,CNG สลับเบนซิน
80,รย. 8 รถยนต์รับจ้างสามล้อ,2565,0,CNG สลับเบนซิน
81,รย. 9 รถยนต์บริการธุรกิจ,2565,0,CNG สลับเบนซิน
82,รย. 10 รถยนต์บริการทัศนาจร,2565,0,CNG สลับเบนซิน
83,รย. 11 รถยนต์บริการให้เช่า,2565,0,CNG สลับเบนซิน
84,รย. 12 รถจักรยานยนต์,2565,0,CNG สลับเบนซิน
85,รย. 13 รถแทร็กเตอร์,2565,0,CNG สลับเบนซิน
86,รย. 14 รถบดถนน,2565,0,CNG สลับเบนซิน
87,รย. 15 รถใช้ในงานเกษตรกรรม,2565,0,CNG สลับเบนซิน
88,รย. 16 รถพ่วง,2565,0,CNG สลับเบนซิน
89,รย. 17 รถจักรยานยนต์สาธารณะ,2565,0,CNG สลับเบนซิน
90,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2565,0,CNG สลับเบนซิน
91,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2565,63,เบนซิน-ไฟฟ้า
92,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2565,0,เบนซิน-ไฟฟ้า
