เดือน,_id,ปี,ปริมาณ,รายการ,จังหวัด,หน่วยงาน,หน่วย
มกราคม,1,2563," 5,168.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,2,2563," 8,513.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,3,2563," 13,926.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,4,2563," 14,406.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,5,2563," 13,252.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,6,2563," 16,544.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,7,2563," 14,212.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,8,2563," 12,811.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,9,2563," 11,485.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,10,2563," 10,119.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,11,2563," 6,393.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,12,2563," 10,716.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,13,2564," 7,508.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,14,2564," 10,150.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,15,2564," 16,524.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,16,2564," 13,854.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,17,2564," 16,839.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,18,2564," 9,832.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,19,2564," 12,245.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,20,2564," 12,206.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,21,2564," 14,154.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,22,2564," 12,384.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,23,2564," 17,196.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,24,2564," 10,201.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,25,2565," 8,634.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,26,2565," 10,037.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,27,2565," 16,427.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,28,2565," 14,833.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,29,2565," 17,288.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,30,2565," 13,049.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,31,2565," 9,866.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,32,2565," 15,607.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,33,2565," 16,704.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,34,2565," 22,077.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,35,2565," 17,620.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,36,2565," 13,674.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,37,2566," 14,603.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,38,2566," 18,867.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,39,2566," 27,940.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,40,2566," 15,069.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,41,2566," 13,489.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
