_id,ผลผลิตข้าว,ปี,อำเภอ,หน่วยนับ
1,"73,667,397",2562,เมืองนครสวรรค์,กิโลกรัม
2,"46,233,428",2562,โกรกพระ,กิโลกรัม
3,"144,518,260",2562,ชุมแสง,กิโลกรัม
4,"142,856,931",2562,หนองบัว,กิโลกรัม
5,"209,378,199",2562,บรรพตพิสัย,กิโลกรัม
6,"65,578,000",2562,เก้าเลี้ยว,กิโลกรัม
7,"79,472,060",2562,ตาคลี,กิโลกรัม
8,"275,575,500",2562,ท่าตะโก,กิโลกรัม
9,"109,533,530",2562,ไพศาลี,กิโลกรัม
10,"71,425,750",2562,พยุหะคีรี,กิโลกรัม
11,"174,982,350",2562,ลาดยาว,กิโลกรัม
12,"2,902,450",2562,ตากฟ้า,กิโลกรัม
13,"34,499,575",2562,แม่วงก์,กิโลกรัม
14,"3,369,200",2562,แม่เปิน,กิโลกรัม
15,"21,066,892",2562,ชุมตาบง,กิโลกรัม
16,"57,741,894",2563,เมืองนครสวรรค์,กิโลกรัม
17,"56,557,377",2563,โกรกพระ,กิโลกรัม
18,"137,700,400",2563,ชุมแสง,กิโลกรัม
19,"145,344,660",2563,หนองบัว,กิโลกรัม
20,"190,301,620",2563,บรรพตพิสัย,กิโลกรัม
21,"59,838,270",2563,เก้าเลี้ยว,กิโลกรัม
22,"105,463,600",2563,ตาคลี,กิโลกรัม
23,"233,600,000",2563,ท่าตะโก,กิโลกรัม
24,"141,982,700",2563,ไพศาลี,กิโลกรัม
25,"80,662,550",2563,พยุหะคีรี,กิโลกรัม
26,"361,513,500",2563,ลาดยาว,กิโลกรัม
27,"5,193,500",2563,ตากฟ้า,กิโลกรัม
28,"63,106,920",2563,แม่วงก์,กิโลกรัม
29,"4,309,200",2563,แม่เปิน,กิโลกรัม
30,"20,898,300",2563,ชุมตาบง,กิโลกรัม
31,"38,093,475",2564,เมืองนครสวรรค์,กิโลกรัม
32,"40,125,200",2564,โกรกพระ,กิโลกรัม
33,"148,696,400",2564,ชุมแสง,กิโลกรัม
34,"94,135,700",2564,หนองบัว,กิโลกรัม
35,"254,087,137",2564,บรรพตพิสัย,กิโลกรัม
36,"66,054,450",2564,เก้าเลี้ยว,กิโลกรัม
37,"59,427,800",2564,ตาคลี,กิโลกรัม
38,"98,078,000",2564,ท่าตะโก,กิโลกรัม
39,"89,019,500",2564,ไพศาลี,กิโลกรัม
40,"62,342,290",2564,พยุหะคีรี,กิโลกรัม
41,"535,036,650",2564,ลาดยาว,กิโลกรัม
42,"7,011,000",2564,ตากฟ้า,กิโลกรัม
43,"46,854,708",2564,แม่วงก์,กิโลกรัม
44,"4,890,000",2564,แม่เปิน,กิโลกรัม
45,"21,702,150",2564,ชุมตาบง,กิโลกรัม
46,"105,534,608",2565,เมืองนครสวรรค์,กิโลกรัม
47,"49,386,900",2565,โกรกพระ,กิโลกรัม
48,"161,354,002",2565,ชุมแสง,กิโลกรัม
49,"144,802,420",2565,หนองบัว,กิโลกรัม
50,"245,867,951",2565,บรรพตพิสัย,กิโลกรัม
51,"61,570,250",2565,เก้าเลี้ยว,กิโลกรัม
52,"104,374,300",2565,ตาคลี,กิโลกรัม
53,"156,989,700",2565,ท่าตะโก,กิโลกรัม
54,"148,288,800",2565,ไพศาลี,กิโลกรัม
55,"71,167,910",2565,พยุหะคีรี,กิโลกรัม
56,"114,721,100",2565,ลาดยาว,กิโลกรัม
57,"4,616,150",2565,ตากฟ้า,กิโลกรัม
58,"34,904,100",2565,แม่วงก์,กิโลกรัม
59,"6,983,000",2565,แม่เปิน,กิโลกรัม
60,"32,727,800",2565,ชุมตาบง,กิโลกรัม
61,"115,222,400",2566,เมืองนครสวรรค์,กิโลกรัม
62,"35,972,301",2566,โกรกพระ,กิโลกรัม
63,"175,802,100",2566,ชุมแสง,กิโลกรัม
64,"174,398,500",2566,หนองบัว,กิโลกรัม
65,"252,502,749",2566,บรรพตพิสัย,กิโลกรัม
66,"63,937,490",2566,เก้าเลี้ยว,กิโลกรัม
67,"90,703,300",2566,ตาคลี,กิโลกรัม
68,"275,731,400",2566,ท่าตะโก,กิโลกรัม
69,"80,664,600",2566,ไพศาลี,กิโลกรัม
70,"71,576,055",2566,พยุหะคีรี,กิโลกรัม
71,"139,024,630",2566,ลาดยาว,กิโลกรัม
72,"4,239,400",2566,ตากฟ้า,กิโลกรัม
73,"38,511,750",2566,แม่วงก์,กิโลกรัม
74,"4,687,800",2566,แม่เปิน,กิโลกรัม
75,"30,213,800",2566,ชุมตาบง,กิโลกรัม
76,"96,052,555",2567,เมืองนครสวรรค์,กิโลกรัม
77,"52,925,060",2567,โกรกพระ,กิโลกรัม
78,"163,900,400",2567,ชุมแสง,กิโลกรัม
79,"157,720,000",2567,หนองบัว,กิโลกรัม
80,"205,707,360",2567,บรรพตพิสัย,กิโลกรัม
81,"63,568,050",2567,เก้าเลี้ยว,กิโลกรัม
82,"74,404,050",2567,ตาคลี,กิโลกรัม
83,"236,782,200",2567,ท่าตะโก,กิโลกรัม
84,"128,223,050",2567,ไพศาลี,กิโลกรัม
85,"71,978,020",2567,พยุหะคีรี,กิโลกรัม
86,"115,928,053",2567,ลาดยาว,กิโลกรัม
87,0,2567,ตากฟ้า,กิโลกรัม
88,"36,029,610",2567,แม่วงก์,กิโลกรัม
89,"6,118,800",2567,แม่เปิน,กิโลกรัม
90,"23,585,400",2567,ชุมตาบง,กิโลกรัม
