ค่าข้อมูล,ที่มา,_id,ปี,หน่วยนับ,รายการ
122,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม ,1,2561,ไร่,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1 ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP 
122.5,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม ,2,2562,ไร่,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1 ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
65,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม ,3,2563,ไร่,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1 ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
127.5,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม ,4,2564,ไร่,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1 ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
126,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม ,5,2565,ไร่,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1 ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
62,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม ,6,2566,ไร่,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1 ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
62,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม ,7,2566,ไร่,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1 ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
62,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม ,8,2567,ไร่,เนื้อที่เพาะปลูกลิ้นจี่ นพ.1 ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
