จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
"198,503,220.29",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,บาท
"195,283,722.77",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,บาท
"202,068,073.55",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,บาท
"184,495,307.46",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,บาท
