ค่าข้อมูล,ที่มา,_id,ปี,ชนิด,รายการ,จังหวัด,หน่วย
1595,สำนักงานเกษตรจังหวัดมหาสารคาม,1,2565,กก,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
6,สำนักงานเกษตรจังหวัดมหาสารคาม,2,2565,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
508,สำนักงานเกษตรจังหวัดมหาสารคาม,3,2565,ถั่วลิสง,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
1375,สำนักงานเกษตรจังหวัดมหาสารคาม,4,2565,มันแกว,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
163492,สำนักงานเกษตรจังหวัดมหาสารคาม,5,2565,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
1249,สำนักงานเกษตรจังหวัดมหาสารคาม,6,2565,ยาสูบ,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
679,สำนักงานเกษตรจังหวัดมหาสารคาม,7,2565,หญ้าเลี้ยงสัตว์,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
130965,สำนักงานเกษตรจังหวัดมหาสารคาม,8,2565,อ้อยโรงงาน,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
240,สำนักงานเกษตรจังหวัดมหาสารคาม,9,2566,กก,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
92,สำนักงานเกษตรจังหวัดมหาสารคาม,10,2566,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
565,สำนักงานเกษตรจังหวัดมหาสารคาม,11,2566,ถั่วลิสง,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
1634,สำนักงานเกษตรจังหวัดมหาสารคาม,12,2566,มันแกว,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
990,สำนักงานเกษตรจังหวัดมหาสารคาม,13,2566,ยาสูบ,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
97679,สำนักงานเกษตรจังหวัดมหาสารคาม,14,2566,อ้อยโรงงาน,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
1,สำนักงานเกษตรจังหวัดมหาสารคาม,15,2566,สับปะรด,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
172,สำนักงานเกษตรจังหวัดมหาสารคาม,16,2566,หญ้าเลี้ยงสัตว์,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
2155,สำนักงานเกษตรจังหวัดมหาสารคาม,17,2566,ปอเทือง,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
159516,สำนักงานเกษตรจังหวัดมหาสารคาม,18,2566,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
1090,สำนักงานเกษตรจังหวัดมหาสารคาม,19,2567,กก,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
140,สำนักงานเกษตรจังหวัดมหาสารคาม,20,2567,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
446,สำนักงานเกษตรจังหวัดมหาสารคาม,21,2567,ถั่วลิสง,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
2175,สำนักงานเกษตรจังหวัดมหาสารคาม,22,2567,มันแกว,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
2525,สำนักงานเกษตรจังหวัดมหาสารคาม,23,2567,ยาสูบ,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
128923,สำนักงานเกษตรจังหวัดมหาสารคาม,24,2567,อ้อยโรงงาน,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
870,สำนักงานเกษตรจังหวัดมหาสารคาม,25,2567,ปอเทือง,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
148095,สำนักงานเกษตรจังหวัดมหาสารคาม,26,2567,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
240,สำนักงานเกษตรจังหวัดมหาสารคาม,27,2568,กก,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
140,สำนักงานเกษตรจังหวัดมหาสารคาม,28,2568,ข้าวโพดเลี้ยงสัตว์,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
446,สำนักงานเกษตรจังหวัดมหาสารคาม,29,2568,ถั่วลิสง,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
870.25,สำนักงานเกษตรจังหวัดมหาสารคาม,30,2568,ปอเทือง,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
2175,สำนักงานเกษตรจังหวัดมหาสารคาม,31,2568,มันแกว,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
162733.2,สำนักงานเกษตรจังหวัดมหาสารคาม,32,2568,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
2525,สำนักงานเกษตรจังหวัดมหาสารคาม,33,2568,ยาสูบ,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
112634.63,สำนักงานเกษตรจังหวัดมหาสารคาม,34,2568,อ้อยโรงงาน,เนื้อที่เพาะปลูกพืชไร่,มหาสารคาม,ไร่
