จำนวน,_id,ปี,ระดับการศึกษา,เพศ,ไตรมาส,หน่วย
" 8,229 ",1,2566,ไม่มีการศึกษา,ชาย,1,คน
" 8,841 ",2,2566,ไม่มีการศึกษา,หญิง,1,คน
" 23,473 ",3,2566,ต่ำกว่าประถมศึกษา,ชาย,1,คน
" 23,675 ",4,2566,ต่ำกว่าประถมศึกษา,หญิง,1,คน
" 20,396 ",5,2566,ประถมศึกษา,ชาย,1,คน
" 16,522 ",6,2566,ประถมศึกษา,หญิง,1,คน
" 16,658 ",7,2566,มัธยมศึกษาตอนต้น,ชาย,1,คน
" 12,911 ",8,2566,มัธยมศึกษาตอนต้น,หญิง,1,คน
" 23,923 ",9,2566,มัธยมศึกษาตอนปลาย,ชาย,1,คน
" 21,525 ",10,2566,มัธยมศึกษาตอนปลาย,หญิง,1,คน
" 17,386 ",11,2566,  สายสามัญ,ชาย,1,คน
" 16,786 ",12,2566,  สายสามัญ,หญิง,1,คน
" 6,538 ",13,2566,  สายอาชีวศึกษา,ชาย,1,คน
" 4,739 ",14,2566,  สายอาชีวศึกษา,หญิง,1,คน
 -   ,15,2566,  สายวิชาการศึกษา,ชาย,1,คน
 -   ,16,2566,  สายวิชาการศึกษา,หญิง,1,คน
" 26,378 ",17,2566,อุดมศึกษา,ชาย,1,คน
" 26,775 ",18,2566,อุดมศึกษา,หญิง,1,คน
" 14,608 ",19,2566,  สายวิชาการ,ชาย,1,คน
" 16,255 ",20,2566,  สายวิชาการ,หญิง,1,คน
" 9,972 ",21,2566,  สายวิชาชีพ,ชาย,1,คน
" 6,543 ",22,2566,  สายวิชาชีพ,หญิง,1,คน
" 1,711 ",23,2566,  สายวิชาการศึกษา,ชาย,1,คน
" 3,978 ",24,2566,  สายวิชาการศึกษา,หญิง,1,คน
 -   ,25,2566,อื่น ๆ,ชาย,1,คน
 -   ,26,2566,อื่น ๆ,หญิง,1,คน
 87 ,27,2566,ไม่ทราบ,ชาย,1,คน
 -   ,28,2566,ไม่ทราบ,หญิง,1,คน
" 10,032 ",29,2566,ไม่มีการศึกษา,ชาย,2,คน
" 8,764 ",30,2566,ไม่มีการศึกษา,หญิง,2,คน
" 21,951 ",31,2566,ต่ำกว่าประถมศึกษา,ชาย,2,คน
" 21,837 ",32,2566,ต่ำกว่าประถมศึกษา,หญิง,2,คน
" 17,509 ",33,2566,ประถมศึกษา,ชาย,2,คน
" 15,413 ",34,2566,ประถมศึกษา,หญิง,2,คน
" 19,281 ",35,2566,มัธยมศึกษาตอนต้น,ชาย,2,คน
" 13,786 ",36,2566,มัธยมศึกษาตอนต้น,หญิง,2,คน
" 30,869 ",37,2566,มัธยมศึกษาตอนปลาย,ชาย,2,คน
" 25,267 ",38,2566,มัธยมศึกษาตอนปลาย,หญิง,2,คน
" 21,797 ",39,2566,  สายสามัญ,ชาย,2,คน
" 21,956 ",40,2566,  สายสามัญ,หญิง,2,คน
" 9,072 ",41,2566,  สายอาชีวศึกษา,ชาย,2,คน
" 3,311 ",42,2566,  สายอาชีวศึกษา,หญิง,2,คน
" 10,307 ",43,2566,  สายวิชาการศึกษา,ชาย,2,คน
" 6,075 ",44,2566,  สายวิชาการศึกษา,หญิง,2,คน
" 24,137 ",45,2566,อุดมศึกษา,ชาย,2,คน
" 23,311 ",46,2566,อุดมศึกษา,หญิง,2,คน
" 12,388 ",47,2566,  สายวิชาการ,ชาย,2,คน
" 13,700 ",48,2566,  สายวิชาการ,หญิง,2,คน
" 10,307 ",49,2566,  สายวิชาชีพ,ชาย,2,คน
" 6,075 ",50,2566,  สายวิชาชีพ,หญิง,2,คน
" 1,443 ",51,2566,  สายวิชาการศึกษา,ชาย,2,คน
" 3,535 ",52,2566,  สายวิชาการศึกษา,หญิง,2,คน
 -   ,53,2566,อื่น ๆ,ชาย,2,คน
 -   ,54,2566,อื่น ๆ,หญิง,2,คน
 -   ,55,2566,ไม่ทราบ,ชาย,2,คน
 -   ,56,2566,ไม่ทราบ,หญิง,2,คน
" 7,507 ",57,2566,ไม่มีการศึกษา,ชาย,3,คน
" 7,911 ",58,2566,ไม่มีการศึกษา,หญิง,3,คน
" 21,593 ",59,2566,ต่ำกว่าประถมศึกษา,ชาย,3,คน
" 21,447 ",60,2566,ต่ำกว่าประถมศึกษา,หญิง,3,คน
" 21,650 ",61,2566,ประถมศึกษา,ชาย,3,คน
" 17,494 ",62,2566,ประถมศึกษา,หญิง,3,คน
" 16,650 ",63,2566,มัธยมศึกษาตอนต้น,ชาย,3,คน
" 13,595 ",64,2566,มัธยมศึกษาตอนต้น,หญิง,3,คน
" 26,840 ",65,2566,มัธยมศึกษาตอนปลาย,ชาย,3,คน
" 25,278 ",66,2566,มัธยมศึกษาตอนปลาย,หญิง,3,คน
" 21,802 ",67,2566,  สายสามัญ,ชาย,3,คน
" 22,342 ",68,2566,  สายสามัญ,หญิง,3,คน
" 5,038 ",69,2566,  สายอาชีวศึกษา,ชาย,3,คน
" 2,936 ",70,2566,  สายอาชีวศึกษา,หญิง,3,คน
 -   ,71,2566,  สายวิชาการศึกษา,ชาย,3,คน
 -   ,72,2566,  สายวิชาการศึกษา,หญิง,3,คน
" 24,493 ",73,2566,อุดมศึกษา,ชาย,3,คน
" 28,187 ",74,2566,อุดมศึกษา,หญิง,3,คน
" 11,229 ",75,2566,  สายวิชาการ,ชาย,3,คน
" 16,823 ",76,2566,  สายวิชาการ,หญิง,3,คน
" 11,382 ",77,2566,  สายวิชาชีพ,ชาย,3,คน
" 7,207 ",78,2566,  สายวิชาชีพ,หญิง,3,คน
" 1,883 ",79,2566,  สายวิชาการศึกษา,ชาย,3,คน
" 4,008 ",80,2566,  สายวิชาการศึกษา,หญิง,3,คน
 -   ,81,2566,อื่น ๆ,ชาย,3,คน
 -   ,82,2566,อื่น ๆ,หญิง,3,คน
 -   ,83,2566,ไม่ทราบ,ชาย,3,คน
 150 ,84,2566,ไม่ทราบ,หญิง,3,คน
" 7,970 ",85,2566,ไม่มีการศึกษา,ชาย,4,คน
" 8,297 ",86,2566,ไม่มีการศึกษา,หญิง,4,คน
" 23,517 ",87,2566,ต่ำกว่าประถมศึกษา,ชาย,4,คน
" 21,770 ",88,2566,ต่ำกว่าประถมศึกษา,หญิง,4,คน
" 20,091 ",89,2566,ประถมศึกษา,ชาย,4,คน
" 16,914 ",90,2566,ประถมศึกษา,หญิง,4,คน
" 14,387 ",91,2566,มัธยมศึกษาตอนต้น,ชาย,4,คน
" 14,323 ",92,2566,มัธยมศึกษาตอนต้น,หญิง,4,คน
" 22,308 ",93,2566,มัธยมศึกษาตอนปลาย,ชาย,4,คน
" 22,784 ",94,2566,มัธยมศึกษาตอนปลาย,หญิง,4,คน
" 17,679 ",95,2566,  สายสามัญ,ชาย,4,คน
" 17,556 ",96,2566,  สายสามัญ,หญิง,4,คน
" 4,630 ",97,2566,  สายอาชีวศึกษา,ชาย,4,คน
" 5,228 ",98,2566,  สายอาชีวศึกษา,หญิง,4,คน
 -   ,99,2566,  สายวิชาการศึกษา,ชาย,4,คน
 -   ,100,2566,  สายวิชาการศึกษา,หญิง,4,คน
" 30,074 ",101,2566,อุดมศึกษา,ชาย,4,คน
" 29,506 ",102,2566,อุดมศึกษา,หญิง,4,คน
" 14,982 ",103,2566,  สายวิชาการ,ชาย,4,คน
" 20,561 ",104,2566,  สายวิชาการ,หญิง,4,คน
" 12,100 ",105,2566,  สายวิชาชีพ,ชาย,4,คน
" 6,663 ",106,2566,  สายวิชาชีพ,หญิง,4,คน
" 2,992 ",107,2566,  สายวิชาการศึกษา,ชาย,4,คน
" 2,281 ",108,2566,  สายวิชาการศึกษา,หญิง,4,คน
 -   ,109,2566,อื่น ๆ,ชาย,4,คน
 -   ,110,2566,อื่น ๆ,หญิง,4,คน
 -   ,111,2566,ไม่ทราบ,ชาย,4,คน
 -   ,112,2566,ไม่ทราบ,หญิง,4,คน
" 6,738 ",113,2567,ไม่มีการศึกษา,ชาย,1,คน
" 7,662 ",114,2567,ไม่มีการศึกษา,หญิง,1,คน
" 22,027 ",115,2567,ต่ำกว่าประถมศึกษา,ชาย,1,คน
" 18,698 ",116,2567,ต่ำกว่าประถมศึกษา,หญิง,1,คน
" 16,988 ",117,2567,ประถมศึกษา,ชาย,1,คน
" 18,660 ",118,2567,ประถมศึกษา,หญิง,1,คน
" 19,151 ",119,2567,มัธยมศึกษาตอนต้น,ชาย,1,คน
" 14,780 ",120,2567,มัธยมศึกษาตอนต้น,หญิง,1,คน
" 28,449 ",121,2567,มัธยมศึกษาตอนปลาย,ชาย,1,คน
" 26,385 ",122,2567,มัธยมศึกษาตอนปลาย,หญิง,1,คน
" 21,607 ",123,2567,  สายสามัญ,ชาย,1,คน
" 19,315 ",124,2567,  สายสามัญ,หญิง,1,คน
" 6,842 ",125,2567,  สายอาชีวศึกษา,ชาย,1,คน
" 7,069 ",126,2567,  สายอาชีวศึกษา,หญิง,1,คน
 -   ,127,2567,  สายวิชาการศึกษา,ชาย,1,คน
 -   ,128,2567,  สายวิชาการศึกษา,หญิง,1,คน
" 27,095 ",129,2567,อุดมศึกษา,ชาย,1,คน
" 29,068 ",130,2567,อุดมศึกษา,หญิง,1,คน
" 14,476 ",131,2567,  สายวิชาการ,ชาย,1,คน
" 17,489 ",132,2567,  สายวิชาการ,หญิง,1,คน
" 10,638 ",133,2567,  สายวิชาชีพ,ชาย,1,คน
" 5,292 ",134,2567,  สายวิชาชีพ,หญิง,1,คน
" 1,745 ",135,2567,  สายวิชาการศึกษา,ชาย,1,คน
" 6,287 ",136,2567,  สายวิชาการศึกษา,หญิง,1,คน
 -   ,137,2567,อื่น ๆ,ชาย,1,คน
 -   ,138,2567,อื่น ๆ,หญิง,1,คน
 235 ,139,2567,ไม่ทราบ,ชาย,1,คน
 -   ,140,2567,ไม่ทราบ,หญิง,1,คน
