วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ปี,วันที่รับรอง,จังหวัด,ระดับ
--,1,GI(E) 1-001,บริษัท ยาสกาว่า อิเล็คทริก ( ประเทศไทย ) จำกัด,2566,2565-03-10T00:00:00,ชลบุรี,1
--,2,GI(E) 1-002,บริษัท คาคามุ (ไทยแลนด์) จำกัด,2566,2565-03-10T00:00:00,ชลบุรี,1
--,3,GI(E) 1-003,บริษัท กุนมะ เซโกะ (ไทยแลนด์) จำกัด,2566,2565-03-10T00:00:00,ชลบุรี,1
--,4,GI(E) 1-015,บริษัท ไทย อินสแตนท์ โพรดักส์ จำกัด,2566,2565-03-10T00:00:00,ชลบุรี,1
--,5,GI(E) 1-017,บริษัท ฮันนี่เวลล์ อิเล็คทรอนิค แมธิเรียลส์ (ประเทศไทย) จำกัด,2566,2565-03-10T00:00:00,ชลบุรี,1
--,6,GI(E) 1-058,บริษัท เจ แม็ค อินดัสตรี จำกัด,2566,2565-04-10T00:00:00,ชลบุรี,1
--,7,GI(E) 1-059,บริษัท ซัมมิท เอ็น วี เอช จำกัด,2566,2565-04-10T00:00:00,ชลบุรี,1
--,8,GI(E) 1-060,บริษัท ศรีไทยเดลี่ฟู้ดส์ จำกัด,2566,2565-04-10T00:00:00,ชลบุรี,1
--,9,GI(E) 1-075,บริษัท เวสต์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,2566,2565-04-10T00:00:00,ชลบุรี,1
--,10,GI(E) 1-076,บริษัท เวสต์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,2566,2565-04-10T00:00:00,ชลบุรี,1
--,11,GI(E) 1-077,บริษัท เวสต์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,2566,2565-04-10T00:00:00,ชลบุรี,1
--,12,GI(E) 1-095,บริษัท นิชิกุระ (ประเทศไทย) จำกัด,2566,2565-06-10T00:00:00,ชลบุรี,1
--,13,GI(E) 1-096,บริษัท นิชิกุระ (ประเทศไทย) จำกัด,2566,2565-06-10T00:00:00,ชลบุรี,1
--,14,GI(E) 1-101,บริษัท ไวด์ เวย์ โมลด์ (ไทยแลนด์) จำกัด,2566,2565-06-10T00:00:00,ชลบุรี,1
--,15,GI(E) 1-105,บริษัท มารูเทค (ประเทศไทย) จำกัด,2566,2565-07-10T00:00:00,ชลบุรี,1
--,16,GI(E) 1-159,บริษัท ควอซาร์ เมดิคอล (ประเทศไทย) จำกัด,2566,2565-08-10T00:00:00,ชลบุรี,1
--,17,GI(E) 1-170,บริษัท ไทยซัมมิท เคเบิ้ล แอนด์ พาร์ท จำกัด,2566,2565-10-17T00:00:00,ชลบุรี,1
--,18,GI(E) 1-171,บริษัท ซันพลัคล์ (ประเทศไทย) จำกัด,2566,2565-10-17T00:00:00,ชลบุรี,1
--,19,GI(E) 1-172,บริษัท สเตอร์ริส โทโมเอะ (ประเทศไทย) จำกัด,2566,2565-10-17T00:00:00,ชลบุรี,1
--,20,GI(E) 1-228,บริษัท นิสเซ พลาสติก (ไทยแลนด์) จำกัด,2566,2565-10-27T00:00:00,ชลบุรี,1
--,21,GI(E) 1-231,บริษัท ไทย ยาชิมะ จำกัด,2566,2565-10-27T00:00:00,ชลบุรี,1
--,22,GI(E) 1-232,บริษัท ไทย โตโย อิเลคทริค จำกัด,2566,2565-10-27T00:00:00,ชลบุรี,1
--,23,GI(E) 1-265,บริษัท พี.เอส.เมททอลเวอกส์ จำกัด,2566,2565-10-28T00:00:00,ชลบุรี,1
--,24,GI(E) 1-700,บริษัท เอเธน คอมพิวเตอร์ โปรดักส์ จำกัด,2566,2565-11-15T00:00:00,ชลบุรี,1
--,25,GI(E) 1-712,สหกรณ์กองทุนสวนยางอำเภอบ่อทอง จำกัด,2566,2565-11-18T00:00:00,ชลบุรี,1
--,26,GI(E) 1-713,บริษัท อี แอนด์ เอช พรีซิซั่น (ประเทศไทย) จำกัด,2566,2565-11-18T00:00:00,ชลบุรี,1
--,27,GI(E) 1-723,บริษัท ไฮแกสเค็ท พลาสติกส์ กรุ๊ป(ประเทศไทย) จำกัด,2566,2565-11-22T00:00:00,ชลบุรี,1
--,28,GI(E) 1-724,บริษัท เจอีเอ็มที (ประเทศไทย) จำกัด,2566,2565-11-22T00:00:00,ชลบุรี,1
--,29,GI(E) 1-726,บริษัท ไทย กรีน ฟอร์จิ้ง จำกัด,2566,2565-11-22T00:00:00,ชลบุรี,1
--,30,GI(E) 1-733,บริษัท พรีแมกซ์ อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,2566,2565-11-22T00:00:00,ชลบุรี,1
--,31,GI(E) 1-734,บริษัท ดีแอลที อิเล็คทริค แอพพลายแอนซ์ จำกัด,2566,2565-11-23T00:00:00,ชลบุรี,1
--,32,GI(E) 1-735,บริษัท จื้อยี่ ซิงค์ อินดัสทรี ( ประเทศไทย ) จำกัด,2566,2565-11-23T00:00:00,ชลบุรี,1
--,33,GI(E) 1-736,บริษัท นิปปา (ประเทศไทย) จำกัด,2566,2565-11-23T00:00:00,ชลบุรี,1
--,34,GI(E) 1-742,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,2566,2565-11-23T00:00:00,ชลบุรี,1
--,35,GI(E) 1-743,บริษัท เกียวริซู คิเดน (ประเทศไทย) จำกัด,2566,2565-11-23T00:00:00,ชลบุรี,1
--,36,GI(E) 1-746,บริษัท เอเอฟอาร์ พลาสโมลด์ จำกัด,2566,2565-11-23T00:00:00,ชลบุรี,1
--,37,GI(E) 1-794,บริษัท เอ็นอีไอเอส แอนด์ โทกาโล่ (ประเทศไทย) จำกัด,2566,2565-06-12T00:00:00,ชลบุรี,1
--,38,GI(E) 1-795,บริษัท ทีบีเค เทคโนโลยี (ประเทศไทย) จำกัด,2566,2565-06-12T00:00:00,ชลบุรี,1
--,39,GI(E) 1-796,บริษัท เชอร์วิน-วิลเลี่ยมส์ (ไทยแลนด์) จำกัด,2566,2565-06-12T00:00:00,ชลบุรี,1
--,40,GI(E) 1-797,บริษัท ไทย-เจแปน แก๊ส จำกัด,2566,2565-06-12T00:00:00,ชลบุรี,1
--,41,GI(E) 1-871,บริษัท นิกโก้ นิลโกศล จำกัด,2566,2565-12-14T00:00:00,ชลบุรี,1
--,42,GI(E) 1-898,บริษัท ฟูจิมาคิ สตีล (ประเทศไทย) จำกัด,2566,2565-12-19T00:00:00,ชลบุรี,1
--,43,GI(E) 1-1353,บริษัท ทวีกาญจน์ค้าถัง 2002 จำกัด,2566,2566-06-01T00:00:00,ชลบุรี,1
--,44,GI(E) 1-1354,บริษัท ไทย ดีจีที จำกัด,2566,2566-06-01T00:00:00,ชลบุรี,1
