_id,มูลค่า (บาท),พื้นที่เสียหาย (ไร่),อำเภอ
1,0.0,0.0,เมืองอุทัยธานี
2,58882959.88,9309.5,ทัพทัน
3,88069856.96,13924.0,สว่างอารมณ์
4,8197251.84,1296.0,หนองฉาง
5,215051.36,34.0,หนองขาหย่าง
6,0.0,0.0,บ้านไร่
7,0.0,0.0,ลานสัก
8,0.0,0.0,ห้วยคต
