ผลผลิตที่ได้(กก.),พื้นที่ปลูก(ไร่),_id,ปี,ผลผลิต/ไร่,พื้นที่เก็บ(ไร่),อำเภอ
0,0,1,2563,0,0,เมืองอุทัยธานี
0,0,2,2563,0,0,ทัพทัน
0,0,3,2563,0,0,สว่างอารม์
0,0,4,2563,0,0,หนองฉาง
0,0,5,2563,0,0,หนองขาหย่าง
37123000,12743,6,2563,4074.08,9112,บ้านไร่
30000,284,7,2563,2000,15,ลานสัก
14090000,8668,8,2563,3598.06,3916,ห้วยคต
0,0,9,2564,0,0,เมืองอุทัยธานี
0,0,10,2564,0,0,ทัพทัน
0,0,11,2564,0,0,สว่างอารม์
0,0,12,2564,0,0,หนองฉาง
0,0,13,2564,0,0,หนองขาหย่าง
31675000,13515,14,2564,4508.26,7026,บ้านไร่
307000,269,15,2564,1930.82,159,ลานสัก
28450000,8198,16,2564,4087.64,6960,ห้วยคต
0,0,17,2565,0,0,เมืองอุทัยธานี
0,0,18,2565,0,0,ทัพทัน
0,0,19,2565,0,0,สว่างอารม์
0,0,20,2565,0,0,หนองฉาง
0,0,21,2565,0,0,หนองขาหย่าง
27866000,11804,22,2565,4840.37,5757,บ้านไร่
228750,189,23,2565,3000,76,ลานสัก
23973000,7705,24,2565,3864.12,6204,ห้วยคต
0,10,25,2566,0,0,ทัพทัน
30838,12391,26,2566,4030,7652,บ้านไร่
23,26,27,2566,3833,6,ลานสัก
21666,6218,28,2566,3950,5485,ห้วยคต
0,0,29,2567,0,0,เมืองอุทัยธานี
22,10,30,2567,2200,10,ทัพทัน
0,0,31,2567,0,0,สว่างอารม์
0,0,32,2567,0,0,หนองฉาง
0,0,33,2567,0,0,หนองขาหย่าง
42542,12970,34,2567,4100,10376,บ้านไร่
42,14,35,2567,3818,11,ลานสัก
20828,6509,36,2567,4000,5207,ห้วยคต
4128000,13630,37,2568,4811.19,858,บ้านไร่
0,107,38,2568,-,0,ลานสัก
10702600,6570,39,2568,3441.35,3110,ห้วยคต
