_id,ปี,หน่วย,อำเภอ,จังหวัด,โรงงานแปรรูปเกษตร
1,2567,โรงงาน,เมืองจันทบุรี,จันทบุรี,4
2,2567,โรงงาน,มะขาม,จันทบุรี,2
3,2567,โรงงาน,ขลุง,จันทบุรี,2
4,2567,โรงงาน,สอยดาว,จันทบุรี,3
5,2567,โรงงาน,เขาคิชฌกูฏ,จันทบุรี,2
6,2567,โรงงาน,นายายอาม,จันทบุรี,1
7,2567,โรงงาน,แหลมสิงห์,จันทบุรี,1
