_id,ปริมาณผลผลิตสุกร,ปี,เดือน,หน่วย
1," 92,773.00 ",2568,มกราคม,ตัว
2," 92,663.00 ",2568,กุมภาพันธ์,ตัว
3," 94,511.00 ",2568,มีนาคม,ตัว
4," 94,445.00 ",2568,เมษายน,ตัว
5," 93,361.00 ",2568,พฤษภาคม,ตัว
6," 91,495.00 ",2568,มิถุนายน,ตัว
7," 90,311.00 ",2568,กรกฎาคม,ตัว
8," 91,238.00 ",2568,สิงหาคม,ตัว
9," 91,718.00 ",2568,กันยายน,ตัว
10," 94,609.00 ",2568,ตุลาคม,ตัว
11," 92,466.00 ",2568,พฤศจิกายน,ตัว
12," 92,885.00 ",2568,ธันวาคม,ตัว
