ที่มา,_id,ปี,ข้อมูล,อำเภอ,รายการข้อมูล,หน่วย
สำนักงานเกษตรจังหวัดอุบลราชธานี,1,2563,4070805,รวม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,2,2563,120439,เมืองอุบลราชธานี,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,3,2563,183522,เขมราฐ,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,4,2563,266659,เขื่องใน,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,5,2563,213911,ศรีเมืองใหม่,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,6,2563,474626,เดชอุดม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,7,2563,341817,ตระการพืชผล,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,8,2563,93412,น้ำยืน,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,9,2563,67058,โขงเจียม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,10,2563,247911,บุณฑริก,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,11,2563,364745,พิบูลมังสาหาร,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,12,2563,299340,ม่วงสามสิบ,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,13,2563,176206,วารินชำราบ,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,14,2563,133883,กุดข้าวปุ้น,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,15,2563,136352,นาจะหลวย,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,16,2563,111982,ตาลสุม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,17,2563,98700,โพธิ์ไทร,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,18,2563,197648,สำโรง,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,19,2563,63017,ดอนมดแดง,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,20,2563,56116,สิรินธร,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,21,2563,82597,ทุ่งศรีอุดม,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,22,2563,80021,นาเยีย,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,23,2563,74343,เหล่าเสือโก้ก,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,24,2563,85094,นาตาล,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,25,2563,45513,สว่างวีระวงศ์,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,26,2563,55893,น้ำขุ่น,เนื้อที่ปลูกข้าวนาปี,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,27,2563,4022590,รวม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,28,2563,119042,เมืองอุบลราชธานี,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,29,2563,179852,เขมราฐ,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,30,2563,263566,เขื่องใน,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,31,2563,211430,ศรีเมืองใหม่,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,32,2563,469120,เดชอุดม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,33,2563,338399,ตระการพืชผล,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,34,2563,92328,น้ำยืน,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,35,2563,66280,โขงเจียม,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,36,2563,245035,บุณฑริก,เนื้อที่เก็บเกี่ยว,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,37,2563,360514,พิบูลมังสาหาร,เนื้อที่เก็บเกี่ยว,ไร่
