sex,_id,year,value,unit,age_group,source
ชาย (SEX = 1),79,2560,1.8,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),80,2560,1.4,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,81,2560,0.4,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),82,2560,0.4,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),83,2560,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,84,2560,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),85,2560,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),86,2560,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
รวม,87,2560,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),88,2560,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),89,2560,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
รวม,90,2561,1.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),91,2561,1.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),92,2561,1.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
รวม,93,2561,5.3,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),94,2561,4.8,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
