sex,_id,year,value,unit,age_group,source
ชาย (SEX = 1),220,2568,4.4,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),221,2568,5.8,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
รวม,222,2568,1.1,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),223,2568,1.0,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),224,2568,1.1,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,225,2568,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),226,2568,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),227,2568,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,228,2568,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),229,2568,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),230,2568,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
รวม,231,2568,0.0,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),232,2568,0.0,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),233,2568,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
