ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำเส้นบะหมี่และแผ่นเกี้ยว,บางกะปิ,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,ลาดพร้าว,ลาดพร้าว 117,100000000000,10.9,9,กรุงเทพมหานคร,NULL,60/1,27.5,2537,คลองจั่น,ศ2-10(3)-4/37,บริษัท บางกะปิ โภคภัณฑ์ จำกัด,1,โรงงานผลิตอาหาร บริษัท บางกะปิ โภคภัณฑ์ จำกัด,2,10240
ผลิตถุงเท้า,สะพานสูง,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,รามคำแหง,รามคำแหง 124,10100000000000,2,29,กรุงเทพมหานคร,NULL,"25/50,52,54",155.83,2540,สะพานสูง,2-28(1)-36/40,นายศิริชัย พรสกุลไพศาล,2,ศิริชัยการทอ,2,10240
ตัดเย็บเสื้อผ้าสำเร็จรูป ชุดสนาม เครื่องสนาม ผ้ากระโจม จำนวนจักรเย็บผ้า 40 เครื่อง,สาทร,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,จันทน์,โรงหมู (โรงนุ่น),10100000000000,4,50,กรุงเทพมหานคร,NULL,1610/1-2,11.72,2530,ทุ่งวัดดอน,2-28(1)-182/30,บริษัท ลำพูนไชย ฮาร์ดแวร์ จำกัด,3,บริษัท ลำพูนไชย ฮาร์ดแวร์ จำกัด,2,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป,หนองแขม,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,เพชรเกษม,เพชรเกษม 106,10100000000000,3,46,กรุงเทพมหานคร,7,"1012/53,55",57.12,2542,หนองค้างพลู,2-28(1)-91/42,บริษัท แอล แอนด์ เอ็น การ์เม้นท์ จำกัด,4,บริษัท แอล แอนด์ เอ็น การ์เม้นท์ จำกัด,2,10160
ทำป้าย ตัวอักษรโฆษณา,สะพานสูง,8705,การทำป้าย ตรา เครื่องหมาย ป้ายติดของ หรือเครื่องโฆษณาสินค้า ตราโลหะ หรือยางแม่พิมพ์,กรุงเทพกรีฑา,NULL,10100000000000,0.9,50,กรุงเทพมหานคร,NULL,"103, 105",25.47,2541,สะพานสูง,2-87(5)-2/41,บริษัท อาร์ติแฟท จำกัด,5,บริษัท อาร์ติแฟท จำกัด,2,10240
รับจ้างประกอบและผลิตอุปกรณ์อีเลคโทรนิคส์,สายไหม ,7200,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,พหลโยธิน,พหลโยธิน 50 แยก 11 (เสนาวัฒนา),10100000000000,6.2,95,กรุงเทพมหานคร,-,437/252,53.84,2545,คลองถนน,2-72-7/45,บริษัท ศิริพิทักษ์ จำกัด,6,บริษัท ศิริพิทักษ์ จำกัด,2,10220
ผลิตชิ้นส่วนรองเท้า,คลองสามวา,5307,การทำรองเท้า หรือชิ้นส่วนของรองเท้า,หทัยราษฎร์,NULL,10100000000000,25,50,กรุงเทพมหานคร,NULL,192,37,2544,บางชัน,2-53(7)-1/44,บริษัท แพน อะเพซ จำกัด,7,บริษัท แพน อะเพซ จำกัด,2,10510
ผลิตของชำร่วย เครื่องเรือน เครื่องประดับ จากเรซิ่น พลาสติก,คลองหลวง,5801,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,คลองหลวง,NULL,10100000000000,4.51,75,ปทุมธานี,6,38,15.5,2534,คลองสอง,2-58(1)-8/34ปท,บริษัท ปทุมธนา จำกัด,8,บริษัท ปทุมธนา จำกัด,2,12120
รับจ้างตัดเย็บผ้า,ธนบุรี,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,รัชดาภิเษก(ท่าพระ-ตากสิน),รัชดา 7,10100000000000,4.05,86,กรุงเทพมหานคร,NULL,656658,29.69,2540,บุคคโล,2-28(1)-52/40,บริษัท ยูเนียน สตาร์ เซโม จำกัด,9,บริษัท ยูเนี่ยน สตาร์ เซโม จำกัด,2,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป,เมืองนนทบุรี,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,งามวงศ์วาน,ธนาคารอาคารสงเคราะห์ 10,10100000000000,2.81,39,นนทบุรี,2,500,56.3,2530,บางเขน,2-28(1)-2/30นบ,บริษัท เอ็น เอ แอพพาเรล จำกัด,10,บริษัท เอ็น เอ แอพพาเรล จำกัด,2,11000
