จำนวน,ประเภท,_id,ปี,แหล่งข้อมูล,หน่วยนับ,รายการ,จังหวัด
42,ผลิตภัณฑ์จากพืช,1,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
39,ผลิตภัณฑ์จากพืช,2,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
39,ผลิตภัณฑ์จากพืช,3,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
41,ผลิตภัณฑ์จากพืช,4,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
57,อุตสาหกรรมอาหาร,5,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
56,อุตสาหกรรมอาหาร,6,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
56,อุตสาหกรรมอาหาร,7,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
58,อุตสาหกรรมอาหาร,8,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
8,อุตสาหกรรมเครื่องดื่ม,9,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
8,อุตสาหกรรมเครื่องดื่ม,10,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
