ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
อบข้าวสาร คัด และปรับปรุงคุณภาพข้าวสาร,ไทรน้อย,901,ปทุมธานี-บางเลน,, 106.74 ,20120100125469, 9 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,2,10/5, 463.00 ,จ3-9(1)-1/46นบ,46,ขุนศรี,บริษัท อุดมสุข ไรซ์ จำกัด,2462,บริษัท อุดมสุข ไรซ์ จำกัด,3,11150
ฝัดและอบข้าวเปลือก,ไทรน้อย,901,,, 24.00 ,20120173525637, 7 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,3,55/1, 149.50 ,จ3-9(1)-27/63นบ,63,หนองเพรางาย,เพิ่มพูนทวีทรัพย์,2463,เพิ่มพูนทวีทรัพย์,3,11150
"ทำแป้งถั่วเขียว, วุ้นเส้น",ไทรน้อย,902,ตลิ่งชัน-สุพรรณบุรี,หลัก กม.ที่ 50, 22.00 ,10120000125298, 36 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,6,16/1," 3,125.00 ",3-9(2)-1/29นบ,29,ไทรน้อย,บริษัท ซี.ที.บี เวิลด์เทรด (ไทยแลนด์) จำกัด,2464,บริษัท ซี.ที.บี เวิลด์เทรด (ไทยแลนด์) จำกัด,3,11150
ผลิตเต้าหู้ยี้แดง และผลิตภัณฑ์ถั่วเหลืองแปรรูป,ไทรน้อย,904,,, 1.63 ,20120282925645, 6 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,3,20/4, 114.33 ,จ3-9(4)-1/64นบ,64,คลองขวาง,บริษัท แสงเจริญชัยพัฒนาฟู้ดส์ จำกัด,2465,บริษัท แสงเจริญชัยพัฒนาฟู้ดส์ จำกัด,3,11150
"ทำผงวัตถุดิบผสม ใช้ในอุตสาหกรรมอาหาร เช่น แป้งผสมทำก๋วยเตี๋ยว, แป้งผสมทำลูกชิ้น, ผงปรุงรสต่างๆ ผงแพรก และผงฟอสเฟตผสมใช้ในอุตสาหกรรมเนื้อสัตว์ เป็นต้น",ไทรน้อย,905,,, 4.34 ,20120117625675, 7 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,1,88/8, 107.19 ,จ3-9(5)-1/67นบ,67,ราษฎร์นิยม,บริษัท อินกรีโนว่า จำกัด,2466,บริษัท อินกรีโนว่า จำกัด,3,11150
ทำข้าวเกรียบและเคลือบถั่ว,ไทรน้อย,1003,ไทรน้อย-บางเลน,, 133.20 ,120100125364, 48 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,3,"32/3, 32/8"," 1,489.09 ",ศ3-10(3)-1/36นบ,36,ขุนศรี,บริษัท เวลตี้ฟู้ด แมนูแฟคเจอริ่ง จำกัด,2467,บริษัท เวลตี้ฟู้ด แมนูแฟคเจอริ่ง จำกัด,3,11150
ทำเส้นก๋วยเตี๋ยว,ไทรน้อย,1003,,, 14.90 ,10120310625649, 11 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,4,15/6," 2,475.00 ",3-10(3)-5/64นบ,64,ราษฎร์นิยม,ก๋วยเตี๋ยวธนาสิน,2468,ก๋วยเตี๋ยวธนาสิน,3,11150
ผลิตอาหารจากแป้ง เช่น ซาลาเปา,ไทรน้อย,1003,บางเลน-ปทุมธานี,, 192.35 ,10120058125638, 280 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,2,," 6,759.28 ",3-10(3)-3/63นบ,63,ไทรน้อย,บริษัท วราภรณ์ สมพงษ์ ฟู้ดส์ จำกัด,2469,บริษัท วราภรณ์ สมพงษ์ ฟู้ดส์ จำกัด,3,11150
ทำเส้นหมี่ขาวและเส้นก๋วยเตี่ยว,ไทรน้อย,1003,ปทุมธานี-บางเลน,วัดสโมสร, 80.00 ,10120000525554, 70 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,9,45," 2,999.00 ",3-10(3)-5/55นบ,55,ไทรใหญ่,บริษัท สหปั้นข้าว จำกัด,2470,บริษัท สหปั้นข้าว จำกัด,3,11150
คั่วกาแฟ,ไทรน้อย,1202,-,-, 53.00 ,20120003825660, 7 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,6,16/7, 187.89 ,จ3-12(2)-1/66นบ,66,ขุนศรี,บริษัท โคโคโร่เบฟเวอร์เรจ จำกัด,2471,บริษัท โคโคโร่เบฟเวอร์เรจ จำกัด,3,11150
ซอสปรุงรสทุกชนิด เช่น เต้าเจี้ยว ซีอิ้วขาว,ไทรน้อย,1302,คลองเจ้า-คลองธนาภิรมย์,, 8.30 ,20120300125384, 35 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,2,40, 138.19 ,จ3-13(2)-1/38นบ,38,ทวีวัฒนา,บริษัท ไทยรสทิพย์ จำกัด,2472,บริษัท ไทยรสทิพย์ จำกัด,3,11150
"ผลิตซีอิ้ว, เต้าเจี้ยวและอาหารอื่นๆ",ไทรน้อย,1302,บางบัวทอง-ลาดบัวหลวง,, 30.00 ,20120001925470, 69 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,1,49/3," 2,204.02 ",จ3-13(2)-19/47นบ,47,ราษฎร์นิยม,บริษัท โปรแพลน อุตสาหกรรม จำกัด,2473,บริษัท โปรแพลน อุตสาหกรรม จำกัด,3,11150
ผลิตซ๊อสปรุงรสอาหาร,ไทรน้อย,1302,บางเลน-ลาดหลุมแก้ว,-, 59.55 ,120100125356, 10 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,5,95, 539.48 ,ศ3-13(2)-1/35นบ,35,ราษฎร์นิยม,บริษัท ไทยมิรินฟูด จำกัด,2474,บริษัท ไทยมิรินฟูด จำกัด,3,11150
ผลิตเครื่องปรุง หรือเครื่องประกอบอาหาร การบดเครื่องเทศ และการบรรจุสินค้าทั่วไป,ไทรน้อย,1306,,, 27.50 ,20120000125551, 10 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,2,9/2, 56.50 ,จ3-13(6)-1/55นบ,55,ทวีวัฒนา,ห้างหุ้นส่วนจำกัด ตั้งอุ้ยฮั้ว,2475,ห้างหุ้นส่วนจำกัด ตั้งอุ้ยฮั้ว,3,11150
ผลิตน้ำแข็งซอง กำลังการผลิต 937 ซองต่อวัน และน้ำแข็งก้อนเล็ก กำลังการผลิต 144 ตันต่อวัน,ไทรน้อย,1400,ลาดบัวหลวง-ไทรน้อย,-, 90.50 ,10120006525475, 78 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,6,100," 4,420.00 ",3-14-65/47นบ,47,ราษฎร์นิยม,บริษัท ไอยรา-ไทรน้อย จำกัด,2476,บริษัท ไอยรา-ไทรน้อย จำกัด,3,11150
แปรรูปเพื่อเป็นวัตถุดิบอาหารสัตว์และผลิตอาหารสัตว์,ไทรน้อย,1501,,, 75.00 ,20120065925671, 11 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,1,52/11-12, 487.12 ,จ3-15(1)-7/67นบ,67,ราษฎร์นิยม,บริษัท แอคคอร์ด อินเตอร์เทรด จำกัด,2477,บริษัท แอคคอร์ด อินเตอร์เทรด จำกัด,3,11150
เกี่ยวกับอาหารสัตว์ เช่น การทำอาหารผสมหรืออาหารสำเร็จรูป ฯลฯ,ไทรน้อย,1501,บางกรวย-ไทรน้อย,วัดคลองตาคล้าย, 10.00 ,20120001025578, 31 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,2,24/35-36, 151.31 ,จ3-15(1)-10/57นบ,57,ไทรน้อย,บริษัท เอจี-ซายน์ จำกัด,2478,บริษัท เอจี-ซายน์ จำกัด,3,11150
ผลิตเบียร์ ประมาณปีละ 200 ล้านลิตรต่อปี,ไทรน้อย,1902,สุพรรณบุรี-บางบัวทอง,หลักกิโลเมตรที่ 45, -   ,10120000125389, -   ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,2,111," 18,322.73 ",3-19(2)-1/38นบ,38,ไทรใหญ่,บริษัท ไทยเอเชีย แปซิฟิค บริวเวอรี่ จำกัด,2479,บริษัท ไทยเอเชีย แปซิฟิค บริวเวอรี่ จำกัด,3,11150
ผลิตเบียร์,ไทรน้อย,1902,,, 35.00 ,10120001125685, 17 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,1,โฉนดที่ดินเลขที่ 62655, 667.96 ,3-19(2)-1/68นบ,68,ราษฎร์นิยม,บริษัท บรูว์สเตชั่น จำกัด,2480,บริษัท บรูว์สเตชั่น จำกัด,3,11150
ผลิตน้ำดื่ม และผลิตขวดพลาสติก,ไทรน้อย,2001,บางบัวทอง-สุพรรณบุรี,-, 476.30 ,10120161225663, 76 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,4,"4/8, 4/9, 4/12"," 4,912.35 ",3-20(1)-24/66นบ,66,ราษฎร์นิยม,บริษัท ท็อปเพชร แพ็คเกจจิ้ง จำกัด,2481,บริษัท ท็อปเพชร แพ็คเกจจิ้ง จำกัด,3,11150
ผลิตน้ำดื่ม เครื่องดื่มที่ไม่มีแอลกอฮอล์ น้ำแร่ เครื่องมือ เครื่องใช้ เครื่องเรือน เครื่องประดับและภาชนะบรรจุ จากพลาสติก,ไทรน้อย,2001,,, 155.74 ,20120176725648, 15 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,4,49/6, 446.94 ,จ3-20(1)-5/64นบ,64,ไทรใหญ่,บริษัท พีเบฟ จำกัด,2482,บริษัท พีเบฟ จำกัด,3,11150
ผลิตน้ำดื่ม,ไทรน้อย,2001,,วัดสโมสร, 133.00 ,10120084925662, 269 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,10,98," 2,229.30 ",3-20(1)-14/66นบ,66,ไทรใหญ่,บริษัท ไทย อควาเฟรช จำกัด,2483,บริษัท ไทย อควาเฟรช จำกัด,3,11150
ผลิตเครื่องดื่มที่ไม่มีแอลกอฮอล์,ไทรน้อย,2002,,, 4.00 ,20120000425613, 5 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,3,20/2, 112.18 ,จ3-20(2)-4/61นบ,61,คลองขวาง,บริษัท ไทยเบสท์เนส จำกัด,2484,บริษัท ไทยเบสท์เนส จำกัด,3,11150
ผลิตเครื่องดื่มชูกำลังและน้ำผลไม้,ไทรน้อย,2002,บางเลน-ปทุมธานี,, 20.00 ,20120001025594, 20 ,อุตสาหกรรมแปรรูปอาหาร,5,นนทบุรี,10,11/8, 440.20 ,จ3-20(2)-10/59นบ,59,ไทรใหญ่,บริษัท ไทยเอเชียนฟู้ดส์ จำกัด,2485,บริษัท ไทยเอเชียนฟู้ดส์ จำกัด,3,11150
ผลิตน้ำยาล้างจาน ผงซักฟอก น้ำยาฆ่าเชื้อโรค และน้ำยาดับกลิ่น,ไทรน้อย,4701,บางกรวย-ไทรน้อย,-, 8.05 ,20120100625484, 22 ,อุตสาหกรรมท่องเที่ยวสุขภาพ,10,นนทบุรี,2,24/45, 65.50 ,จ3-47(1)-6/48นบ,48,ไทรน้อย,บริษัท ดรุชัย เอ็นเตอร์ไพรส์ จำกัด,2486,บริษัท ดรุชัย เอ็นเตอร์ไพรส์ จำกัด,3,11150
ผลิตสบู่เครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย เช่น น้ำยาทำความสะอาดสุขภัณฑ์ สบู่เหลว ผงซักฟอก แชมพู และยาสีฟัน,ไทรน้อย,4701,บางบัวทอง-ลาดบัวหลวง,, 31.00 ,20120100925579, 17 ,อุตสาหกรรมท่องเที่ยวสุขภาพ,10,นนทบุรี,1,49, 183.00 ,จ3-47(1)-9/57นบ,57,ราษฎร์นิยม,บริษัท เอสคิวไอ อินโนเวชั่น จำกัด,2487,บริษัท เอสคิวไอ อินโนเวชั่น จำกัด,3,11150
ทำเครื่องสำอางหรือสิ่งปรุงแต่งร่างกาย,ไทรน้อย,4703,,, 48.00 ,20120287525648, 10 ,อุตสาหกรรมท่องเที่ยวสุขภาพ,10,นนทบุรี,2,8/9, 77.14 ,จ3-47(3)-4/64นบ,64,ขุนศรี,บริษัท เนเจอร์ เบนเนฟิท จำกัด,2488,บริษัท เนเจอร์ เบนเนฟิท จำกัด,3,11150
"ผลิตผงเชื่อมสายล่อฟ้าและสายดิน ,ผลิตถ้วยเซรามิค",ไทรน้อย,4803,,, 267.30 ,20120145525624, 94 ,อุตสาหกรรมท่องเที่ยวสุขภาพ,10,นนทบุรี,1,27, 491.23 ,จ3-48(3)-2/62นบ,62,ไทรใหญ่,บริษัท คัมเวล คอร์ปอเรชั่น จำกัด (มหาชน),2489,บริษัท คัมเวล คอร์ปอเรชั่น จำกัด (มหาชน),3,11150
ผลิตกาวลาเท็กซ์ กาวเด็กซ์ตริน,ไทรน้อย,4803,บางเลน-ปทุมธานี,วัดสโมสร, 22.00 ,20120128025667, 6 ,อุตสาหกรรมท่องเที่ยวสุขภาพ,10,นนทบุรี,9,โฉนดที่ดินเลขที่ 52767, 236.19 ,จ3-48(3)-2/66นบ,66,ไทรใหญ่,บริษัท พีเอ็มซี มิลเลนเนียม จำกัด,2490,บริษัท พีเอ็มซี มิลเลนเนียม จำกัด,3,11150
ผลิตอะไหล่เครื่องยนต์ เช่น ลูกสูบฯ,ไทรน้อย,6500,ฤชุพันธ์,, 36.80 ,20121500125406, 32 ,อุตสาหกรรมหุ่นยนต์และแขนกล,1,นนทบุรี,3,114/4, 194.25 ,จ3-65-1/40นบ,40,ราษฎร์นิยม,บริษัท วิรุฒโลหะการ จำกัด,2491,บริษัท วิรุฒโลหะการ จำกัด,3,11150
ดัดแปลงและซ่อมแซมเครื่องกลึง เครื่องคว้าน เครื่องเจาะ เครื่องกัด เครื่องเจียน เครื่องตัด และเครื่องไส,ไทรน้อย,6702,ไทรน้อย-ลากค้อน,-, 16.00 ,20120100325507, 12 ,อุตสาหกรรมหุ่นยนต์และแขนกล,1,นนทบุรี,2,45/12, 339.00 ,จ3-67(2)-3/50นบ,50,ไทรน้อย,บริษัท พีทีเค ฟลูอิด เพาเวอร์ จำกัด,2492,บริษัท พีทีเค ฟลูอิด เพาเวอร์ จำกัด,3,11150
ทำ ดัดแปลง หรือซ่อมแซมเครื่องรีดโลหะ หรือเครื่องดึงรีดโลหะ และชิ้นส่วนอุปกรณ์เครื่องจักร การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,ไทรน้อย,6705,บางกรวย-ไทรน้อย,วัดคลองตาคล้าย, 34.76 ,20121700125404, 28 ,อุตสาหกรรมหุ่นยนต์และแขนกล,1,นนทบุรี,2,24/23, 491.17 ,จ3-67(5)-1/40นบ,40,ไทรน้อย,บริษัท วัฒนกิจ คอร์เปอร์เรชั่น จำกัด,2493,บริษัท วัฒนกิจ คอร์เปอร์เรชั่น จำกัด,3,11150
ผลิตและประกอบเครื่องจักรใช้ในการผลิตซีเมนต์ กระดาษ การทำเหมื,ไทรน้อย,6800,บางบัวทอง-สุพรรณบุรี,, 220.65 ,10120300125360, 53 ,อุตสาหกรรมหุ่นยนต์และแขนกล,1,นนทบุรี,3,35/1," 5,473.50 ",3-68-1/36นบ,36,ไทรใหญ่,บริษัท วีเหลี่ยม หว่อง กรุ๊ป จำกัด,2494,บริษัท วีเหลี่ยม หว่อง กรุ๊ป จำกัด,3,11150
ผลิตและซ่อมแซมเครื่องจักรสำหรับอุตสาหกรรมทอผ้าและอื่น ๆ,ไทรน้อย,6800,บางกรวย-ไทรน้อย,ไทยน้อย-ลากฆ้อน, -   ,20120300325406, 25 ,อุตสาหกรรมหุ่นยนต์และแขนกล,1,นนทบุรี,2,24/37, 170.80 ,จ3-68-3/40นบ,40,ไทรน้อย,ห้างหุ้นส่วนจำกัด ไทรน้อยโลหะการ,2495,ห้างหุ้นส่วนจำกัด ไทรน้อยโลหะการ,3,11150
ผลิตตู้แช่เย็น,ไทรน้อย,7000,,, 32.00 ,20120001825605, 55 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,3,82, 92.00 ,จ3-70-18/60นบ,60,ไทรใหญ่,บริษัท วี.เจ.คูล สเตนเลส จำกัด,2496,บริษัท วี.เจ.คูล สเตนเลส จำกัด,3,11150
ผลิตเครื่องสูบน้ำ เครื่องสูบน้ำดับเพลิง เครื่องผลักดันน้ำทุกชนิด กังหันเติมอากาศ เครื่องดูดสูบระบายน้ำทุกชนิด,ไทรน้อย,7000,บ้านกล้วย-ไทรน้อย,, 10.00 ,20120101325605, 10 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,1,1/1, 487.00 ,จ3-70-13/60นบ,60,ไทรน้อย,บริษัท โฟว์ลไดนามิคส์ เวิร์ค จำกัด,2497,บริษัท โฟว์ลไดนามิคส์ เวิร์ค จำกัด,3,11150
ผลิตชิ้นส่วนอุปกรณ์ เครื่องสูบอัดก๊าซ เช่น วาล์ว,ไทรน้อย,7000,สายบ้านคลองขวาง,, 32.94 ,20120102225572, 15 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,4,55/5, 173.05 ,จ3-70-22/57นบ,57,คลองขวาง,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),2498,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),3,11150
ประกอบเครื่องอัดก๊าซ ดัดแปลงสภาพเครื่องยนต์ เพื่อใช้เป้นเชื้อเพลิงเดี่ยว หรือเชื้อเพลิงร่วมเพื่อใช้ก๊าซธรรมชาติ หรือก๊าซปิโตรเลี่ยมเหลว และผลิตประกอบ ดัดแปลง และซ่อมแซม รถยนต์ทุกประเภท,ไทรน้อย,7000,สายบ้านคลองขวาง,, 64.30 ,20120167025628, 30 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,4,55/2, 382.23 ,จ3-70-7/62นบ,62,คลองขวาง,บริษัท แพนเทอรา มอเตอร์ส จำกัด,2499,บริษัท แพนเทอรา มอเตอร์ส จำกัด,3,11150
ผลิต ประกอบ ดัดแปลง เครื่องสูบน้ำ,ไทรน้อย,7000,เลียบคลองขวาง,, 15.00 ,20120003525617, 25 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,,23/4, 196.00 ,จ3-70-35/61นบ,61,คลองขวาง,บริษัท โทยริเวอร์โลหะกิจ จำกัด,2500,บริษัท โทยริเวอร์โลหะกิจ จำกัด,3,11150
ประกอบ ดัดแปลง ซ่อมแซมเครื่องสูบน้ำ,ไทรน้อย,7000,,, 19.50 ,20120200225615, 15 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,4,5/6, 353.50 ,จ3-70-2/61นบ,61,ขุนศรี,บริษัท กรีน เอ็นจิเนียริ่ง แอนด์ แมเนจเม้นท์ จำกัด,2501,บริษัท กรีน เอ็นจิเนียริ่ง แอนด์ แมเนจเม้นท์ จำกัด,3,11150
ซ่อมบำรุงเครื่องจักร,ไทรน้อย,7000,,, 25.00 ,20120194225670, 35 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,4,"โฉนดที่ดินเลขที่ 36020, 5973, 5974", 140.00 ,จ3-70-32/67นบ,67,ไทรใหญ่,บริษัท วิสดอม เซอร์วิสเซส  จำกัด,2502,บริษัท วิสดอม เซอร์วิสเซส  จำกัด,3,11150
"ประกอบเครื่องปรับอากาศ, ตู้ควบคุมระบบไฟฟ้า, หัวจ่ายลมเย็น",ไทรน้อย,7000,,, 115.00 ,20120090125651, 42 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,2,"25,25/1", 78.13 ,จ3-70-10/65นบ,65,ราษฎร์นิยม,บริษัท วินด์ชิลล์ จำกัด,2503,บริษัท วินด์ชิลล์ จำกัด,3,11150
ผลิตเครื่องทำความเย็นและบรรจุก๊าซต่างๆ,ไทรน้อย,7000,ปทุม-บางเลน,, 52.00 ,20120166425621, 37 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,5,44/2, 181.84 ,จ3-70-6/62นบ,62,ราษฎร์นิยม,ห้างหุ้นส่วนจำกัด จัตุรงค์คูลลิ่ง,2504,ห้างหุ้นส่วนจำกัด จัตุรงค์คูลลิ่ง,3,11150
ผลิตชิ้นส่วนลิฟท์ บันไดเลื่อน ชิ้นส่วนเครื่องจักร แม่พิมพ์โลหะ และรับจ้างกลึง เจาะ คว้าน กัด ไส เจียน ปั๊ม หรือเชื่อมโลหะทั่วไป,ไทรน้อย,7000,บางกรวย-ไทรน้อย,วัดคลองตาคล้าย, 7.50 ,20120400325520, 16 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,2,59/14, 189.50 ,จ3-70-3/52นบ,52,ไทรน้อย,บริษัท เค.อี.พี.จำกัด,2505,บริษัท เค.อี.พี.จำกัด,3,11150
ผลิตเครื่องสูบน้ำ เครื่องสูบน้ำดับเพลิง เครื่องผลักดันน้ำทุกชนิด กังหันเติมอากาศ เครื่องดูดสูบระบายน้ำ,ไทรน้อย,7000,บ้านกล้วย-ไทรน้อย,, 10.00 ,20120101425603, 10 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,1,1, 447.00 ,จ3-70-14/60นบ,60,ไทรน้อย,บริษัท วีซ่าอินเตอร์เพาเวอร์ จำกัด,2506,บริษัท วีซ่าอินเตอร์เพาเวอร์ จำกัด,3,11150
ประกอบ ซ่อมแซม ดัดแปลงเครื่องสูบน้ำ เครื่องกำเนิดไฟฟ้า และแผงวงจรควบคุมเครื่องยนต์ดีเซล,ไทรน้อย,7100,บ้านกล้วย-ไทรน้อย,, 38.00 ,20120300425404, 30 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,1,22/1, 195.75 ,จ3-71-4/40นบ,40,ไทรน้อย,บริษัท สยามเทเลแม็ค จำกัด,2507,บริษัท สยามเทเลแม็ค จำกัด,3,11150
ผลิตเครื่องทำน้ำเย็น เครื่องแลกเปลี่ยนความร้อน และกลึง ไส เชื่อมโลหะทั่วไป,ไทรน้อย,7100,บางกรวย-ไทรน้อย,วัดคลองตาคล้าย, 10.50 ,20120002525485, 12 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,2,24/42, 158.50 ,จ3-71-25/48นบ,48,ไทรน้อย,ห้างหุ้นส่วนจำกัด ช.เลิศวิศวกรรม,2508,ห้างหุ้นส่วนจำกัด ช.เลิศวิศวกรรม,3,11150
ผลิตอุปกรณ์ติดตั้งและเครื่องประกอบสำหรับร้อยสายไฟจากพลาสติก เช่น ท่อร้อยสาย รางเดินสาย เป็นต้น,ไทรน้อย,7403,บางกรวย-ไทรน้อย,วัดคลองตาคล้าย, 56.00 ,20120300325539, 24 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,2,37/9, 583.41 ,จ3-74(3)-3/53นบ,53,ไทรน้อย,บริษัท พี.อาร์.ไอ.กรุ๊ป จำกัด,2509,บริษัท พี.อาร์.ไอ.กรุ๊ป จำกัด,3,11150
ผลิตและประกอบแบตเตอรี่ชนิดลิเธียม,ไทรน้อย,7405,อบจ.นบ.2044,, 25.00 ,20120168925669, 18 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,นนทบุรี,7,46, 92.42 ,จ3-74(5)-4/66นบ,66,คลองขวาง,บริษัท เคอี คอร์ปอเรชั่น จำกัด,2510,บริษัท เคอี คอร์ปอเรชั่น จำกัด,3,11150
สร้าง ประกอบ ดัดแปลง รถบรรทุกและรถบรรเทาสาธารณภัย,ไทรน้อย,7701,,, 29.00 ,20120432325647, 10 ,อุตสาหกรรมยานยนต์,3,นนทบุรี,2,โฉนดเลขที่ 34068, 323.00 ,จ3-77(1)-7/64นบ,64,ทวีวัฒนา,บริษัท ดี เอ ดี เอ็นจิเนียริ่ง จำกัด,2511,บริษัท ดี เอ ดี เอ็นจิเนียริ่ง จำกัด,3,11150
สร้างประกอบดัดแปลงหรือเปลี่ยนสภาพรถยนต์ หรือรถพ่วง ซ่อมเครื่องยนต์ ซ่อมเครื่องล่าง ปะผุพ่นสี,ไทรน้อย,7701,,, 12.50 ,20120200325563, 20 ,อุตสาหกรรมยานยนต์,3,นนทบุรี,3,48, 106.34 ,จ3-77(1)-3/56นบ,56,คลองขวาง,ห้างหุ้นส่วนจำกัด ตลิ่งชัน เอ็นจิเนียริ่ง,2512,ห้างหุ้นส่วนจำกัด ตลิ่งชัน เอ็นจิเนียริ่ง,3,11150
ดัดแปลงประกอบ ซ่อม ต่อตัวถังรถบรรทุก รถดับเพลิง รถบรรทุกน้ำ รถบรรทุกขยะ รถเทรลเลอร์ รถบรรทุกชานต่ำ รถกระบะบรรทุก รถเครนไฮดรอลิค รถกระเช้าซ่อมไฟฟ้า รถดูดสิ่งโสโครกและฉีดล้างท่อระบายน้ำ รถดูดสิ่งปฏิกูล และรถเฉพาะกิจต่างๆ เป็นต้น,ไทรน้อย,7701,,, 2.53 ,20120149825657, 13 ,อุตสาหกรรมยานยนต์,3,นนทบุรี,1,โฉนดที่ดินเลขที่ 5201, 97.78 ,จ3-77(1)-5/65นบ,65,หนองเพรางาย,ห้างหุ้นส่วนจำกัดอู่ชนะวัฒ,2513,ห้างหุ้นส่วนจำกัดอู่ชนะวัฒ,3,11150
ผลิต ประกอบ ดัดแปลง ซ่อมแซมรถยนต์ทุกประเภท และเครื่องอัดก๊าซ,ไทรน้อย,7701,สายบ้านคลองขวาง,, 84.30 ,20120166925620, 47 ,อุตสาหกรรมยานยนต์,3,นนทบุรี,4,55/1, 336.62 ,จ3-77(1)-9/62นบ,62,คลองขวาง,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),2514,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),3,11150
ประกอบ ดัดแปลง ซ่อมแซมรถยนต์ทุกชนิด เช่น รถดับเพลิง รถกู้ภัย รถเครน รถบรรทุกน้ำ รถดูดส้วม รถเทท้าย รถขยะ รถแทรกเตอร์ ฯลฯ,ไทรน้อย,7701,บางบัวทอง-สุพรรณบุรี,, 13.60 ,20120101425611, 15 ,อุตสาหกรรมยานยนต์,3,นนทบุรี,5,58, 244.80 ,จ3-77(1)-14/61นบ,61,ไทรใหญ่,บริษัท พัฒนกิจดำรง จำกัด,2515,บริษัท พัฒนกิจดำรง จำกัด,3,11150
ผลิต ประกอบ ดัดแปลง และซ่อมแซมรถยนต์ทุกชนิด,ไทรน้อย,7701,พระพิมลราชา,, 52.00 ,20120011225630, 21 ,อุตสาหกรรมยานยนต์,3,นนทบุรี,6,โฉนดเลขที่ 52887, 190.90 ,จ3-77(1)-1/63นบ,63,ขุนศรี,บริษัท ลัคกี้ โปรเกรส ซัพพลาย จำกัด,2516,บริษัท ลัคกี้ โปรเกรส ซัพพลาย จำกัด,3,11150
ประกอบและดัดแปลงรถยนต์ทุกชนิด เช่น รถพยาบาล รถกู้ภัย ฯลฯ,ไทรน้อย,7701,,, 6.56 ,20120259625624, 3 ,อุตสาหกรรมยานยนต์,3,นนทบุรี,7,64/5, 81.06 ,จ3-77(1)-13/62นบ,62,ราษฎร์นิยม,ห้างหุ้นส่วนจำกัด เนชั่นไวด์ แอมบูแลนซ์ เซอร์วิส,2517,ห้างหุ้นส่วนจำกัด เนชั่นไวด์ แอมบูแลนซ์ เซอร์วิส,3,11150
