ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
"ผลิตแผ่นบันทึกภาพและเสียง, เทปบันทึกเสียง",คลองเตย,10700,พระราม 4,ภูมิจิตร, 25.42 ,10100600525469, 29 ,อุตสาหกรรมดิจิตอล,9,กรุงเทพมหานคร,,79/170-171, 173.85 ,3-107-5/46,46,พระโขนง,บริษัท ที.แอล. (1992) จำกัด,11,บริษัท ที.แอล. (1992) จำกัด,3,10110
ทำเครื่องสำอาง เช่น แป้ง ลิปสติก,คลองสาน,4703,เจริญนคร,เจริญนคร 40, 0.60 ,100400125371, 32 ,อุตสาหกรรมท่องเที่ยวสุขภาพ,10,กรุงเทพมหานคร,,275, 84.02 ,ศ3-47(3)-1/37,37,บางลำภูล่าง,หงษ์ทองคอสเมติคส์,12,หงษ์ทองคอสเมติคส์,3,10600
ซ่อมอุปกรณ์โรงงานทำน้ำแข็ง,คลองสาน,7000,เจริญนคร,เจริญนคร 31, 30.00 ,10100300825318, 5 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,,2 และ 4, 264.50 ,3-70-8/31,31,บางลำภูล่าง,โรงกลึงไท้เฮงหลง,13,โรงกลึงไท้เฮงหลง,3,10600
ทำอุปกรณ์วิทยุ เช่น ลูกบิดจากพลาสติก,คลองสาน,7200,เจริญรัก,เจริญรัถ 19, 0.50 ,10100401325473, 6 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,,"39,41", 110.58 ,3-72-13/47,47,คลองสาน,เม้งพลาสติก,14,เม้งพลาสติก,3,10600
ต่อเรือและซ่อมแซมเรือ,คลองสาน,7501,เจริญนคร,เจริญนคร 27, 4.71 ,10100400425217, 28 ,อุตสาหกรรมโลจิสติกส์,2,กรุงเทพมหานคร,,64, 557.33 ,3-75(1)-4/21,21,บางลำภูล่าง,บริษัท หะรินพาณิชย์ จำกัด,15,บริษัท หะรินพาณิชย์ จำกัด,3,10600
ทำน้ำแข็งก้อนเล็ก และน้ำดื่ม,คลองสามวา,1400,พระยาสุเรนทร์,, 2.30 ,100000725380, 7 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,39, 493.50 ,ศ3-14-7/38,38,สามวาตะวันตก,บริษัท ศรีอำพันธ์ จำกัด,16,บริษัท ศรีอำพันธ์ จำกัด,3,10510
ผลิตน้ำแข็งก้อนเล็ก ขนาดกำลังการผลิต 400 ตัน/วัน รวมเป็น 777 ตัน/วัน,คลองสามวา,1400,เจริญพัฒนา,-, 68.00 ,10100100325451, 9 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,"291,291/1"," 5,951.00 ",3-14-3/45,45,บางชัน,บริษัท ตั้งเจริญมีนบุรี จำกัด,17,บริษัท ตั้งเจริญมีนบุรี จำกัด,3,10510
ประกอบและซ่อมแซมเครื่องจักรโรงงานโม่หินและอื่น ๆ,คลองสามวา,6800,สามวา,, 25.00 ,10100401125337, 30 ,อุตสาหกรรมหุ่นยนต์และแขนกล,1,กรุงเทพมหานคร,,230, 474.50 ,3-68-11/33,33,บางชัน,ห้างหุ้นส่วนจำกัด ส.โชคสมนึกการช่าง,18,ห้างหุ้นส่วนจำกัด ส.โชคสมนึกการช่าง,3,10510
ผลิตอะไหล่ เครื่องมือ เครื่องจักรกล อุปกรณ์เครื่องจักร เครื่องกำเนิดไฟฟ้า เครื่องสูบน้ำ,คลองสามวา,7000,,สามวา 14, 9.30 ,10100501025577, 10 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,,33/11, 93.80 ,3-70-10/57,57,บางชัน,บริษัท พี.ที.เอ็น.สโตน จำกัด,19,บริษัท พี.ที.เอ็น.สโตน จำกัด,3,10510
ซ่อมรถยนต์ รถแทรกเตอร์,คลองสามวา,7000,พระยาสุเรนทร์,, 35.36 ,10102100125402, 70 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,,144, 944.88 ,3-70-1/40,40,บางชัน,บริษัท ซีฟโก้ จำกัด (มหาชน),20,บริษัท ซีฟโก้ จำกัด (มหาชน),3,10510
ซ่อม ดัดแปลงตัวถังรถบรรทุก และการทำชิ้นส่วนพิเศษ หรือ อุปกรณ์สำหรับรถยนต์ รถพ่วง เช่น สเกิร์ต,คลองสามวา,7701,รามอินทรา,เจริญพัฒนา, 48.60 ,10100193025620, 49 ,อุตสาหกรรมยานยนต์,3,กรุงเทพมหานคร,11,46/22, 192.35 ,3-77(1)-10/62,62,บางชัน,บริษัท เอ็ม.เจ.เอส.ออโตเวอร์ค จำกัด,21,บริษัท เอ็ม.เจ.เอส.ออโตเวอร์ค จำกัด,3,10510
ผลิตชิ้นส่วนอุปกรณ์สำหรับรถยนต์ เช่น บานพับประตู แผ่นกันโคลน,คลองสามวา,7702,พระยาสุเรนทร์,พระยาสุเรนทร์ 41, 70.00 ,10100002425342, -   ,อุตสาหกรรมยานยนต์,3,กรุงเทพมหานคร,,11," 2,318.10 ",3-77(2)-24/34,34,สามวาตะวันตก,บริษัท เคแอลเค อินดัสตรี จำกัด,22,บริษัท เคแอลเค อินดัสตรี จำกัด,3,10510
ผลิตชิ้นส่วน อุปกรณ์ สำหรับรถยนต์,คลองสามวา,7702,,พระยาสุเรนทร์ 41, 10.00 ,10100100925581, 8 ,อุตสาหกรรมยานยนต์,3,กรุงเทพมหานคร,,11, 146.40 ,3-77(2)-9/58,58,สามวาตะวันตก,บริษัท เจบีที เอ็นจิเนียริ่ง จำกัด,23,บริษัท เจบีที เอ็นจิเนียริ่ง จำกัด,3,10510
ดัดกระจกรถยนต์,คลองสามวา,7702,พระยาสุเรนทร์,, 14.00 ,10100102325301, 9 ,อุตสาหกรรมยานยนต์,3,กรุงเทพมหานคร,12,60, 361.43 ,3-77(2)-23/30,30,บางชัน,ห้างหุ้นส่วนจำกัด เตชะจรัสอุตสาหกรรม,24,ห้างหุ้นส่วนจำกัด เตชะจรัสอุตสาหกรรม,3,10510
