AGE_GROUP,VALUE,SOURCE,_id,UNIT,YEAR
15-19 ปี,13.12,สำนักงานสถิติแห่งชาติ,1,พันคน,2556
20-24 ปี,60.2,สำนักงานสถิติแห่งชาติ,2,พันคน,2556
25-29 ปี,93.38,สำนักงานสถิติแห่งชาติ,3,พันคน,2556
30-34 ปี,91.56,สำนักงานสถิติแห่งชาติ,4,พันคน,2556
35-39 ปี,80.43,สำนักงานสถิติแห่งชาติ,5,พันคน,2556
40-49 ปี,97.17,สำนักงานสถิติแห่งชาติ,6,พันคน,2556
50-59 ปี,46.4,สำนักงานสถิติแห่งชาติ,7,พันคน,2556
60ขึ้นไป,6.94,สำนักงานสถิติแห่งชาติ,8,พันคน,2556
15-19 ปี,8.42,สำนักงานสถิติแห่งชาติ,9,พันคน,2557
20-24 ปี,66.66,สำนักงานสถิติแห่งชาติ,10,พันคน,2557
25-29 ปี,111.99,สำนักงานสถิติแห่งชาติ,11,พันคน,2557
30-34 ปี,115.02,สำนักงานสถิติแห่งชาติ,12,พันคน,2557
35-39 ปี,88.41,สำนักงานสถิติแห่งชาติ,13,พันคน,2557
40-49 ปี,119.17,สำนักงานสถิติแห่งชาติ,14,พันคน,2557
50-59 ปี,52.77,สำนักงานสถิติแห่งชาติ,15,พันคน,2557
60ขึ้นไป,8.28,สำนักงานสถิติแห่งชาติ,16,พันคน,2557
15-19 ปี,3.96,สำนักงานสถิติแห่งชาติ,17,พันคน,2558
20-24 ปี,39.83,สำนักงานสถิติแห่งชาติ,18,พันคน,2558
25-29 ปี,93.38,สำนักงานสถิติแห่งชาติ,19,พันคน,2558
30-34 ปี,82.74,สำนักงานสถิติแห่งชาติ,20,พันคน,2558
35-39 ปี,68.5,สำนักงานสถิติแห่งชาติ,21,พันคน,2558
40-49 ปี,52.83,สำนักงานสถิติแห่งชาติ,22,พันคน,2558
50-59 ปี,20.79,สำนักงานสถิติแห่งชาติ,23,พันคน,2558
60ขึ้นไป,2.45,สำนักงานสถิติแห่งชาติ,24,พันคน,2558
15-19 ปี,3.74,สำนักงานสถิติแห่งชาติ,25,พันคน,2559
20-24 ปี,31.96,สำนักงานสถิติแห่งชาติ,26,พันคน,2559
25-29 ปี,91.62,สำนักงานสถิติแห่งชาติ,27,พันคน,2559
30-34 ปี,81.99,สำนักงานสถิติแห่งชาติ,28,พันคน,2559
35-39 ปี,66.96,สำนักงานสถิติแห่งชาติ,29,พันคน,2559
40-49 ปี,70.08,สำนักงานสถิติแห่งชาติ,30,พันคน,2559
50-59 ปี,25.85,สำนักงานสถิติแห่งชาติ,31,พันคน,2559
60ขึ้นไป,2.73,สำนักงานสถิติแห่งชาติ,32,พันคน,2559
15-19 ปี,4.37,สำนักงานสถิติแห่งชาติ,33,พันคน,2560
20-24 ปี,31.99,สำนักงานสถิติแห่งชาติ,34,พันคน,2560
25-29 ปี,87.64,สำนักงานสถิติแห่งชาติ,35,พันคน,2560
30-34 ปี,86.56,สำนักงานสถิติแห่งชาติ,36,พันคน,2560
35-39 ปี,71.06,สำนักงานสถิติแห่งชาติ,37,พันคน,2560
40-49 ปี,77.08,สำนักงานสถิติแห่งชาติ,38,พันคน,2560
50-59 ปี,24.67,สำนักงานสถิติแห่งชาติ,39,พันคน,2560
60ขึ้นไป,2.94,สำนักงานสถิติแห่งชาติ,40,พันคน,2560
15-19 ปี,4.59,สำนักงานสถิติแห่งชาติ,41,พันคน,2561
20-24 ปี,49.25,สำนักงานสถิติแห่งชาติ,42,พันคน,2561
25-29 ปี,94.33,สำนักงานสถิติแห่งชาติ,43,พันคน,2561
30-34 ปี,89.06,สำนักงานสถิติแห่งชาติ,44,พันคน,2561
35-39 ปี,73.05,สำนักงานสถิติแห่งชาติ,45,พันคน,2561
40-49 ปี,77.6,สำนักงานสถิติแห่งชาติ,46,พันคน,2561
50-59 ปี,25.41,สำนักงานสถิติแห่งชาติ,47,พันคน,2561
60ขึ้นไป,2.33,สำนักงานสถิติแห่งชาติ,48,พันคน,2561
15-19 ปี,2.73,สำนักงานสถิติแห่งชาติ,49,พันคน,2562
20-24 ปี,48.37,สำนักงานสถิติแห่งชาติ,50,พันคน,2562
25-29 ปี,92.64,สำนักงานสถิติแห่งชาติ,51,พันคน,2562
30-34 ปี,87.88,สำนักงานสถิติแห่งชาติ,52,พันคน,2562
35-39 ปี,74.06,สำนักงานสถิติแห่งชาติ,53,พันคน,2562
40-49 ปี,93.28,สำนักงานสถิติแห่งชาติ,54,พันคน,2562
50-59 ปี,31.89,สำนักงานสถิติแห่งชาติ,55,พันคน,2562
60ขึ้นไป,3.53,สำนักงานสถิติแห่งชาติ,56,พันคน,2562
15-19 ปี,4.24,สำนักงานสถิติแห่งชาติ,57,พันคน,2563
20-24 ปี,51.13,สำนักงานสถิติแห่งชาติ,58,พันคน,2563
25-29 ปี,118.31,สำนักงานสถิติแห่งชาติ,59,พันคน,2563
30-34 ปี,92.55,สำนักงานสถิติแห่งชาติ,60,พันคน,2563
35-39 ปี,76.81,สำนักงานสถิติแห่งชาติ,61,พันคน,2563
40-49 ปี,101.48,สำนักงานสถิติแห่งชาติ,62,พันคน,2563
50-59 ปี,26.84,สำนักงานสถิติแห่งชาติ,63,พันคน,2563
60ขึ้นไป,2.12,สำนักงานสถิติแห่งชาติ,64,พันคน,2563
15-19 ปี,6.27,สำนักงานสถิติแห่งชาติ,65,พันคน,2564
20-24 ปี,68.66,สำนักงานสถิติแห่งชาติ,66,พันคน,2564
25-29 ปี,121.95,สำนักงานสถิติแห่งชาติ,67,พันคน,2564
30-34 ปี,103.38,สำนักงานสถิติแห่งชาติ,68,พันคน,2564
35-39 ปี,81.2,สำนักงานสถิติแห่งชาติ,69,พันคน,2564
40-49 ปี,103.5,สำนักงานสถิติแห่งชาติ,70,พันคน,2564
50-59 ปี,35.69,สำนักงานสถิติแห่งชาติ,71,พันคน,2564
60ขึ้นไป,3.27,สำนักงานสถิติแห่งชาติ,72,พันคน,2564
15-19 ปี,4.68,สำนักงานสถิติแห่งชาติ,73,พันคน,2565
20-24 ปี,82.74,สำนักงานสถิติแห่งชาติ,74,พันคน,2565
25-29 ปี,155.39,สำนักงานสถิติแห่งชาติ,75,พันคน,2565
30-34 ปี,130.39,สำนักงานสถิติแห่งชาติ,76,พันคน,2565
35-39 ปี,95.07,สำนักงานสถิติแห่งชาติ,77,พันคน,2565
40-49 ปี,125.98,สำนักงานสถิติแห่งชาติ,78,พันคน,2565
50-59 ปี,46.67,สำนักงานสถิติแห่งชาติ,79,พันคน,2565
60ขึ้นไป,7.58,สำนักงานสถิติแห่งชาติ,80,พันคน,2565
15-19 ปี,4.97,สำนักงานสถิติแห่งชาติ,81,พันคน,2566
20-24 ปี,71.0,สำนักงานสถิติแห่งชาติ,82,พันคน,2566
25-29 ปี,147.9,สำนักงานสถิติแห่งชาติ,83,พันคน,2566
30-34 ปี,133.52,สำนักงานสถิติแห่งชาติ,84,พันคน,2566
35-39 ปี,97.41,สำนักงานสถิติแห่งชาติ,85,พันคน,2566
40-49 ปี,131.06,สำนักงานสถิติแห่งชาติ,86,พันคน,2566
50-59 ปี,50.41,สำนักงานสถิติแห่งชาติ,87,พันคน,2566
60ขึ้นไป,7.97,สำนักงานสถิติแห่งชาติ,88,พันคน,2566
