จำนวนโรงงาน,_id,ปี,กลุ่มอุตสาหกรรม,อำเภอ
21,62,2565,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ศรีมหาโพธิ
1,63,2565,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ศรีมโหสถ
1,64,2565,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,เมืองปราจีนบุรี
0,65,2565,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,กบินทร์บุรี
0,66,2565,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,นาดี
0,67,2565,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,บ้านสร้าง
0,68,2565,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ประจันตคาม
8,69,2565,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ศรีมหาโพธิ
0,70,2565,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ศรีมโหสถ
2,71,2565,เคมีภัณฑ์และผลิตภัณฑ์เคมี,เมืองปราจีนบุรี
14,72,2565,เคมีภัณฑ์และผลิตภัณฑ์เคมี,กบินทร์บุรี
1,73,2565,เคมีภัณฑ์และผลิตภัณฑ์เคมี,นาดี
0,74,2565,เคมีภัณฑ์และผลิตภัณฑ์เคมี,บ้านสร้าง
1,75,2565,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ประจันตคาม
21,76,2565,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ศรีมหาโพธิ
2,77,2565,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ศรีมโหสถ
2,78,2565,ผลิตภัณฑ์จากปิโตรเลียม,เมืองปราจีนบุรี
3,79,2565,ผลิตภัณฑ์จากปิโตรเลียม,กบินทร์บุรี
0,80,2565,ผลิตภัณฑ์จากปิโตรเลียม,นาดี
0,81,2565,ผลิตภัณฑ์จากปิโตรเลียม,บ้านสร้าง
0,82,2565,ผลิตภัณฑ์จากปิโตรเลียม,ประจันตคาม
