﻿year,sex,quarter,_id,area,region,value,unit,source
2561,ชาย,ไตรมาส 1,1,ในเขตเทศบาล,กรุงเทพมหานคร,1.35,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,2,ในเขตเทศบาล,กรุงเทพมหานคร,4.73,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,3,ในเขตเทศบาล,ภาคกลาง,1.63,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,4,ในเขตเทศบาล,ภาคกลาง,5.77,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,5,นอกเขตเทศบาล,ภาคกลาง,3.15,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,6,นอกเขตเทศบาล,ภาคกลาง,2.47,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,7,ในเขตเทศบาล,ภาคเหนือ,4.6,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,8,ในเขตเทศบาล,ภาคเหนือ,4.64,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,9,นอกเขตเทศบาล,ภาคเหนือ,19.67,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,10,นอกเขตเทศบาล,ภาคเหนือ,15.69,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,11,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,27.13,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,12,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,15.93,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,13,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,107.98,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,14,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,92.62,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,15,ในเขตเทศบาล,ภาคใต้,0.14,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,16,ในเขตเทศบาล,ภาคใต้,0.31,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,17,นอกเขตเทศบาล,ภาคใต้,2.16,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,18,นอกเขตเทศบาล,ภาคใต้,0.14,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,19,ในเขตเทศบาล,กรุงเทพมหานคร,3.5,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,20,ในเขตเทศบาล,กรุงเทพมหานคร,9.47,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,21,ในเขตเทศบาล,ภาคกลาง,2.13,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,22,ในเขตเทศบาล,ภาคกลาง,0.38,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,23,นอกเขตเทศบาล,ภาคกลาง,3.79,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,24,นอกเขตเทศบาล,ภาคกลาง,2.73,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,25,ในเขตเทศบาล,ภาคเหนือ,5.06,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,26,ในเขตเทศบาล,ภาคเหนือ,3.62,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,27,นอกเขตเทศบาล,ภาคเหนือ,18.09,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,28,นอกเขตเทศบาล,ภาคเหนือ,15.04,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,29,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,9.39,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,30,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,7.97,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,31,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,58.51,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,32,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,40.59,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,33,ในเขตเทศบาล,ภาคใต้,2.36,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,34,ในเขตเทศบาล,ภาคใต้,1.21,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 2,35,นอกเขตเทศบาล,ภาคใต้,1.81,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 2,36,นอกเขตเทศบาล,ภาคใต้,0.72,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,37,ในเขตเทศบาล,กรุงเทพมหานคร,1.98,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,38,ในเขตเทศบาล,กรุงเทพมหานคร,4.47,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,39,ในเขตเทศบาล,ภาคกลาง,1.05,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,40,ในเขตเทศบาล,ภาคกลาง,1.88,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,41,นอกเขตเทศบาล,ภาคกลาง,2.74,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,42,นอกเขตเทศบาล,ภาคกลาง,1.72,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,43,ในเขตเทศบาล,ภาคเหนือ,2.1,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,44,ในเขตเทศบาล,ภาคเหนือ,0.62,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,45,นอกเขตเทศบาล,ภาคเหนือ,8.03,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,46,นอกเขตเทศบาล,ภาคเหนือ,4.09,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,47,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,3.34,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,48,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,1.24,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,49,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,9.24,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,50,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,5.43,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,51,ในเขตเทศบาล,ภาคใต้,1.48,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,52,ในเขตเทศบาล,ภาคใต้,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 3,53,นอกเขตเทศบาล,ภาคใต้,1.28,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 3,54,นอกเขตเทศบาล,ภาคใต้,0.32,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,55,ในเขตเทศบาล,กรุงเทพมหานคร,3.2,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,56,ในเขตเทศบาล,กรุงเทพมหานคร,3.84,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,57,ในเขตเทศบาล,ภาคกลาง,1.12,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,58,ในเขตเทศบาล,ภาคกลาง,0.44,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,59,นอกเขตเทศบาล,ภาคกลาง,5.5,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,60,นอกเขตเทศบาล,ภาคกลาง,5.76,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,61,ในเขตเทศบาล,ภาคเหนือ,2.37,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,62,ในเขตเทศบาล,ภาคเหนือ,1.21,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,63,นอกเขตเทศบาล,ภาคเหนือ,11.79,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,64,นอกเขตเทศบาล,ภาคเหนือ,10.24,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,65,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,5.13,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,66,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,3.15,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,67,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,35.76,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,68,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,20.83,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,69,ในเขตเทศบาล,ภาคใต้,0.1,พันคน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 4,70,ในเขตเทศบาล,ภาคใต้,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 4,71,นอกเขตเทศบาล,ภาคใต้,0.91,พันคน,สำนักงานสถิติแห่งชาติ
