ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,385,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,532,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,597,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,758,ราย
