_id,ปี,แห่ง,อำเภอ
1,2562,1,เมืองนครสวรรค์
2,2562,1,ตาคลี
3,2563,1,เมืองนครสวรรค์
4,2563,1,ตาคลี
5,2564,1,เมืองนครสวรรค์
6,2564,1,ตาคลี
7,2565,1,เมืองนครสวรรค์
8,2565,1,ตาคลี
9,2566,1,เมืองนครสวรรค์
10,2566,1,ตาคลี
