เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
มกราคม,85100,1,2569,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
มกราคม,1519,2,2569,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
มกราคม,7788,3,2569,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
มกราคม,8,4,2569,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
มกราคม,1773,5,2569,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
มกราคม,8,6,2569,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
มกราคม,20,7,2569,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
มกราคม,26,8,2569,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
มกราคม,169317,9,2569,รย. 12 รถจักรยานยนต์,รถยนต์
มกราคม,3685,10,2569,รย. 13 รถแทร็กเตอร์,รถยนต์
มกราคม,41,11,2569,รย. 14 รถบดถนน,รถยนต์
มกราคม,12,12,2569,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
มกราคม,78,13,2569,รย. 16 รถพ่วง,รถยนต์
มกราคม,93,14,2569,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
มกราคม,149,15,2569,รถโดยสารประจำทาง,รถขนส่ง
มกราคม,320,16,2569,รถโดยสารไม่ประจำทาง,รถขนส่ง
มกราคม,55,17,2569,รถโดยสารส่วนบุคคล,รถขนส่ง
มกราคม,2473,18,2569,รถบรรทุกไม่ประจำทาง,รถขนส่ง
มกราคม,2322,19,2569,รถบรรทุกส่วนบุคคล,รถขนส่ง
