ประเภท,ชื่อ มอก. ภาษาไทย,_id,ลำดับ,ชื่อโรงงาน,ที่อยู่โรงงาน,เลข มอก.,ทะเบียนโรงงาน,เลขที่ใบอนุญาต,วันที่ออกใบอนุญาต,เลขภาษี,จังหวัด,ผู้รับใบอนุญาต
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,16,16,บริษัท ชิน แด อุน ไทย จำกัด,43 หมู่4 ถนนเทพรัตน ตำบลบางเสาธง อำเภอบางเสาธง จังหวัดสมุทรปราการ,2424-2565,20110154225638,6881-46/2424,2023-06-08T00:00:00,115552001183,สมุทรปราการ,บริษัท ชิน แด อุน ไทย จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,17,17,บริษัท เมดิเชน จำกัด,444 หมู่6 ตำบลพังขว้าง อำเภอเมืองสกลนคร จังหวัดสกลนคร,2424-2565,20470493725643,6905-49/2424,2023-06-09T00:00:00,475560000295,สกลนคร,บริษัท เมดิเชน จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,18,18,บริษัท เอ็มไนน์ เมดิคอล อีควิปเม้นท์ จำกัด,4/5 ซอยวัฒนานิเวศน์ 3 แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร,2424-2565, ,6916-50/2424,2023-06-09T00:00:00,105563095621,กรุงเทพมหานคร,บริษัท เอ็มไนน์ เมดิคอล อีควิปเม้นท์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,19,19,บริษัท เมดิเมท เอเชีย จำกัด,37/2 หมู่4 ตำบลท้ายเกาะ อำเภอสามโคก จังหวัดปทุมธานี,2424-2565, ,7005-51/2424,2023-07-18T00:00:00,125563009571,ปทุมธานี,บริษัท เมดิเมท เอเชีย จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,20,20,องค์การเภสัชกรรม,138 หมู่4 ถนนรังสิต-นครนายก ตำบลบึงสนั่น อำเภอธัญบุรี จังหวัดปทุมธานี,2424-2565, ,7016-52/2424,2023-07-27T00:00:00,994000165315,ปทุมธานี,องค์การเภสัชกรรม
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,21,21,บริษัท ทีวายเค ฟิลเตอร์ส จำกัด,7/212 หมู่6 ตำบลมาบยางพร อำเภอปลวกแดง จังหวัดระยอง,2424-2565,72250200225450,7018-53/2424,2023-07-31T00:00:00,115559027633,ระยอง,บริษัท ทีวายเค ฟิลเตอร์ส จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,22,22,บริษัท ซาแวนท์เอ็นจิเนียริ่ง จำกัด,115/11 หมู่1 ตำบลบึงยี่โถ อำเภอธัญบุรี จังหวัดปทุมธานี,2424-2565, ,7022-54/2424,2023-08-04T00:00:00,135545002781,ปทุมธานี,บริษัท ซาแวนท์เอ็นจิเนียริ่ง จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,23,23,บริษัท ดร. ไฮจีน เมดิคอล โปรดักส์ จำกัด,172 หมู่10 ตำบลหนองตอง อำเภอหางดง จังหวัดเชียงใหม่,2424-2565,20500039325662,7075-55/2424,2023-09-04T00:00:00,505563009403,เชียงใหม่,บริษัท ดร. ไฮจีน เมดิคอล โปรดักส์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,24,24,บริษัท ที.ซี. เฮลท์แคร์ จำกัด,99  หมู่9 ซอย- ถนน- ตำบลบางแก้ว อำเภอเมืองสมุทรสงคราม จังหวัดสมุทรสงคราม,2424-2565, ,7098-56/2424,2023-09-08T00:00:00,105559194122,สมุทรสงคราม,บริษัท ที.ซี. เฮลท์แคร์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,25,25,ไอ.เอ็ส.แอล.พี,161/299 ซอยวิภาวดีรังสิต76 แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร,2424-2565, ,7171-57/2424,2023-10-09T00:00:00,4100200097506,กรุงเทพมหานคร,นางระพีพรรณ ก้องเกียรติศักดิ์
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,26,26,บริษัท เซฟแมสก์ จำกัด,1400/84 หมู่7 ซอยภัทรนิเวศน์ ถนนเทพารักษ์ ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ,2424-2565,60110217625650,7253-58/2424,2023-11-21T00:00:00,115563015407,สมุทรปราการ,บริษัท เซฟแมสก์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,27,27,บริษัท ดี.เอ. แพ็คเกจจิ้ง จำกัด,2/1 หมู่2 ตำบลท่าตูม อำเภอศรีมหาโพธิ จังหวัดปราจีนบุรี,2424-2565,20250097625633,7257-59/2424,2023-11-24T00:00:00,255550000430,ปราจีนบุรี,บริษัท ดี.เอ. แพ็คเกจจิ้ง จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,28,28,บริษัท ซีเจที เมดิคัล ดีไวเซส จำกัด,79/1 หมู่11 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร,2424-2565, ,7270-60/2424,2023-11-29T00:00:00,745563004388,สมุทรสาคร,บริษัท ซีเจที เมดิคัล ดีไวเซส จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,29,29,บริษัท ทีพีซีเอส จำกัด (มหาชน),600/49 หมู่11 ถนนสุขาภิบาล 8 ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี,2424-2565,20200300725563,7271-61/2424,2023-12-01T00:00:00,107537001447,ชลบุรี,บริษัท ทีพีซีเอส จำกัด (มหาชน)
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,30,30,บริษัท เอส.เจ.อีควิปเมนท์ แอนด์ แคร์ จำกัด,393 หมู่2 ซอย- ถนน- ตำบลป่าสัก อำเภอเมืองลำพูน จังหวัดลำพูน,2424-2565, ,7297-62/2424,2023-12-08T00:00:00,515563001011,ลำพูน,บริษัท เอส.เจ.อีควิปเมนท์ แอนด์ แคร์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,31,31,บริษัท เมด-คอน (ประเทศไทย) จำกัด,47 หมู่5 ถนนบางกรวย-ไทรน้อย ตำบลไทรน้อย อำเภอไทรน้อย จังหวัดนนทบุรี,2424-2565,20121700125453,7314-63/2424,2023-12-21T00:00:00,105536057463,นนทบุรี,บริษัท เมด-คอน (ประเทศไทย) จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,32,32,บริษัท เจ คอส แลบอราทอรีส์ จำกัด,140/1 หมู่4 ตำบลมาบยางพร อำเภอปลวกแดง จังหวัดระยอง,2424-2565, ,7333-64/2424,2023-12-27T00:00:00,105556047358,ระยอง,บริษัท เจ คอส แลบอราทอรีส์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,33,33,บริษัท กรีน โกลบอล ซัพพลาย จำกัด,99/92 หมู่5 ตำบลบางน้ำจืด อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร,2424-2565,20740161225658,7415-65/2424,2024-02-09T00:00:00,745563003373,สมุทรสาคร,บริษัท กรีน โกลบอล ซัพพลาย จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,34,34,บริษัท ไทยฮอสพิทอล โปรดักส์ จำกัด,"45/2,45/3 หมู่2 ซอยวัดกู้ ถนนสุขาประชาสรรค์ 2 ตำบลบางพูด อำเภอปากเกร็ด จังหวัดนนทบุรี",2424-2565,20120300125368,7452-66/2424,2024-03-07T00:00:00,105537103116,นนทบุรี,บริษัท ไทยฮอสพิทอล โปรดักส์ จำกัด
