data,province,_id,tombon,year,value,amphor,unit,source
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,1,แม่กลอง,2562,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,2,บางขันแตก,2562,170,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,3,ลาดใหญ่,2562,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,4,บ้านปรก,2562,2,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,5,บางแก้ว,2562,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,6,ท้ายหาด,2562,4,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,7,แหลมใหญ่,2562,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,8,คลองเขิน,2562,7,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,9,คลองโคน,2562,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,10,นางตะเคียน,2562,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกส้มโอรายตำบล,สมุทรสงคราม,11,บางจะเกร็ง,2562,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
