ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,อุตสาหกรรม,หน่วย
364139,สำนักงานสถิติจังหวัดมหาสารคาม,1,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
204512,สำนักงานสถิติจังหวัดมหาสารคาม,2,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
159627,สำนักงานสถิติจังหวัดมหาสารคาม,3,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
175190,สำนักงานสถิติจังหวัดมหาสารคาม,4,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
107131,สำนักงานสถิติจังหวัดมหาสารคาม,5,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
68059,สำนักงานสถิติจังหวัดมหาสารคาม,6,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
175190,สำนักงานสถิติจังหวัดมหาสารคาม,7,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
107131,สำนักงานสถิติจังหวัดมหาสารคาม,8,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
68059,สำนักงานสถิติจังหวัดมหาสารคาม,9,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
188949,สำนักงานสถิติจังหวัดมหาสารคาม,10,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
97381,สำนักงานสถิติจังหวัดมหาสารคาม,11,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
91568,สำนักงานสถิติจังหวัดมหาสารคาม,12,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,13,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,14,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,15,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
23388,สำนักงานสถิติจังหวัดมหาสารคาม,16,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
10758,สำนักงานสถิติจังหวัดมหาสารคาม,17,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
12630,สำนักงานสถิติจังหวัดมหาสารคาม,18,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
336,สำนักงานสถิติจังหวัดมหาสารคาม,19,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
336,สำนักงานสถิติจังหวัดมหาสารคาม,20,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,21,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,22,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,23,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,24,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
31128,สำนักงานสถิติจังหวัดมหาสารคาม,25,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
28128,สำนักงานสถิติจังหวัดมหาสารคาม,26,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
3000,สำนักงานสถิติจังหวัดมหาสารคาม,27,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
52318,สำนักงานสถิติจังหวัดมหาสารคาม,28,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
23395,สำนักงานสถิติจังหวัดมหาสารคาม,29,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
28923,สำนักงานสถิติจังหวัดมหาสารคาม,30,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
3214,สำนักงานสถิติจังหวัดมหาสารคาม,31,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
2928,สำนักงานสถิติจังหวัดมหาสารคาม,32,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
286,สำนักงานสถิติจังหวัดมหาสารคาม,33,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
14516,สำนักงานสถิติจังหวัดมหาสารคาม,34,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
3542,สำนักงานสถิติจังหวัดมหาสารคาม,35,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
10974,สำนักงานสถิติจังหวัดมหาสารคาม,36,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
453,สำนักงานสถิติจังหวัดมหาสารคาม,37,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
70,สำนักงานสถิติจังหวัดมหาสารคาม,38,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
383,สำนักงานสถิติจังหวัดมหาสารคาม,39,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
646,สำนักงานสถิติจังหวัดมหาสารคาม,40,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
170,สำนักงานสถิติจังหวัดมหาสารคาม,41,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
476,สำนักงานสถิติจังหวัดมหาสารคาม,42,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
1879,สำนักงานสถิติจังหวัดมหาสารคาม,43,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
760,สำนักงานสถิติจังหวัดมหาสารคาม,44,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
1119,สำนักงานสถิติจังหวัดมหาสารคาม,45,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
521,สำนักงานสถิติจังหวัดมหาสารคาม,46,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
521,สำนักงานสถิติจังหวัดมหาสารคาม,47,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,48,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
1726,สำนักงานสถิติจังหวัดมหาสารคาม,49,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
1536,สำนักงานสถิติจังหวัดมหาสารคาม,50,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
190,สำนักงานสถิติจังหวัดมหาสารคาม,51,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
15554,สำนักงานสถิติจังหวัดมหาสารคาม,52,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
9630,สำนักงานสถิติจังหวัดมหาสารคาม,53,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
5924,สำนักงานสถิติจังหวัดมหาสารคาม,54,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
15975,สำนักงานสถิติจังหวัดมหาสารคาม,55,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
5994,สำนักงานสถิติจังหวัดมหาสารคาม,56,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
9981,สำนักงานสถิติจังหวัดมหาสารคาม,57,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
9112,สำนักงานสถิติจังหวัดมหาสารคาม,58,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
2095,สำนักงานสถิติจังหวัดมหาสารคาม,59,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
7017,สำนักงานสถิติจังหวัดมหาสารคาม,60,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
8061,สำนักงานสถิติจังหวัดมหาสารคาม,61,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
3893,สำนักงานสถิติจังหวัดมหาสารคาม,62,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
4168,สำนักงานสถิติจังหวัดมหาสารคาม,63,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ศิลปะ ความบันเทิง และนันทนาการ,คน
6687,สำนักงานสถิติจังหวัดมหาสารคาม,64,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
3216,สำนักงานสถิติจังหวัดมหาสารคาม,65,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
3471,สำนักงานสถิติจังหวัดมหาสารคาม,66,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมบริการด้านอื่น ๆ,คน
3435,สำนักงานสถิติจังหวัดมหาสารคาม,67,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
