_id,Flag,ประเทศ
1,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,เมียนมา
2,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,กัมพูชา
3,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,ลาว
4,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,เวียดนาม
