_id,ปี,ขยะที่เกิดขึ้น รายวัน
1,2560,"2,580.70"
2,2561,"2,591.20"
3,2562,"2,909.90"
4,2563,"3,018.00"
5,2564,"2,615.10"
6,2565,"3,107.00"
7,2566,"3,136.20"
8,2567,"3,228.00"
