จำนวน,_id,ปี,กลุ่มอุตสาหกรรม,หน่วย
69,1,2567,ผลิตภัณฑ์จากพืช,แห่ง
63,2,2567,ผลิตภัณฑ์อโลหะ,แห่ง
53,3,2567,แปรรูปไม้และผลิตภัณฑ์จากไม้,แห่ง
46,4,2567,การผลิตอื่นๆ,แห่ง
41,5,2567,อุตสาหกรรมอาหาร,แห่ง
26,6,2567,ผลิตภัณฑ์โลหะ,แห่ง
25,7,2567,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,แห่ง
21,8,2567,ผลิตภัณฑ์พลาสติก,แห่ง
18,9,2567,ผลิตภัณฑ์จากปิโตรเลียม,แห่ง
10,10,2567,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,แห่ง
7,11,2567,อุตสาหกรรมเครื่องดื่ม,แห่ง
6,12,2567,ผลิตเครื่องจักรและเครื่องกล,แห่ง
3,13,2567,สิ่งทอ,แห่ง
2,14,2567,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,แห่ง
2,15,2567,เคมีภัณฑ์และผลิตภัณฑ์เคมี,แห่ง
2,16,2567,ยางและผลิตภัณฑ์ยาง,แห่ง
1,17,2567,ผลิตโลหะขั้นมูลฐาน,แห่ง
70,18,2568,การเกษตร,แห่ง
42,19,2568,อาหาร,แห่ง
8,20,2568,เครื่องดื่ม,แห่ง
3,21,2568,สิ่งทอ,แห่ง
2,22,2568,เครื่องแต่งกาย,แห่ง
0,23,2568,เครื่องหนัง,แห่ง
54,24,2568,ไม้และผลิตภัณฑ์จากไม้,แห่ง
10,25,2568,เฟอร์นิเจอร์และเครื่องเรือน,แห่ง
0,26,2568,กระดาษและผลิตภัณฑ์จากกระดาษ,แห่ง
0,27,2568,สิ่งพิมพ์,แห่ง
2,28,2568,เคมี,แห่ง
18,29,2568,ปิโตรเคมีและผลิตภัณฑ์,แห่ง
2,30,2568,ยาง,แห่ง
21,31,2568,พลาสติก,แห่ง
65,32,2568,อโลหะ,แห่ง
1,33,2568,โลหะ,แห่ง
26,34,2568,ผลิตภัณฑ์โลหะ,แห่ง
6,35,2568,เครื่องจักรกล,แห่ง
0,36,2568,ไฟฟ้า,แห่ง
26,37,2568,ขนส่ง,แห่ง
46,38,2568,อื่น ๆ,แห่ง
