จำนวน,_id,ปี,แหล่งข้อมูล,หน่วยนับ,รายการ,ประเภทรถ,จังหวัด
"55,789",1,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ปราจีนบุรี
"58,214",2,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2523,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ปราจีนบุรี
"60,354",3,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2524,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ปราจีนบุรี
"61,493",4,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2525,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ปราจีนบุรี
"2,476",5,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2526,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ปราจีนบุรี
"2,430",6,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2527,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ปราจีนบุรี
"2,343",7,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2528,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ปราจีนบุรี
"2,295",8,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2529,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ปราจีนบุรี
"52,421",9,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2530,รถยนต์บรรทุกส่วนบุคคล,ปราจีนบุรี
"52,418",10,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2531,รถยนต์บรรทุกส่วนบุคคล,ปราจีนบุรี
"51,989",11,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2532,รถยนต์บรรทุกส่วนบุคคล,ปราจีนบุรี
"51,186",12,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2533,รถยนต์บรรทุกส่วนบุคคล,ปราจีนบุรี
1,13,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2534,รถยนต์สามล้อส่วนบุคคล,ปราจีนบุรี
2,14,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2535,รถยนต์สามล้อส่วนบุคคล,ปราจีนบุรี
