จำนวน,_id,ปี,เพศ,ปัญหา,จังหวัด,ประเภทแรงงาน,หน่วย
48845,1,2561,ชาย,ค่าตอบแทน,สมุทรปราการ,แรงงานในระบบ,คน
11048,2,2561,ชาย,งานหนัก,สมุทรปราการ,แรงงานในระบบ,คน
1283,3,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,สมุทรปราการ,แรงงานในระบบ,คน
12628,4,2561,ชาย,งานไม่ต่อเนื่อง,สมุทรปราการ,แรงงานในระบบ,คน
2545,5,2561,ชาย,ชั่วโมงทำงานมากเกินไป,สมุทรปราการ,แรงงานในระบบ,คน
3232,6,2561,ชาย,ไม่มีสวัสดิการ,สมุทรปราการ,แรงงานในระบบ,คน
3823,7,2561,ชาย,ไม่ทราบ,สมุทรปราการ,แรงงานในระบบ,คน
27188,8,2561,หญิง,ค่าตอบแทน,สมุทรปราการ,แรงงานในระบบ,คน
2296,9,2561,หญิง,งานหนัก,สมุทรปราการ,แรงงานในระบบ,คน
2185,10,2561,หญิง,ทำงานไม่ตรงเวลาปกติ,สมุทรปราการ,แรงงานในระบบ,คน
4984,11,2561,หญิง,งานไม่ต่อเนื่อง,สมุทรปราการ,แรงงานในระบบ,คน
15796,12,2561,หญิง,ไม่มีสวัสดิการ,สมุทรปราการ,แรงงานในระบบ,คน
6725,13,2561,หญิง,ไม่ทราบ,สมุทรปราการ,แรงงานในระบบ,คน
2599,14,2561,ชาย,ค่าตอบแทน,สมุทรปราการ,แรงงานนอกระบบ,คน
1484,15,2561,ชาย,งานหนัก,สมุทรปราการ,แรงงานนอกระบบ,คน
1944,16,2561,ชาย,งานไม่ต่อเนื่อง,สมุทรปราการ,แรงงานนอกระบบ,คน
1537,17,2561,ชาย,ไม่มีสวัสดิการ,สมุทรปราการ,แรงงานนอกระบบ,คน
756,18,2561,ชาย,ไม่ทราบ,สมุทรปราการ,แรงงานนอกระบบ,คน
3481,19,2561,หญิง,ค่าตอบแทน,สมุทรปราการ,แรงงานนอกระบบ,คน
820,20,2561,หญิง,งานหนัก,สมุทรปราการ,แรงงานนอกระบบ,คน
2696,21,2561,หญิง,งานไม่ต่อเนื่อง,สมุทรปราการ,แรงงานนอกระบบ,คน
920,22,2561,หญิง,ไม่มีวันหยุด,สมุทรปราการ,แรงงานนอกระบบ,คน
21923,23,2561,ชาย,ค่าตอบแทน,นนทบุรี,แรงงานในระบบ,คน
14818,24,2561,ชาย,งานหนัก,นนทบุรี,แรงงานในระบบ,คน
2465,25,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,นนทบุรี,แรงงานในระบบ,คน
5615,26,2561,ชาย,งานไม่ต่อเนื่อง,นนทบุรี,แรงงานในระบบ,คน
6036,27,2561,ชาย,ชั่วโมงทำงานมากเกินไป,นนทบุรี,แรงงานในระบบ,คน
1263,28,2561,ชาย,ลาพักผ่อนไม่ได้,นนทบุรี,แรงงานในระบบ,คน
11632,29,2561,ชาย,ไม่มีสวัสดิการ,นนทบุรี,แรงงานในระบบ,คน
14353,30,2561,ชาย,ไม่ทราบ,นนทบุรี,แรงงานในระบบ,คน
21663,31,2561,หญิง,ค่าตอบแทน,นนทบุรี,แรงงานในระบบ,คน
2254,32,2561,หญิง,งานหนัก,นนทบุรี,แรงงานในระบบ,คน
1152,33,2561,หญิง,ทำงานไม่ตรงเวลาปกติ,นนทบุรี,แรงงานในระบบ,คน
2512,34,2561,หญิง,งานไม่ต่อเนื่อง,นนทบุรี,แรงงานในระบบ,คน
1058,35,2561,หญิง,ชั่วโมงทำงานมากเกินไป,นนทบุรี,แรงงานในระบบ,คน
471,36,2561,หญิง,ลาพักผ่อนไม่ได้,นนทบุรี,แรงงานในระบบ,คน
9319,37,2561,หญิง,ไม่มีสวัสดิการ,นนทบุรี,แรงงานในระบบ,คน
7470,38,2561,หญิง,ไม่ทราบ,นนทบุรี,แรงงานในระบบ,คน
14156,39,2561,ชาย,ค่าตอบแทน,นนทบุรี,แรงงานนอกระบบ,คน
3321,40,2561,ชาย,งานหนัก,นนทบุรี,แรงงานนอกระบบ,คน
1468,41,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,นนทบุรี,แรงงานนอกระบบ,คน
13426,42,2561,ชาย,งานไม่ต่อเนื่อง,นนทบุรี,แรงงานนอกระบบ,คน
1743,43,2561,ชาย,ไม่มีสวัสดิการ,นนทบุรี,แรงงานนอกระบบ,คน
648,44,2561,ชาย,ไม่ทราบ,นนทบุรี,แรงงานนอกระบบ,คน
9820,45,2561,หญิง,ค่าตอบแทน,นนทบุรี,แรงงานนอกระบบ,คน
2078,46,2561,หญิง,งานหนัก,นนทบุรี,แรงงานนอกระบบ,คน
469,47,2561,หญิง,ทำงานไม่ตรงเวลาปกติ,นนทบุรี,แรงงานนอกระบบ,คน
5867,48,2561,หญิง,งานไม่ต่อเนื่อง,นนทบุรี,แรงงานนอกระบบ,คน
406,49,2561,หญิง,ชั่วโมงทำงานมากเกินไป,นนทบุรี,แรงงานนอกระบบ,คน
1847,50,2561,หญิง,ไม่มีสวัสดิการ,นนทบุรี,แรงงานนอกระบบ,คน
1598,51,2561,หญิง,ไม่ทราบ,นนทบุรี,แรงงานนอกระบบ,คน
10874,52,2561,ชาย,ค่าตอบแทน,ปทุมธานี,แรงงานในระบบ,คน
1292,53,2561,ชาย,งานหนัก,ปทุมธานี,แรงงานในระบบ,คน
7515,54,2561,ชาย,งานไม่ต่อเนื่อง,ปทุมธานี,แรงงานในระบบ,คน
4930,55,2561,ชาย,ไม่มีสวัสดิการ,ปทุมธานี,แรงงานในระบบ,คน
1297,56,2561,ชาย,ไม่ทราบ,ปทุมธานี,แรงงานในระบบ,คน
13655,57,2561,หญิง,ค่าตอบแทน,ปทุมธานี,แรงงานในระบบ,คน
1448,58,2561,หญิง,งานหนัก,ปทุมธานี,แรงงานในระบบ,คน
1516,59,2561,หญิง,งานไม่ต่อเนื่อง,ปทุมธานี,แรงงานในระบบ,คน
438,60,2561,หญิง,ชั่วโมงทำงานมากเกินไป,ปทุมธานี,แรงงานในระบบ,คน
1262,61,2561,หญิง,ไม่มีสวัสดิการ,ปทุมธานี,แรงงานในระบบ,คน
2730,62,2561,หญิง,ไม่ทราบ,ปทุมธานี,แรงงานในระบบ,คน
8253,63,2561,ชาย,ค่าตอบแทน,ปทุมธานี,แรงงานนอกระบบ,คน
1149,64,2561,ชาย,งานหนัก,ปทุมธานี,แรงงานนอกระบบ,คน
