ค่าของข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
"41,134",สำนักงานขนส่งจังหวัดชุมพร,1,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ชุมพร,คัน
"1,328",สำนักงานขนส่งจังหวัดชุมพร,2,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ชุมพร,คัน
"78,473",สำนักงานขนส่งจังหวัดชุมพร,3,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์บรรทุกส่วนบุคคล,ชุมพร,คัน
2,สำนักงานขนส่งจังหวัดชุมพร,4,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์สามล้อส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,5,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างระหว่างจังหวัด,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,6,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,7,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์สี่ล้อเล็กรับจ้าง,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,8,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์รับจ้างสามล้อ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,9,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์บริการธุรกิจ,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,10,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์บริการทัศนาจร,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,11,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถยนต์บริการให้เช่า,ชุมพร,คัน
"167,275",สำนักงานขนส่งจังหวัดชุมพร,12,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติรถยนต์,รถจักรยานยนต์,ชุมพร,คัน
