ภาคเกษตร,_id,ปี,นอกภาคเกษตร,เพศ,ไตรมาส
50480,1,2564,3872,ชาย,ไตรมาส 1
39828,2,2564,3507,หญิง,ไตรมาส 1
"17,449",3,2564,"5,286",ชาย,ไตรมาส 2
"19,551",4,2564,"5,774",หญิง,ไตรมาส 2
"29,163",5,2564,"1,175",ชาย,ไตรมาส 3
"39,762",6,2564,"3,648",หญิง,ไตรมาส 3
"22,294",7,2564,562,ชาย,ไตรมาส 4
"36,969",8,2564,976,หญิง,ไตรมาส 4
"26,530",9,2565,"4,360",ชาย,ไตรมาส 1
"27,059",10,2565,"1,537",หญิง,ไตรมาส 1
"14,145",11,2565,"1,130",ชาย,ไตรมาส 2
"16,665",12,2565,689,หญิง,ไตรมาส 2
"6,323",13,2565,602,ชาย,ไตรมาส 3
"11,000",14,2565,0,หญิง,ไตรมาส 3
"10,478",15,2565,688,ชาย,ไตรมาส 4
"13,346",16,2565,558,หญิง,ไตรมาส 4
"14,283",17,2566,584,ชาย,ไตรมาส 1
"21,139",18,2566,77,หญิง,ไตรมาส 1
"6,877",19,2566,"1,849",ชาย,ไตรมาส 2
"9,784",20,2566,"2,426",หญิง,ไตรมาส 2
"12,588",21,2566,539,ชาย,ไตรมาส 3
"8,174",22,2566,755,หญิง,ไตรมาส 3
"12,982",23,2566,"4,756",ชาย,ไตรมาส 4
"24,619",24,2566,106,หญิง,ไตรมาส 4
"23,192",25,2567,742,ชาย,ไตรมาส 1
"19,515",26,2567,42,หญิง,ไตรมาส 1
"12,329",27,2567,"3,008",ชาย,ไตรมาส 2
"24,267",28,2567,"1,119",หญิง,ไตรมาส 2
"3,672",29,2567,464,ชาย,ไตรมาส 3
"6,630",30,2567,201,หญิง,ไตรมาส 3
"7,733",31,2567,"1,324",ชาย,ไตรมาส 4
"9,151",32,2567,564,หญิง,ไตรมาส 4
