ค่าข้อมูล,_id,ชื่อชุดข้อมูล,ปี,อำเภอ,ชนิดข้าว,หน่วย
8.00,1,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,เมืองบึงกาฬ,ข้าวเจ้า,ไร่
0.00,2,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,พรเจริญ,ข้าวเจ้า,ไร่
13.00,3,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,โซ่พิสัย,ข้าวเจ้า,ไร่
139.50,4,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,เซกา,ข้าวเจ้า,ไร่
10.00,5,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,ปากคาด,ข้าวเจ้า,ไร่
9.00,6,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,บึงโขงหลง,ข้าวเจ้า,ไร่
0.00,7,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,ศรีวิไล,ข้าวเจ้า,ไร่
4.00,8,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,บุ่งคล้า,ข้าวเจ้า,ไร่
10.00,9,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,เมืองบึงกาฬ,ข้าวเหนียว,ไร่
21.25,10,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,พรเจริญ,ข้าวเหนียว,ไร่
233.50,11,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,โซ่พิสัย,ข้าวเหนียว,ไร่
"2,802.92",12,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,เซกา,ข้าวเหนียว,ไร่
104.00,13,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,ปากคาด,ข้าวเหนียว,ไร่
51.75,14,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,บึงโขงหลง,ข้าวเหนียว,ไร่
26.00,15,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,ศรีวิไล,ข้าวเหนียว,ไร่
17.00,16,เนื้อที่เพาะปลูกข้าวนาปรัง,2566,บุ่งคล้า,ข้าวเหนียว,ไร่
13.00,17,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,เมืองบึงกาฬ,ข้าวเจ้า,ไร่
7.00,18,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,พรเจริญ,ข้าวเจ้า,ไร่
0.00,19,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,โซ่พิสัย,ข้าวเจ้า,ไร่
0.00,20,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,เซกา,ข้าวเจ้า,ไร่
10.00,21,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,ปากคาด,ข้าวเจ้า,ไร่
0.00,22,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,บึงโขงหลง,ข้าวเจ้า,ไร่
0.00,23,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,ศรีวิไล,ข้าวเจ้า,ไร่
0.00,24,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,บุ่งคล้า,ข้าวเจ้า,ไร่
15.50,25,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,เมืองบึงกาฬ,ข้าวเหนียว,ไร่
0.00,26,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,พรเจริญ,ข้าวเหนียว,ไร่
93.00,27,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,โซ่พิสัย,ข้าวเหนียว,ไร่
"2,821.00",28,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,เซกา,ข้าวเหนียว,ไร่
22.00,29,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,ปากคาด,ข้าวเหนียว,ไร่
416.00,30,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,บึงโขงหลง,ข้าวเหนียว,ไร่
0.00,31,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,ศรีวิไล,ข้าวเหนียว,ไร่
0.00,32,เนื้อที่เพาะปลูกข้าวนาปรัง,2565,บุ่งคล้า,ข้าวเหนียว,ไร่
0,33,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,เมืองบึงกาฬ,ข้าวเจ้า,ไร่
0,34,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,พรเจริญ,ข้าวเจ้า,ไร่
0,35,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,โซ่พิสัย,ข้าวเจ้า,ไร่
0,36,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,เซกา,ข้าวเจ้า,ไร่
0,37,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,ปากคาด,ข้าวเจ้า,ไร่
0,38,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,บึงโขงหลง,ข้าวเจ้า,ไร่
0,39,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,ศรีวิไล,ข้าวเจ้า,ไร่
0,40,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,บุ่งคล้า,ข้าวเจ้า,ไร่
"1,147.00",41,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,เมืองบึงกาฬ,ข้าวเหนียว,ไร่
"2,402.00",42,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,พรเจริญ,ข้าวเหนียว,ไร่
