จำนวน,_id,ปี,ไตรมาส,หน่วยวัด,อาชีพ
"6,404",1,2563,1,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"14,203",2,2563,1,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"5,575",3,2563,1,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"4,503",4,2563,1,คน,เสมียน
"37,412",5,2563,1,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"81,873",6,2563,1,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"29,220",7,2563,1,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"6,740",8,2563,1,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"19,182",9,2563,1,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,10,2563,1,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"5,022",11,2563,2,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"14,257",12,2563,2,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"4,050",13,2563,2,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"6,847",14,2563,2,คน,เสมียน
"41,008",15,2563,2,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"89,187",16,2563,2,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"21,181",17,2563,2,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"5,844",18,2563,2,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"14,269",19,2563,2,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,20,2563,2,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"3,874",21,2563,3,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"8,925",22,2563,3,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"4,613",23,2563,3,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"8,058",24,2563,3,คน,เสมียน
"37,652",25,2563,3,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"113,847",26,2563,3,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"15,396",27,2563,3,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"4,826",28,2563,3,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"15,857",29,2563,3,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,30,2563,3,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"11,327",31,2563,4,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"8,497",32,2563,4,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"8,276",33,2563,4,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"5,260",34,2563,4,คน,เสมียน
"31,690",35,2563,4,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"104,216",36,2563,4,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"17,704",37,2563,4,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"4,356",38,2563,4,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"15,248",39,2563,4,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,40,2563,4,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
721,41,2564,1,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"11,257",42,2564,1,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"7,454",43,2564,1,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"4,739",44,2564,1,คน,เสมียน
"33,893",45,2564,1,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
