ข้าวนาปี,กล้วยน้ำว้า,_id,ปี,กล้วยไข่,กล้วยหอม,ลำไย,อำเภอ
73763.15,,1,2561,,,,เมืองตาก
22494.17,,2,2561,,,,บ้านตาก
16284.66,,3,2561,,,,สามเงา
51466.13,,4,2561,,,,แม่ระมาด
62981.56,,5,2561,,,,ท่าสองยาง
50339.43,,6,2561,,,,แม่สอด
12703.66,,7,2561,,,,พบพระ
28478.29,,8,2561,,,,อุ้มผาง
13118.13,,9,2561,,,,วังเจ้า
75236,715,10,2562,2,21,1302.83,เมืองตาก
23192,119,11,2562,32,28,716.42,บ้านตาก
17702,83,12,2562,1042,9,3115.94,สามเงา
58486,430,13,2562,3,10,28.5,แม่ระมาด
69317,670,14,2562,98,128,112.38,ท่าสองยาง
51511,497,15,2562,44,405,64.74,แม่สอด
14096,691,16,2562,267,741,60.2,พบพระ
35400,1044,17,2562,,25,11.25,อุ้มผาง
13906,477,18,2562,73,18,12228.16,วังเจ้า
78956,1192,19,2563,6,13,4019.56,เมืองตาก
23377,243,20,2563,26,7,2668.72,บ้านตาก
17974,274,21,2563,77,19,7849.49,สามเงา
62018,595,22,2563,1,5,34.25,แม่ระมาด
54858,355,23,2563,3,8,23.13,ท่าสองยาง
53781,970,24,2563,,27,89.57,แม่สอด
15636,653,25,2563,231,1439,89.57,พบพระ
44854,2271,26,2563,37,45,36.25,อุ้มผาง
15811,275,27,2563,146,12,15973.53,วังเจ้า
81684,783.3,28,2564,5,11.5,2513,เมืองตาก
23669,118.69,29,2564,12.71,4.25,2076.51,บ้านตาก
18480,277.94,30,2564,1567.65,9.35,6732,สามเงา
60913,618.72,31,2564,,1,34.25,แม่ระมาด
65885,56.1,32,2564,,10,5,ท่าสองยาง
52932,588.71,33,2564,,3.75,24,แม่สอด
14345,235.27,34,2564,42.24,523.03,80.63,พบพระ
41668,1538.18,35,2564,10,18,2,อุ้มผาง
16251,184.5,36,2564,113.25,10,15871,วังเจ้า
,,37,2565,,,,เมืองตาก
,,38,2565,,,,บ้านตาก
,,39,2565,,,,สามเงา
,,40,2565,,,,แม่ระมาด
,,41,2565,,,,ท่าสองยาง
,,42,2565,,,,แม่สอด
,,43,2565,,,,พบพระ
,,44,2565,,,,อุ้มผาง
,,45,2565,,,,วังเจ้า
,,46,2566,,,,เมืองตาก
,,47,2566,,,,บ้านตาก
,,48,2566,,,,สามเงา
,,49,2566,,,,แม่ระมาด
,,50,2566,,,,ท่าสองยาง
,,51,2566,,,,แม่สอด
,,52,2566,,,,พบพระ
,,53,2566,,,,อุ้มผาง
,,54,2566,,,,วังเจ้า
72225.75,519.23,55,2567,5,5,3602,เมืองตาก
25015.89,71.46,56,2567,12.71,1.5,2433,บ้านตาก
18678.2,86.38,57,2567,1630.65,3.88,7643,สามเงา
45333.28,282.99,58,2567,,1,11,แม่ระมาด
64912.65,101.35,59,2567,,0.5,2,ท่าสองยาง
47236.14,486.23,60,2567,,0.75,60,แม่สอด
15133.27,269.98,61,2567,42.21,674.58,123,พบพระ
51592.05,1198.01,62,2567,10,8,2,อุ้มผาง
15115.92,167,63,2567,113.25,1,15697,วังเจ้า
