เดือน,เมียนมา,อืนๆ,ที่มา,ลาว,_id,ปี,เวียดนาม,รวม,กัมพูชา,หน่วยวัด
มกราคม,"31,201","1,295",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,284",1,2566,0,"35,443","1,663",คน
กุมภาพันธ์,"29,996","1,302",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,267",2,2566,0,"34,212","1,647",คน
มีนาคม,"31,367","1,317",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,261",3,2566,0,"35,566","1,621",คน
เมษายน,"29,685","1,334",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,248",4,2566,0,"33,872","1,605",คน
พฤษภาคม,"20,589","1,320",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,937,5,2566,0,"24,112","1,266",คน
มิถุนายน,"24,236","1,315",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,129",6,2566,0,"28,226","1,546",คน
กรกฏาคม,"24,378","1,310",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,132",7,2566,0,"28,319","1,499",คน
สิงหาคม,"23,881","1,332",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,113",8,2566,0,"27,792","1,466",คน
กันยายน,"23,509","1,367",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,140",9,2566,0,"27,579","1,563",คน
ตุลาคม,"22,657","1,399",สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,"1,108",10,2566,0,"26,641","1,477",คน
พฤศจิกายน,32361,1586,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1506,11,2566,26,37246,1767,คน
ธันวาคม,32018,1598,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1529,12,2566,26,36922,1751,คน
มกราคม,30690,1467,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1423,13,2567,1,35356,1775,คน
กุมภาพันธ์,30459,1625,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1395,14,2567,7,35135,1649,คน
มีนาคม,30199,1650,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1417,15,2567,7,34926,1653,คน
เมษายน,29997,1626,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1405,16,2567,7,34658,1623,คน
พฤษภาคม,29403,1622,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1380,17,2567,7,34094,1682,คน
มิถุนายน,29228,1629,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1381,18,2567,7,33927,1682,คน
กรกฏาคม,29071,1628,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1374,19,2567,7,33741,1661,คน
สิงหาคม,28724,1647,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1383,20,2567,7,33396,1635,คน
กันยายน,28537,1659,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1376,21,2567,7,33189,1610,คน
ตุลาคม,28507,1671,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1355,22,2567,7,33143,1603,คน
พฤศจิกายน,28242,1687,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1351,23,2567,7,32774,1487,คน
ธันวาคม,35946,1691,สำนักงานจัดหางานจังหวัดประจวบคีรีขันธ์,1898,24,2567,13,41715,2167,คน
