ค่าข้อมูล,ประเภทข้าว,_id,ชื่อชุดข้อมูล,ปี,อำเภอ,หน่วย
"8,249.43",ข้าวเจ้า,1,เนื้อที่เพาะปลูกข้าวนาปี,2566,เมืองบึงกาฬ,ไร่
"13,124.47",ข้าวเจ้า,2,เนื้อที่เพาะปลูกข้าวนาปี,2566,พรเจริญ,ไร่
"7,376.35",ข้าวเจ้า,3,เนื้อที่เพาะปลูกข้าวนาปี,2566,โซ่พิสัย,ไร่
"25,281.71",ข้าวเจ้า,4,เนื้อที่เพาะปลูกข้าวนาปี,2566,เซกา,ไร่
"4,100.79",ข้าวเจ้า,5,เนื้อที่เพาะปลูกข้าวนาปี,2566,ปากคาด,ไร่
"4,848.97",ข้าวเจ้า,6,เนื้อที่เพาะปลูกข้าวนาปี,2566,บึงโขงหลง,ไร่
"5,710.05",ข้าวเจ้า,7,เนื้อที่เพาะปลูกข้าวนาปี,2566,ศรีวิไล,ไร่
"1,652.66",ข้าวเจ้า,8,เนื้อที่เพาะปลูกข้าวนาปี,2566,บุ่งคล้า,ไร่
"57,523.56",ข้าวเหนียว,9,เนื้อที่เพาะปลูกข้าวนาปี,2566,เมืองบึงกาฬ,ไร่
"36,602.31",ข้าวเหนียว,10,เนื้อที่เพาะปลูกข้าวนาปี,2566,พรเจริญ,ไร่
"80,721.22",ข้าวเหนียว,11,เนื้อที่เพาะปลูกข้าวนาปี,2566,โซ่พิสัย,ไร่
"111,080.57",ข้าวเหนียว,12,เนื้อที่เพาะปลูกข้าวนาปี,2566,เซกา,ไร่
"26,743.19",ข้าวเหนียว,13,เนื้อที่เพาะปลูกข้าวนาปี,2566,ปากคาด,ไร่
"35,546.30",ข้าวเหนียว,14,เนื้อที่เพาะปลูกข้าวนาปี,2566,บึงโขงหลง,ไร่
"42,295.86",ข้าวเหนียว,15,เนื้อที่เพาะปลูกข้าวนาปี,2566,ศรีวิไล,ไร่
"11,193.55",ข้าวเหนียว,16,เนื้อที่เพาะปลูกข้าวนาปี,2566,บุ่งคล้า,ไร่
"7,895.39",ข้าวเจ้า,17,เนื้อที่เพาะปลูกข้าวนาปี,2565,เมืองบึงกาฬ,ไร่
"12,765.76",ข้าวเจ้า,18,เนื้อที่เพาะปลูกข้าวนาปี,2565,พรเจริญ,ไร่
