จำนวน,ประเภท,รายละเอียด,_id,ปี,เพศ,หน่วย
8339,สถานภาพแรงงาน,ผู้มีงานทำ,1,2562,ชาย,คน
-,สถานภาพแรงงาน,ผู้ว่างงาน,2,2562,ชาย,คน
-,สถานภาพแรงงาน,ผู้ที่รอฤดูกาล,3,2562,ชาย,คน
150,สถานภาพแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,4,2562,ชาย,คน
372,ระดับการศึกษาที่สำเร็จ,ไม่มีการศึกษา,5,2562,ชาย,คน
2129,ระดับการศึกษาที่สำเร็จ,ต่ำกว่าประถมศึกษา,6,2562,ชาย,คน
550,ระดับการศึกษาที่สำเร็จ,ประถมศึกษา,7,2562,ชาย,คน
4152,ระดับการศึกษาที่สำเร็จ,มัธยมศึกษา,8,2562,ชาย,คน
1286,ระดับการศึกษาที่สำเร็จ,อุดมศึกษา,9,2562,ชาย,คน
-,ระดับการศึกษาที่สำเร็จ,อื่นๆ และไม่ทราบ,10,2562,ชาย,คน
499,กลุ่มอายุ (ปี),15-24,11,2562,ชาย,คน
2571,กลุ่มอายุ (ปี),25-34,12,2562,ชาย,คน
1819,กลุ่มอายุ (ปี),35-44,13,2562,ชาย,คน
1034,กลุ่มอายุ (ปี),45-54,14,2562,ชาย,คน
1044,กลุ่มอายุ (ปี),55-59,15,2562,ชาย,คน
1529,กลุ่มอายุ (ปี),60 ปีขึ้นไป,16,2562,ชาย,คน
8620,สถานภาพแรงงาน,ผู้มีงานทำ,17,2562,หญิง,คน
-,สถานภาพแรงงาน,ผู้ว่างงาน,18,2562,หญิง,คน
-,สถานภาพแรงงาน,ผู้ที่รอฤดูกาล,19,2562,หญิง,คน
1995,สถานภาพแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,20,2562,หญิง,คน
132,ระดับการศึกษาที่สำเร็จ,ไม่มีการศึกษา,21,2562,หญิง,คน
1844,ระดับการศึกษาที่สำเร็จ,ต่ำกว่าประถมศึกษา,22,2562,หญิง,คน
1837,ระดับการศึกษาที่สำเร็จ,ประถมศึกษา,23,2562,หญิง,คน
4347,ระดับการศึกษาที่สำเร็จ,มัธยมศึกษา,24,2562,หญิง,คน
2455,ระดับการศึกษาที่สำเร็จ,อุดมศึกษา,25,2562,หญิง,คน
-,ระดับการศึกษาที่สำเร็จ,อื่นๆ และไม่ทราบ,26,2562,หญิง,คน
2158,กลุ่มอายุ (ปี),15-24,27,2562,หญิง,คน
2931,กลุ่มอายุ (ปี),25-34,28,2562,หญิง,คน
1751,กลุ่มอายุ (ปี),35-44,29,2562,หญิง,คน
909,กลุ่มอายุ (ปี),45-54,30,2562,หญิง,คน
1798,กลุ่มอายุ (ปี),55-59,31,2562,หญิง,คน
1067,กลุ่มอายุ (ปี),60 ปีขึ้นไป,32,2562,หญิง,คน
9462,สถานภาพแรงงาน,ผู้มีงานทำ,33,2563,ชาย,คน
-,สถานภาพแรงงาน,ผู้ว่างงาน,34,2563,ชาย,คน
-,สถานภาพแรงงาน,ผู้ที่รอฤดูกาล,35,2563,ชาย,คน
583,สถานภาพแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,36,2563,ชาย,คน
384,ระดับการศึกษาที่สำเร็จ,ไม่มีการศึกษา,37,2563,ชาย,คน
1719,ระดับการศึกษาที่สำเร็จ,ต่ำกว่าประถมศึกษา,38,2563,ชาย,คน
868,ระดับการศึกษาที่สำเร็จ,ประถมศึกษา,39,2563,ชาย,คน
3232,ระดับการศึกษาที่สำเร็จ,มัธยมศึกษา,40,2563,ชาย,คน
3841,ระดับการศึกษาที่สำเร็จ,อุดมศึกษา,41,2563,ชาย,คน
-,ระดับการศึกษาที่สำเร็จ,อื่นๆ และไม่ทราบ,42,2563,ชาย,คน
1084,กลุ่มอายุ (ปี),15-24,43,2563,ชาย,คน
2811,กลุ่มอายุ (ปี),25-34,44,2563,ชาย,คน
3044,กลุ่มอายุ (ปี),35-44,45,2563,ชาย,คน
666,กลุ่มอายุ (ปี),45-54,46,2563,ชาย,คน
730,กลุ่มอายุ (ปี),55-59,47,2563,ชาย,คน
1709,กลุ่มอายุ (ปี),60 ปีขึ้นไป,48,2563,ชาย,คน
8142,สถานภาพแรงงาน,ผู้มีงานทำ,49,2563,หญิง,คน
