FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
ทางหลวง 3079,250000125394,ศ3-34(1)-1/39ปจ,ศรีมหาโพธิ,ปราจีนบุรี,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),2,1,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),แปรรูปไม้เพื่อผลิตชิ้นไม้สับจากไม้ยูคาลิปตัส,ดำเนินกิจการ,2023-04-18T21:00:05,101.57637,1,13.92275,NULL,ท่าตูม
กบินทร์บุรี-ฉะเชิงเทรา,10240100125368,3-38(2)-1/36ฉช,พนมสารคาม,ฉะเชิงเทรา,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),3,2,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),ผลิตกระดาษพิมพ์ และกระดาษเขียน กำลังการผลิต 36000 ตันต่อปี,ดำเนินกิจการ,2023-04-18T21:00:05,101.47183,99/1,13.71233,NULL,เขาหินซ้อน
ฉะเชิงเทรา-บางปะกง,240200125344,ศ3-14-1/34ฉช,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,ห้างหุ้นส่วนจำกัด จิตต์ส่งเสริม,NULL,3,ห้างหุ้นส่วนจำกัด จิตต์ส่งเสริม,ทำน้ำแข็งก้อนเล็ก ได้วันละ 150 ตัน และทำน้ำดื่ม,ดำเนินกิจการ,2023-04-18T21:00:05,101.06633,155,13.6868,NULL,หน้าเมือง
ฉะเชิงเทรา-พนัสนิคม,10240300225349,3-72-2/34ฉช,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,บริษัท โรยัล อิเลคทรอนิค แฟคโทรี่ (ไทยแลนด์) จำกัด,2,4,บริษัท โรยัล อิเลคทรอนิค แฟคโทรี่ (ไทยแลนด์) จำกัด,ประกอบอุปกรณ์อิเลคทรอนิค (FIXED RESISTORS),ดำเนินกิจการ,2023-04-18T21:00:05,101.097822,20/1,13.651148,NULL,คลองนา
สรรคประสาสน์,240000125296,ส3-34(3)-1/29ฉช,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,บริษัท วิบูลย์วัฒนอุตสาหกรรม จำกัด,NULL,5,บริษัท วิบูลย์วัฒนอุตสาหกรรม จำกัด,ไม้อัด (แผ่นชิ้นไม้ผสมซีเมนต์อัด),ดำเนินกิจการ,2023-04-18T21:00:05,101.08739,231/1,13.68906,-,หน้าเมือง
ฉะเชิงเทรา-พนมสารคาม-กบินทร์,10240400225348,3-91-2/34ฉช,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,บริษัท ฉะเชิงเทรา ออกซิเจน จำกัด,7,6,บริษัท ฉะเชิงเทรา ออกซิเจน จำกัด,บรรจุก๊าซออกซิเจนเหลว,ดำเนินกิจการ,2023-04-18T21:00:05,101.11593,98/4,13.66192,NULL,บางไผ่
บางนา-ตราด (กม.42),10240400125357,3-60-1/35ฉช,บางปะกง,ฉะเชิงเทรา,บริษัท อลูเม็ท จำกัด,  3,7,บริษัท อลูเม็ท จำกัด,หลอมและรีดอลูมิเนียมรูปหน้าตัด,ดำเนินกิจการ,2023-04-18T21:00:05,100.95717,111/1,13.5319,วัดบางเกลือ,บางสมัคร
สุขุมวิทสายเก่า,10240100525351,3-59-5/35ฉช,บางปะกง,ฉะเชิงเทรา,บริษัท บี.เอส.เมทัล จำกัด, 14,8,บริษัท บี.เอส.เมทัล จำกัด,ผลิตเหล็กตัวซี เหล็กท่อกลม และตัดเหล็กแผ่น,ดำเนินกิจการ,2023-04-18T21:00:05,100.97218,157-157/1,13.48456,NULL,บางปะกง
บางนา-ตราด,10240200125367,3-64(6)-1/36ฉช,บางปะกง,ฉะเชิงเทรา,บริษัท ไทยสิน เมทัล อินดัสตรี จำกัด,1,9,บริษัท ไทยสิน เมทัล อินดัสตรี จำกัด,ผลิตสกรู น๊อต ชุบแข็ง และชุบผิวโลหะทุกชนิด,ดำเนินกิจการ,2023-04-18T21:00:05,100.9205,51/2,13.56039,วัดหอมศีล,หอมศีล
บางนา-ตราด กม.41,240000125312,ส3-71-1/31ฉช,บางปะกง,ฉะเชิงเทรา,บริษัท ฮายากาว่า อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,2,10,บริษัท ฮายากาว่า อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,ผลิตส่วนประกอบอุปกรณ์ของตู้อบไมโครเวฟ และตู้เย็น (WIRE HARNESS & AC CORD WITH PLUG),ดำเนินกิจการ,2023-04-18T21:00:05,100.95878,8/3,13.55368,-,บางวัว
