_id,ค่าเฉลี่ย,หน่วย,เดือน
1,2.3,บาท,ม.ค.
2,1.95,บาท,ก.พ.
3,1.75,บาท,มี.ค.
4,1.75,บาท,เม.ย.
5,1.75,บาท,พ.ค.
6,1.75,บาท,มิ.ย.
7,1.75,บาท,ก.ค.
8,1.75,บาท,ส.ค.
9,1.75,บาท,ก.ย.
10,1.75,บาท,ต.ค.
11,1.17,บาท,พ.ย.
12,2.24,บาท,ธ.ค.
