_id,ค่าข้อมูล,พ.ศ.,ชนิดพืช,รายการ
1,373878,2562,ข้าวนาปี,พื้นที่เพาะปลูก
2,643,2562,ข้าวนาปี,ผลผลิต
3,8.8,2562,ข้าวนาปี,ราคาผลผลิต
4,1672.75,2562,ข้าวนาปี,มูลค่าผลผลิต
5,374100,2563,ข้าวนาปี,พื้นที่เพาะปลูก
6,645,2563,ข้าวนาปี,ผลผลิต
7,8.77,2563,ข้าวนาปี,ราคาผลผลิต
8,2115.31,2563,ข้าวนาปี,มูลค่าผลผลิต
9,181155,2562,ข้าวนาปรัง,พื้นที่เพาะปลูก
10,736,2562,ข้าวนาปรัง,ผลผลิต
11,7.61,2562,ข้าวนาปรัง,ราคาผลผลิต
12,1013.67,2562,ข้าวนาปรัง,มูลค่าผลผลิต
13,184736,2563,ข้าวนาปรัง,พื้นที่เพาะปลูก
14,734,2563,ข้าวนาปรัง,ผลผลิต
15,7.7,2563,ข้าวนาปรัง,ราคาผลผลิต
16,1039.91,2563,ข้าวนาปรัง,มูลค่าผลผลิต
17,789440,2562,อ้อย,พื้นที่เพาะปลูก
18,8531,2562,อ้อย,ผลผลิต
19,0.73,2562,อ้อย,ราคาผลผลิต
20,4585.3,2562,อ้อย,มูลค่าผลผลิต
21,736284,2563,อ้อย,พื้นที่เพาะปลูก
22,10410,2563,อ้อย,ผลผลิต
23,0.97,2563,อ้อย,ราคาผลผลิต
24,7078.49,2563,อ้อย,มูลค่าผลผลิต
25,480879,2562,มันสำประหลัง,พื้นที่เพาะปลูก
26,3472,2562,มันสำประหลัง,ผลผลิต
27,1.89,2562,มันสำประหลัง,ราคาผลผลิต
28,3147.46,2562,มันสำประหลัง,มูลค่าผลผลิต
29,502591,2563,มันสำประหลัง,พื้นที่เพาะปลูก
30,3305,2563,มันสำประหลัง,ผลผลิต
31,2.07,2563,มันสำประหลัง,ราคาผลผลิต
32,3402.73,2563,มันสำประหลัง,มูลค่าผลผลิต
33,89444,2562,ข้าวโพดเลี้ยงสัตว,พื้นที่เพาะปลูก
34,698,2562,ข้าวโพดเลี้ยงสัตว,ผลผลิต
35,7.27,2562,ข้าวโพดเลี้ยงสัตว,ราคาผลผลิต
36,451.05,2562,ข้าวโพดเลี้ยงสัตว,มูลค่าผลผลิต
37,87637,2563,ข้าวโพดเลี้ยงสัตว,พื้นที่เพาะปลูก
38,698,2563,ข้าวโพดเลี้ยงสัตว,ผลผลิต
39,6.88,2563,ข้าวโพดเลี้ยงสัตว,ราคาผลผลิต
40,420.22,2563,ข้าวโพดเลี้ยงสัตว,มูลค่าผลผลิต
41,26573,2562,ข้าวโพดหวาน,พื้นที่เพาะปลูก
42,1643,2562,ข้าวโพดหวาน,ผลผลิต
43,6.01,2562,ข้าวโพดหวาน,ราคาผลผลิต
44,259.64,2562,ข้าวโพดหวาน,มูลค่าผลผลิต
45,26113,2563,ข้าวโพดหวาน,พื้นที่เพาะปลูก
46,1599.27,2563,ข้าวโพดหวาน,ผลผลิต
47,5.84,2563,ข้าวโพดหวาน,ราคาผลผลิต
48,242.69,2563,ข้าวโพดหวาน,มูลค่าผลผลิต
49,125591,2562,ข้าวโพดฝักอ่อน,พื้นที่เพาะปลูก
50,1499,2562,ข้าวโพดฝักอ่อน,ผลผลิต
51,4.4,2562,ข้าวโพดฝักอ่อน,ราคาผลผลิต
52,815.14,2562,ข้าวโพดฝักอ่อน,มูลค่าผลผลิต
53,118692,2563,ข้าวโพดฝักอ่อน,พื้นที่เพาะปลูก
54,1480,2563,ข้าวโพดฝักอ่อน,ผลผลิต
55,4.97,2563,ข้าวโพดฝักอ่อน,ราคาผลผลิต
56,870.46,2563,ข้าวโพดฝักอ่อน,มูลค่าผลผลิต
57,1763,2562,หน่อไม้ฝรั่ง,พื้นที่เพาะปลูก
58,1533,2562,หน่อไม้ฝรั่ง,ผลผลิต
59,67.3,2562,หน่อไม้ฝรั่ง,ราคาผลผลิต
60,181.27,2562,หน่อไม้ฝรั่ง,มูลค่าผลผลิต
61,1897,2563,หน่อไม้ฝรั่ง,พื้นที่เพาะปลูก
62,1545,2563,หน่อไม้ฝรั่ง,ผลผลิต
63,61.3,2563,หน่อไม้ฝรั่ง,ราคาผลผลิต
64,176.35,2563,หน่อไม้ฝรั่ง,มูลค่าผลผลิต
65,18703,2562,สับปะรด,พื้นที่เพาะปลูก
66,3100,2562,สับปะรด,ผลผลิต
67,6.7,2562,สับปะรด,ราคาผลผลิต
68,384.08,2562,สับปะรด,มูลค่าผลผลิต
69,25198,2563,สับปะรด,พื้นที่เพาะปลูก
70,3210,2563,สับปะรด,ผลผลิต
71,8.62,2563,สับปะรด,ราคาผลผลิต
72,546.6,2563,สับปะรด,มูลค่าผลผลิต
73,136390,2562,ยางพารา,พื้นที่เพาะปลูก
74,207,2562,ยางพารา,ผลผลิต
