2558,2560,2561,_id,2559,2564,2567,2566,2557,2563,2565,ตำบล,อำเภอ,รายการ,หน่วยวัด,2562,จังหวัด
,,4.8,260,,4.8,4.8,4.8,,4.8,4.8,ต.แหลมทอง,อ.หนองบุญมาก,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),4.8,จ.นครราชสีมา
,,,261,,,,,,,,ต.หนองตะไก้,อ.หนองบุญมาก,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,262,,,,,,,,ต.ลุงเขว้า,อ.หนองบุญมาก,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,263,,,,,,,,ต.หนองไม้ไผ่,อ.หนองบุญมาก,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,264,,,,,,,,ต.บ้านใหม่,อ.หนองบุญมาก,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,265,,,,,,,,,อ.แก้งสนามนาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
64,64,64,266,64,64,64,64,64,64,64,ต.แก้งสนามนาง,อ.แก้งสนามนาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),64,จ.นครราชสีมา
,,,267,,,,,,,,ต.โนนสำราญ,อ.แก้งสนามนาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,268,,,,,,,,ต.บึงพะไล,อ.แก้งสนามนาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,269,,,,,,,,ต.สีสุก,อ.แก้งสนามนาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,270,,,,,,,,ต.บึงสำโรง,อ.แก้งสนามนาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,271,,,,,,,,,อ.โนนแดง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,272,,,,,,,,ต.โนนแดง,อ.โนนแดง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,273,,,,,,,,ต.โนนตาเถร,อ.โนนแดง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,274,,,,,,,,ต.สำพะเนียง,อ.โนนแดง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,275,,,,,,,,ต.วังหิน,อ.โนนแดง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,276,,,,,,,,ต.ดอนยาวใหญ่,อ.โนนแดง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,277,,,,,,,,,อ.วังน้ำเขียว,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,278,,,,,,,,ต.วังน้ำเขียว,อ.วังน้ำเขียว,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,279,,,,,,,,ต.วังหมี,อ.วังน้ำเขียว,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,280,,,,,,,,ต.ระเริง,อ.วังน้ำเขียว,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,281,,,,,,,,ต.อุดมทรัพย์,อ.วังน้ำเขียว,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,282,,,,,,,,ต.ไทยสามัคคี,อ.วังน้ำเขียว,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,283,,,,,,,,,อ.เทพารักษ์,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,284,,,,,,,,ต.สำนักตะคร้อ,อ.เทพารักษ์,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,90,90,285,,90,90,90,,90,90,ต.หนองแวง,อ.เทพารักษ์,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),90,จ.นครราชสีมา
,,,286,,,,,,,,ต.บึงปรือ,อ.เทพารักษ์,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,180,180,287,,180,180,180,,180,180,ต.วังยายทอง,อ.เทพารักษ์,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),180,จ.นครราชสีมา
,,,288,,,,,,,,,อ.เมืองยาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,289,,,,,,,,ต.เมืองยาง,อ.เมืองยาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,290,,,,,,,,ต.กระเบื้องนอก,อ.เมืองยาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,291,,,,,,,,ต.ละหานปลาค้าว,อ.เมืองยาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,292,,,,,,,,ต.โนนอุดม,อ.เมืองยาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,293,,,,,,,,,อ.พระทองคำ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,294,,,,,,,,ต.สระพระ,อ.พระทองคำ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,295,,,,,,,,ต.มาบกราด,อ.พระทองคำ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,296,,,,,,,,ต.พังเทียม,อ.พระทองคำ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,297,,,,,,,,ต.ทัพรั้ง,อ.พระทองคำ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,298,,,,,,,,ต.หนองหอย,อ.พระทองคำ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,299,,,,,,,,,อ.ลำทะเมนชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,300,,,,,,,,ต.ขุย,อ.ลำทะเมนชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,301,,,,,,,,ต.บ้านยาง,อ.ลำทะเมนชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,302,,,,,,,,ต.ช่องแมว,อ.ลำทะเมนชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,303,,,,,,,,ต.ไพล,อ.ลำทะเมนชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,304,,,,,,,,,อ.บัวลาย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,305,,,,,,,,ต.เมืองพะไล,อ.บัวลาย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,306,,,,,,,,ต.โนนจาน,อ.บัวลาย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,307,,,,,,,,ต.บัวลาย,อ.บัวลาย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,308,,,,,,,,ต.หนองหว้า,อ.บัวลาย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,309,,,,,,,,,อ.สีดา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,310,,,,,,,,ต.สีดา,อ.สีดา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,311,,,,,,,,ต.โพนทอง,อ.สีดา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,312,,,,,,,,ต.โนนประดู่,อ.สีดา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
5.94,5.94,5.94,313,5.94,6.94,6.94,6.94,5.94,6.94,6.94,ต.สามเมือง,อ.สีดา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),5.94,จ.นครราชสีมา
,,,314,,,,,,,,ต.หนองตาดใหญ่,อ.สีดา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,315,,,,,,,,,อ.เฉลิมพระเกียรติ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,316,,,,,,,,ต.ช้างทอง,อ.เฉลิมพระเกียรติ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,317,,,,,,,,ต.ท่าช้าง,อ.เฉลิมพระเกียรติ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,318,,,,,,,,ต.พระพุทธ,อ.เฉลิมพระเกียรติ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,319,,2.52,2.52,2.52,,2.52,2.52,ต.หนองงูเหลือม,อ.เฉลิมพระเกียรติ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,320,,,,,,,,ต.หนองยาง,อ.เฉลิมพระเกียรติ,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
