Province,Dataset_name,Item,Unit,Dataset_Group,_id,Vlue,Year,หน่วยงานเจ้าของข้อมูล,Source
ปทุมธานี,คะน้า,ผลผลิต,ตัน,เกษตรและประมง,27,497,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,คะน้า,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,28,1335,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกวางตุ้ง,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,29,205,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกวางตุ้ง,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,30,205,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกวางตุ้ง,ผลผลิต,ตัน,เกษตรและประมง,31,289,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกวางตุ้ง,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,32,1412,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกาดหอม,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,33,988,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกาดหอม,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,34,988,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกาดหอม,ผลผลิต,ตัน,เกษตรและประมง,35,1688,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกาดหอม,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,36,1689,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กระเพรา-โหระพา,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,37,747,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กระเพรา-โหระพา,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,38,747,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กระเพรา-โหระพา,ผลผลิต,ตัน,เกษตรและประมง,39,577,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กระเพรา-โหระพา,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,40,772,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,พริกขี้หนูสวน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,41,1429,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,พริกขี้หนูสวน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,42,1415,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,พริกขี้หนูสวน,ผลผลิต,ตัน,เกษตรและประมง,43,783,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,พริกขี้หนูสวน,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,44,554,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข่า,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,45,196,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข่า,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,46,196,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข่า,ผลผลิต,ตัน,เกษตรและประมง,47,299,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข่า,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,48,1526,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะเขือเปราะ,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,49,104,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะเขือเปราะ,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,50,104,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะเขือเปราะ,ผลผลิต,ตัน,เกษตรและประมง,51,109,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะเขือเปราะ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,52,1055,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ฟักทอง,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,53,14,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ฟักทอง,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,54,14,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ฟักทอง,ผลผลิต,ตัน,เกษตรและประมง,55,15,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ฟักทอง,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,56,1108,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,แตงกวา,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,57,56,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,แตงกวา,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,58,56,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,แตงกวา,ผลผลิต,ตัน,เกษตรและประมง,59,55,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,แตงกวา,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,60,997,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ตะไคร้,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,61,8525,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ตะไคร้,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,62,6817,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ตะไคร้,ผลผลิต,ตัน,เกษตรและประมง,63,7461,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ตะไคร้,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,64,1094,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
