_id,permission,﻿year,unit,source,province,license_type,region,value
1,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต (ราย),ทั่วประเทศ,145245
2,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),ทั่วประเทศ,16431
3,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),ทั่วประเทศ,3914
4,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต (ราย),ทั่วประเทศ,149823
5,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),ทั่วประเทศ,17112
6,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),ทั่วประเทศ,4947
7,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต (ราย),ทั่วประเทศ,163309
8,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),ทั่วประเทศ,18207
9,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),ทั่วประเทศ,5285
10,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต (ราย),ทั่วประเทศ,170465
11,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),ทั่วประเทศ,16803
12,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),ทั่วประเทศ,4036
13,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,31245
14,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,10140
15,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,1347
16,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,31543
17,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,10179
18,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,2112
19,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,32008
20,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,10707
21,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,1953
22,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,30601
23,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,10310
24,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,1561
25,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,11960
26,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,5377
27,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,477
28,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,12236
29,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,5439
30,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,505
31,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,12212
32,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,6059
33,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,995
34,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,10212
35,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,5280
36,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,กรุงเทพมหานคร,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,546
37,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,3018
38,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,835
39,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,205
40,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,3223
41,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,840
42,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,213
43,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,3302
44,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,752
45,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,173
46,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,3231
47,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,710
48,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,สมุทรปราการ,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,153
49,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,4005
50,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,1228
51,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,163
52,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,3724
53,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,1077
54,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,337
55,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,3596
56,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,995
57,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,163
58,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,3921
59,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,1144
60,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,215
61,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,4964
62,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,927
63,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,221
64,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,4816
65,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,1105
66,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,716
67,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,5122
68,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,1013
69,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,287
70,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต (ราย),กรุงเทพมหานคร และปริมณฑล,5355
71,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต ประเภทความยาว (ราย),กรุงเทพมหานคร และปริมณฑล,1164
72,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนผู้ได้รับอนุญาต ประเภทพื้นที่ (ราย),กรุงเทพมหานคร และปริมณฑล,320
