จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการข้อมูล
"65,036.87",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,29,2569,ข้าวนาปี,ไร่,ลำทะเมนชัย,เนื้อที่เพาะข้าวนาปี
"55,866.86",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,30,2569,ข้าวนาปี,ไร่,บัวลาย,เนื้อที่เพาะข้าวนาปี
"73,106.34",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,31,2569,ข้าวนาปี,ไร่,สีดา,เนื้อที่เพาะข้าวนาปี
"32,315.86",พืชเศรษฐกิจ,สำนักงานเกษตรจังหวัดนครราชสีมา,32,2569,ข้าวนาปี,ไร่,เฉลิมพระเกียรติ,เนื้อที่เพาะข้าวนาปี
"81,755.82",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,33,2568,ข้าวนาปี,ไร่,เมืองนครราชสีมา,เนื้อที่เพาะข้าวนาปี
"63,105.82",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,34,2568,ข้าวนาปี,ไร่,ครบุรี,เนื้อที่เพาะข้าวนาปี
"35,624.98",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,35,2568,ข้าวนาปี,ไร่,เสิงสาง,เนื้อที่เพาะข้าวนาปี
"231,180.13",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,36,2568,ข้าวนาปี,ไร่,คง,เนื้อที่เพาะข้าวนาปี
"50,340.71",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,37,2568,ข้าวนาปี,ไร่,บ้านเหลื่อม,เนื้อที่เพาะข้าวนาปี
"95,151.46",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,38,2568,ข้าวนาปี,ไร่,จักราช,เนื้อที่เพาะข้าวนาปี
"100,644.82",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,39,2568,ข้าวนาปี,ไร่,โชคชัย,เนื้อที่เพาะข้าวนาปี
"194,648.15",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,40,2568,ข้าวนาปี,ไร่,ด่านขุนทด,เนื้อที่เพาะข้าวนาปี
"161,641.21",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,41,2568,ข้าวนาปี,ไร่,โนนไทย,เนื้อที่เพาะข้าวนาปี
"277,958.07",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,42,2568,ข้าวนาปี,ไร่,โนนสูง,เนื้อที่เพาะข้าวนาปี
"75,364.82",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,43,2568,ข้าวนาปี,ไร่,ขามสะแกแสง,เนื้อที่เพาะข้าวนาปี
"188,234.17",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,44,2568,ข้าวนาปี,ไร่,บัวใหญ่,เนื้อที่เพาะข้าวนาปี
"240,637.08",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,45,2568,ข้าวนาปี,ไร่,ประทาย,เนื้อที่เพาะข้าวนาปี
"128,409.89",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,46,2568,ข้าวนาปี,ไร่,ปักธงชัย,เนื้อที่เพาะข้าวนาปี
"256,200.56",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,47,2568,ข้าวนาปี,ไร่,พิมาย,เนื้อที่เพาะข้าวนาปี
"152,193.86",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,48,2568,ข้าวนาปี,ไร่,ห้วยแถลง,เนื้อที่เพาะข้าวนาปี
"187,543.02",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,49,2568,ข้าวนาปี,ไร่,ชุมพวง,เนื้อที่เพาะข้าวนาปี
"76,438.60",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,50,2568,ข้าวนาปี,ไร่,สูงเนิน,เนื้อที่เพาะข้าวนาปี
"33,090.88",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,51,2568,ข้าวนาปี,ไร่,ขามทะเลสอ,เนื้อที่เพาะข้าวนาปี
"62,866.12",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,52,2568,ข้าวนาปี,ไร่,สีคิ้ว,เนื้อที่เพาะข้าวนาปี
"2,986.76",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,53,2568,ข้าวนาปี,ไร่,ปากช่อง,เนื้อที่เพาะข้าวนาปี
"58,298.13",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,54,2568,ข้าวนาปี,ไร่,หนองบุญมาก,เนื้อที่เพาะข้าวนาปี
"77,731.00",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,55,2568,ข้าวนาปี,ไร่,แก้งสนามนาง,เนื้อที่เพาะข้าวนาปี
"66,159.39",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,56,2568,ข้าวนาปี,ไร่,โนนแดง,เนื้อที่เพาะข้าวนาปี
"13,775.62",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,57,2568,ข้าวนาปี,ไร่,วังน้ำเขียว,เนื้อที่เพาะข้าวนาปี
"24,857.56",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,58,2568,ข้าวนาปี,ไร่,เทพารักษ์,เนื้อที่เพาะข้าวนาปี
"111,336.81",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,59,2568,ข้าวนาปี,ไร่,เมืองยาง,เนื้อที่เพาะข้าวนาปี
"73,157.14",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,60,2568,ข้าวนาปี,ไร่,พระทองคำ,เนื้อที่เพาะข้าวนาปี
"67,856.22",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,61,2568,ข้าวนาปี,ไร่,ลำทะเมนชัย,เนื้อที่เพาะข้าวนาปี
"55,876.54",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,62,2568,ข้าวนาปี,ไร่,บัวลาย,เนื้อที่เพาะข้าวนาปี
"73,494.75",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,63,2568,ข้าวนาปี,ไร่,สีดา,เนื้อที่เพาะข้าวนาปี
"34,179.87",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,64,2568,ข้าวนาปี,ไร่,เฉลิมพระเกียรติ,เนื้อที่เพาะข้าวนาปี
"83,517.30",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,65,2567,ข้าวนาปี,ไร่,เมืองนครราชสีมา,เนื้อที่เพาะข้าวนาปี
"64,862.34",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,66,2567,ข้าวนาปี,ไร่,ครบุรี,เนื้อที่เพาะข้าวนาปี
"36,355.85",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,67,2567,ข้าวนาปี,ไร่,เสิงสาง,เนื้อที่เพาะข้าวนาปี
"239,545.51",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,68,2567,ข้าวนาปี,ไร่,คง,เนื้อที่เพาะข้าวนาปี
"52,670.25",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,69,2567,ข้าวนาปี,ไร่,บ้านเหลื่อม,เนื้อที่เพาะข้าวนาปี
"106,839.55",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,70,2567,ข้าวนาปี,ไร่,จักราช,เนื้อที่เพาะข้าวนาปี
"102,679.80",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,71,2567,ข้าวนาปี,ไร่,โชคชัย,เนื้อที่เพาะข้าวนาปี
"204,837.94",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,72,2567,ข้าวนาปี,ไร่,ด่านขุนทด,เนื้อที่เพาะข้าวนาปี
"165,687.60",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,73,2567,ข้าวนาปี,ไร่,โนนไทย,เนื้อที่เพาะข้าวนาปี
"283,632.19",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,74,2567,ข้าวนาปี,ไร่,โนนสูง,เนื้อที่เพาะข้าวนาปี
"80,066.05",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,75,2567,ข้าวนาปี,ไร่,ขามสะแกแสง,เนื้อที่เพาะข้าวนาปี
"193,847.41",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,76,2567,ข้าวนาปี,ไร่,บัวใหญ่,เนื้อที่เพาะข้าวนาปี
"241,925.78",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,77,2567,ข้าวนาปี,ไร่,ประทาย,เนื้อที่เพาะข้าวนาปี
"133,422.55",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,78,2567,ข้าวนาปี,ไร่,ปักธงชัย,เนื้อที่เพาะข้าวนาปี
"266,409.78",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,79,2567,ข้าวนาปี,ไร่,พิมาย,เนื้อที่เพาะข้าวนาปี
"163,549.93",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,80,2567,ข้าวนาปี,ไร่,ห้วยแถลง,เนื้อที่เพาะข้าวนาปี
"191,438.57",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,81,2567,ข้าวนาปี,ไร่,ชุมพวง,เนื้อที่เพาะข้าวนาปี
"79,488.64",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,82,2567,ข้าวนาปี,ไร่,สูงเนิน,เนื้อที่เพาะข้าวนาปี
