จำนวน,_id,ปี,ไตรมาส,อุตสาหกรรม
1732,131,2565,22565,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคลการผลิตสินค้าและบริการที่ทำขี้นเองเพื่อใช้ในครัวเรือน
-,132,2565,22565,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก
876012,133,2565,32565,รวม
331625,134,2565,32565,เกษตรกรรม การป่าไม้ และการประมง
-,135,2565,32565,การทำเหมืองแร่และเหมืองหิน
59272,136,2565,32565,การผลิต
1327,137,2565,32565,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
2407,138,2565,32565,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
45205,139,2565,32565,การก่อสร้าง
204663,140,2565,32565,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์
6066,141,2565,32565,การขนส่ง และสถานที่เก็บสินค้า
93710,142,2565,32565,ที่พักแรมและบริการด้านอาหาร
-,143,2565,32565,ข้อมูลข่าวสารและการสื่อสาร
3840,144,2565,32565,กิจการทางการเงินและการประกันภัย
1603,145,2565,32565,กิจการอสังหาริมทรัพย์
3104,146,2565,32565,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
6942,147,2565,32565,กิจกรรมการบริหารและการบริการสนับสนุน
39017,148,2565,32565,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม
34920,149,2565,32565,การศึกษา
12680,150,2565,32565,กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์
2556,151,2565,32565,ศิลปะ ความบันเทิง และนันทนาการ
26159,152,2565,32565,กิจกรรมบริการด้านอื่นๆ
916,153,2565,32565,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคลการผลิตสินค้าและบริการที่ทำขี้นเองเพื่อใช้ในครัวเรือน
-,154,2565,32565,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก
879622,155,2565,42565,รวม
355822,156,2565,42565,เกษตรกรรม การป่าไม้ และการประมง
-,157,2565,42565,การทำเหมืองแร่และเหมืองหิน
73595,158,2565,42565,การผลิต
5030,159,2565,42565,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
2103,160,2565,42565,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
50328,161,2565,42565,การก่อสร้าง
186279,162,2565,42565,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์
12124,163,2565,42565,การขนส่ง และสถานที่เก็บสินค้า
68786,164,2565,42565,ที่พักแรมและบริการด้านอาหาร
2878,165,2565,42565,ข้อมูลข่าวสารและการสื่อสาร
7363,166,2565,42565,กิจการทางการเงินและการประกันภัย
1180,167,2565,42565,กิจการอสังหาริมทรัพย์
2831,168,2565,42565,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
5882,169,2565,42565,กิจกรรมการบริหารและการบริการสนับสนุน
42756,170,2565,42565,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม
26235,171,2565,42565,การศึกษา
13574,172,2565,42565,กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์
5461,173,2565,42565,ศิลปะ ความบันเทิง และนันทนาการ
14101,174,2565,42565,กิจกรรมบริการด้านอื่นๆ
3294,175,2565,42565,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคลการผลิตสินค้าและบริการที่ทำขี้นเองเพื่อใช้ในครัวเรือน
-,176,2565,42565,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก
913969,177,2566,12566,รวม
392502,178,2566,12566,เกษตรกรรม การป่าไม้ และการประมง
-,179,2566,12566,การทำเหมืองแร่และเหมืองหิน
73831,180,2566,12566,การผลิต
3113,181,2566,12566,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
1988,182,2566,12566,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
64916,183,2566,12566,การก่อสร้าง
193979,184,2566,12566,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์
11487,185,2566,12566,การขนส่ง และสถานที่เก็บสินค้า
63547,186,2566,12566,ที่พักแรมและบริการด้านอาหาร
3679,187,2566,12566,ข้อมูลข่าวสารและการสื่อสาร
6873,188,2566,12566,กิจการทางการเงินและการประกันภัย
2854,189,2566,12566,กิจการอสังหาริมทรัพย์
2129,190,2566,12566,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
8338,191,2566,12566,กิจกรรมการบริหารและการบริการสนับสนุน
29242,192,2566,12566,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม
20489,193,2566,12566,การศึกษา
19165,194,2566,12566,กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์
1908,195,2566,12566,ศิลปะ ความบันเทิง และนันทนาการ
