VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
2.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,ชาย,พันคน,กรุงเทพมหานคร,2563
1.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,หญิง,พันคน,กรุงเทพมหานคร,2563
18.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,ชาย,พันคน,ภาคกลาง,2563
10.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,หญิง,พันคน,ภาคกลาง,2563
43.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,ชาย,พันคน,ภาคเหนือ,2563
28.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,หญิง,พันคน,ภาคเหนือ,2563
163.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
105.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
2.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,ภาคใต้,2563
0.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,ภาคใต้,2563
7.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,11,ชาย,พันคน,กรุงเทพมหานคร,2563
3.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,12,หญิง,พันคน,กรุงเทพมหานคร,2563
27.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,13,ชาย,พันคน,ภาคกลาง,2563
19.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,14,หญิง,พันคน,ภาคกลาง,2563
83.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,15,ชาย,พันคน,ภาคเหนือ,2563
55.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,16,หญิง,พันคน,ภาคเหนือ,2563
84.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,17,ชาย,พันคน,กรุงเทพมหานคร,2563
61.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,18,หญิง,พันคน,กรุงเทพมหานคร,2563
1.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,ภาคใต้,2563
2.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,20,หญิง,พันคน,ภาคใต้,2563
5.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,21,ชาย,พันคน,กรุงเทพมหานคร,2563
1.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,22,หญิง,พันคน,กรุงเทพมหานคร,2563
10.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,23,ชาย,พันคน,ภาคกลาง,2563
4.8,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,24,หญิง,พันคน,ภาคกลาง,2563
16.6,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,25,ชาย,พันคน,ภาคเหนือ,2563
7.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,26,หญิง,พันคน,ภาคเหนือ,2563
10.6,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,27,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
4.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,28,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
0.9,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,29,ชาย,พันคน,ภาคใต้,2563
0.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,30,หญิง,พันคน,ภาคใต้,2563
0.7,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,31,ชาย,พันคน,กรุงเทพมหานคร,2563
0.0,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,32,หญิง,พันคน,กรุงเทพมหานคร,2563
7.6,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,33,ชาย,พันคน,ภาคกลาง,2563
2.3,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,34,หญิง,พันคน,ภาคกลาง,2563
10.5,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,35,ชาย,พันคน,ภาคเหนือ,2563
5.1,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,36,หญิง,พันคน,ภาคเหนือ,2563
23.2,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,37,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
17.7,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,38,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
0.8,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,39,ชาย,พันคน,ภาคใต้,2563
2.5,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,40,หญิง,พันคน,ภาคใต้,2563
0.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,41,ชาย,พันคน,กรุงเทพมหานคร,2564
0.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,42,หญิง,พันคน,กรุงเทพมหานคร,2564
9.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,43,ชาย,พันคน,ภาคกลาง,2564
10.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,44,หญิง,พันคน,ภาคกลาง,2564
57.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,45,ชาย,พันคน,ภาคเหนือ,2564
31.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,46,หญิง,พันคน,ภาคเหนือ,2564
175.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,47,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
124.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,48,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
0.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,49,ชาย,พันคน,ภาคใต้,2564
0.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,50,หญิง,พันคน,ภาคใต้,2564
1.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,51,ชาย,พันคน,กรุงเทพมหานคร,2564
1.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,52,หญิง,พันคน,กรุงเทพมหานคร,2564
7.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,53,ชาย,พันคน,ภาคกลาง,2564
6.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,54,หญิง,พันคน,ภาคกลาง,2564
41.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,55,ชาย,พันคน,ภาคเหนือ,2564
21.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,56,หญิง,พันคน,ภาคเหนือ,2564
87.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,57,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
56.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,58,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
0.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,59,ชาย,พันคน,ภาคใต้,2564
0.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,60,หญิง,พันคน,ภาคใต้,2564
2.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,61,ชาย,พันคน,กรุงเทพมหานคร,2564
0.7,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,62,หญิง,พันคน,กรุงเทพมหานคร,2564
4.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,63,ชาย,พันคน,ภาคกลาง,2564
5.7,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,64,หญิง,พันคน,ภาคกลาง,2564
19.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,65,ชาย,พันคน,ภาคเหนือ,2564
