2558,2560,2561,_id,2559,Type of vehicle,ประเภทรถ,2562
(2015),(2017),(2018),1,(2016),,,(2019)
รถจดทะเบียน (สะสม)  (vehicle registration),,,2,,,,
47226.0,51498.0,54758.0,3,49346.0,Total,รวมยอด,56806.0
1922.0,2244.0,2628.0,4,2072.0, Bus,รถโดยสาร,2754.0
1252.0,1190.0,1166.0,5,1231.0,,,1129.0
487.0,839.0,1218.0,6,634.0,,,1358.0
183.0,215.0,244.0,7,207.0,,,267.0
21691.0,23505.0,24751.0,8,22601.0, Truck,รถบรรทุก,25649.0
9153.0,10846.0,12168.0,9,10012.0,,,13110.0
12537.0,12658.0,12582.0,10,12588.0,,,12538.0
1.0,1.0,1.0,11,1.0, Small rural bus,รถขนาดเล็ก,1.0
รถจดทะเบียนใหม่  (new vehicle registration),,,12,,,,
3612.0,4086.0,4966.0,13,3714.0,Total,รวมยอด,4186.0
213.0,280.0,489.0,14,238.0, Bus,รถโดยสาร,233.0
68.0,23.0,42.0,15,33.0,,,30.0
125.0,240.0,415.0,16,173.0,,,170.0
20.0,17.0,32.0,17,32.0,,,33.0
1593.0,1763.0,1994.0,18,1619.0, Truck,รถบรรทุก,1860.0
973.0,1196.0,1448.0,19,1166.0,,,1313.0
620.0,567.0,546.0,20,453.0,,,547.0
0.0,0.0,0.0,21,0.0, Small rural bus,รถขนาดเล็ก,0.0
,,,22,,,,
,,,23,,,,
,,  Source:  Rayong Provincial Transport Office,24,,,      ที่มา:   ,
