_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,ทะเบียนโรงงาน,ชื่อย่อ
1,1,บริษัท ไออาร์พีซี จำกัด (มหาชน),ทำเคมีภัณฑ์ เช่น Ethylbenzene Styrene Monomer,ข 3-42(1)-2/41 รย,EBSM
2,2,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตเอทธิลีน (Ethylene),ข 3-42(1)-3/41 รย,ETP
3,3,บริษัท ไออาร์พีซี จำกัด (มหาชน),ทำเคมีภัณฑ์ เช่น Benzene Toluene Xylene,ข 3-42(1)-4/41 รย,BTX
4,4,บริษัท ไออาร์พีซี จำกัด (มหาชน),แปรสภาพคอมไบน์แก๊สออยล์ (Combined Gas Oil) ให้เป็นผลิตภัณฑ์จากปิโตรเลียมและปิโตรเคมี เช่น Cracked Naptha Propylene),ข 3-49-2/41 รย,DCC
5,5,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตเม็ดพลาสติกชนิด HDPE และ/หรือ LLDPE และ/หรือ Ethylene Copolymer ที่มี Ethylene เป็นองค์ประกอบหลัก,ข 3-44-1/25 รย,HDPE
6,6,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตเม็ดพลาสติก Polypropylene ,ข 3-44-1/34 รย,PP
7,7,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิต PTK Catalyst ,ข 3-42(1)-1/41 รย,PTK
8,8,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตผงและเม็ดพลาสติก ABS และ AS,ข 3-44-2/59 รย,ABS
9,9,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตเม็ดพลาสติก Compounding Plastic ,ข 3-53(5)-58/59 รย,CCM
10,10,บริษัท ไออาร์พีซี จำกัด (มหาชน),แปรสภาพคอนเดนเสทเรสซิดิว (Condensate Residue) ให้เป็นผลิตภัณฑ์ปิโตรเลียมและปิโตรเคมี,ข 3-49-1/41 รย,COND
11,11,บริษัท ไออาร์พีซี จำกัด (มหาชน),กลั่นน้ำมัน ,ข 3-49-1/43 รย,REFY
12,12,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตน้ำมันหล่อลื่นพื้นฐาน ,ข 3-50(4)-1/41 รย,LBOP
13,13,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตเม็ดพลาสติกโพลีสไตรีน (Polystyrene),ข 3-53(5)-56/59 รย,PS
14,14,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตพลังงานไฟฟ้าและไอน้ำ,ข 3-88-1/36 รย,PW
15,15,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตก๊าซโพรพิลีน,ข 3-42(1)-4/55 รย,PRP
16,16,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตสารตัวเร่งปฏิกิริยส HA1,ข3-42(1)-11/53รย,HA1
17,17,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิต Acetylene Carbonblack,ข 3-48(6)-1/45 รย,ACB
18,18,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตเม็ดพลาสติก Compounding Plastic ,ข 3-53(5)-55/51 รย,CD-1
19,19,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตเม็ดพลาสติก Expandable Polystyrene (EPS),ข 3-44-1/59 รย,EPS
20,20,บริษัท ไออาร์พีซี จำกัด (มหาชน),บำบัดน้ำเสียรวม,ข 3-101-1/35 รย,WT1&2
21,21,บริษัท ไออาร์พีซี จำกัด (มหาชน),บำบัดน้ำเสียรวม,ข 3-101-2/53 รย,WT3
22,22,บริษัท ไออาร์พีซี จำกัด (มหาชน),แปรรูปน้ำมันหนักให้เป็นผลิตภัณฑ์ปิโตรเลียม,ข 3-49-1/58 รย,UHV
23,23,บริษัท ไออาร์พีซี จำกัด (มหาชน),ผลิตน้ำประปา ,ข 3-90-4/50 รย,UT-IP
24,24,บริษัท ไออาร์พีซี จำกัด (มหาชน),ทำผลิตภัณฑ์เคมีในระดับนาโน เช่นสารฆ่าเชื้อแบคทีเรีย (NANO ANTI BACTERIA),ข3-48(2)-3/59 รย,Nano
25,25,บมจ. อูเบะ เคมิคอลส์ (เอเชีย),ผลิตเม็ดไนล่อน Compounding,ข 3-53(5)-1/45 รย,UCHA
26,26,บริษัท อูเบะไฟน์ เคมิคอลส์ (เอเชีย) จำกัด ,โรงงานทำผลิตภัณฑ์เคมี เช่น PolycarbonateDiol และ PolyesterPolyol ,ข3-42(1)-11/58รย,
27,27,บริษัท อูเบะ แมททีเรียลส์ (ไทยแลนด์) จำกัด ,ผลิตแมกนีเซียมออกซีซัลเฟต ,ข3-42(1)-8/62รย,MOS
28,28,บริษัท ไออาร์พีซี คลีน พาวเวอร์ จำกัด,ผลิตไฟฟ้า ไอน้ำ ,ข3-88(2)-91/57รย,
29,29,บริษัท โตโยต้า วิชั่น จำกัด,ศูนย์บริการซ่อม เคาะพ่นสีรถยนต์ ,จ3-95(1)-247/59รย,
