พื้นที่ปลูก(ไร่),_id,ปี,ผลผลิตที่ได้(กม.),ผลผลิต/ไร่,พื้นที่เก็บ(ไร่),อำเภอ
132,1,2563,"76,000.00",800,95,เมืองอุทัยธานี
"16,111",2,2563,"5,563,800",826.47,"6,732",ทัพทัน
"17,162",3,2563,"1,567,350","1,139.27","1,375",สว่างอารมณ์
"17,935",4,2563,"14,053,675",910.88,"15,428",หนองฉาง
"1,190",5,2563,"1,380,540","1,177.94","1,172",หนองขาหย่าง
"38,413",6,2563,"38,086,000",991.49,"38,413",บ้านไร่
"37,602",7,2563,"29,395,570",952.25,"30,869",ลานสัก
"17,235",8,2563,"12,916,280",749.42,"17,235",ห้วยคต
132,9,2564,"82,600.00",826,100,เมืองอุทัยธานี
"12,046",10,2564,"10,071,626",892.02,"11,290",ทัพทัน
"6,219",11,2564,"3,073,662",908.9,"3,381",สว่างอารมณ์
"15,178",12,2564,"13,895,500",926.37,"15,000",หนองฉาง
423,13,2564,"358,900",934.64,384,หนองขาหย่าง
"43,592",14,2564,"39,191,750",905.57,"43,278",บ้านไร่
"16,907",15,2564,"16,465,588",990.95,"16,616",ลานสัก
"10,893",16,2564,"10,378,800",959.84,"10,813",ห้วยคต
132,17,2565,"64,750.00",925,70,เมืองอุทัยธานี
"8,905",18,2565,"6,087,000",824.24,"7,385",ทัพทัน
"11,615",19,2565,"5,533,000","1,324.32","4,178",สว่างอารมณ์
"3,242",20,2565,"1,574,700",903.44,"1,743",หนองฉาง
109,21,2565,"12,600",840,15,หนองขาหย่าง
"38,840",22,2565,"37,354,500",963.19,"38,782",บ้านไร่
"14,608",23,2565,"1,617,050","1,014.78","1,593",ลานสัก
"7,482",24,2565,"6,791,000","1,005.48","6,754",ห้วยคต
431,25,2566,"353,000",818,431,เมืองอุทัยธานี
"8,194",26,2566,"3,935,000",844,"4,662",ทัพทัน
"35,536",27,2566,"30,739,000",865,"35,536",บ้านไร่
"10,423",28,2566,"5,978,000",813,"7,353",สว่างอารมณ์
344,29,2566,"276,000",802,344,หนองขาหย่าง
"7,825",30,2566,"6,738,000",865,"7,790",หนองฉาง
"32,232",31,2566,"26,858,000",838,"32,050",ลานสัก
"8,267",32,2566,"6,741,000",817,"8,251",ห้วยคต
431,33,2567,353,819,431,เมืองอุทัยธานี
8194,34,2567,3935,844,4662,ทัพทัน
35536,35,2567,30739,865,35536,บ้านไร่
10423,36,2567,5978,813,7353,สว่างอารมณ์
344,37,2567,276,802,344,หนองขาหย่าง
7825,38,2567,6738,865,7790,หนองฉาง
32232,39,2567,26858,838,32050,ลานสัก
8267,40,2567,6741,817,8251,ห้วยคต
