2562(ท่วม),2555,2558,2560,2561,_id,2556,2559,2562(แล้ง),2557,2563,อำเภอ,ลำดับที่
"21,838","9,427",0,"22,902","3,894",1,202,"3,843",-,0,0,เมืองมหาสารคาม,1
142,0,0,0,45,2,-,0,-,0,0,แกดำ,2
"29,620","13,698","39,574","67,125",0,3,928,"25,742","10,488",0,0,โกสุมพิสัย,3
"44,129","1,894",61,"40,968",0,4,"11,916","3,315",-,0,0,กันทรวิชัย,4
"1,316","19,212","48,601","15,216",0,5,"33,601",0,"26,528","33,601",0,เชียงยืน,5
"6,332","41,921",0,"5,076","29,281",6,0,0,-,0,0,บรบือ,6
"2,778","40,521",0,"4,239","72,828",7,0,0,-,0,0,นาเชือก,7
"5,762","42,505",0,"49,220","114,234",8,0,"87,413","1,982","21,008",0,พยัคฆภูมิพิสัย,8
"7,501","41,125",0,"19,068",0,9,0,"1,633",-,869,0,วาปีปทุม,9
17,"37,361",0,"2,336","27,181",10,0,0,"1,959",0,0,นาดูน,10
"1,617","42,968",0,"14,422","28,530",11,0,0,"11,045",0,0,ยางสีสุราช,11
"18,994","8,248",0,"13,872","11,287",12,0,0,-,0,0,กุดรัง,12
"6,534","4,680","11,368",440,0,13,0,0,"6,534",0,0,ชื่นชม,13
"146,579","303,560","99,605","254,882","287,279",14,"46,646","121,945","58,535","55,478",0,,รวม
,,,,,15,,,,,,,** หมายเหตุ พ.ศ.2562(2) ภัยแล้งซ้ำซ้อนอุทกภัย
